sample_id	dataset	condition	morans_I	perm_p	perm_mean	perm_sd	n_spots	n_perm
GSM7221915_P1	GSE230424	PTC_HT	0.4559195443124734	0.005	0.00022038097193652866	0.0102480959402884	3566	199
GSM7221916_P2	GSE230424	PTC_HT	0.4315517342322345	0.005	-0.0009107249480484142	0.010013891433657341	3005	199
GSM7221917_P3	GSE230424	PTC_HT	0.2890445515369293	0.005	-6.903036127939648e-05	0.009991451881345235	2961	199
GSM7221918_P4	GSE230424	PTC_HT	0.30530015993041804	0.005	0.00032419570542094485	0.008138654821185198	4601	199
GSM7908359_C1	GSE248205	CONTROL	0.3795872064295774	0.005	-0.002755644912914366	0.01688239039454086	1064	199
GSM7908360_C2	GSE248205	CONTROL	0.14849691456904557	0.005	-0.0009391164995796747	0.012334319578426544	1744	199
GSM7908361_HT1	GSE248205	HT	0.5111327574016681	0.005	0.0005336339999985376	0.01363407075787737	1927	199
GSM7908362_HT2	GSE248205	HT	0.3046273724096782	0.005	0.0001339478848999206	0.011218747732786848	2595	199
GSM7908363_HT3	GSE248205	HT	0.5638624228053029	0.005	-0.0017205956278393258	0.011993407784534997	1980	199
GSM7908364_GD1	GSE248205	GD	0.3598624277569149	0.005	-0.0008335071614147869	0.012145875150038872	2266	199
GSM7908365_GD2	GSE248205	GD	0.22149612132403387	0.005	-0.0014333214692146981	0.012075971257650074	2005	199
GSM7908366_GD3	GSE248205	GD	0.3674432078485028	0.005	0.0012436741039659964	0.013188389677333795	1969	199
GSM7980860_N-1	GSE250521	PT	0.49171481144408485	0.005	0.0005184489378430653	0.009345534618778302	3395	199
GSM7980861_N-2	GSE250521	PT	0.43357572550647994	0.005	-0.0006900373533704001	0.008836417328531881	3780	199
GSM7980862_N-3	GSE250521	PT	0.25720969742698524	0.005	-0.0007932307835240507	0.008080519391536478	4538	199
GSM7980863_N-4	GSE250521	PT	0.38254687514577457	0.005	-0.0004697516794720366	0.010725202136970587	3027	199
GSM7980864_PTC-1	GSE250521	PTC	0.5422404509190886	0.005	-0.00037704719189586794	0.011902934709321716	2262	199
GSM7980865_PTC-2	GSE250521	PTC	0.3958599423647783	0.005	-6.767998636108707e-05	0.007897805426804384	4947	199
GSM7980866_PTC-3	GSE250521	PTC	0.4351937738933934	0.005	0.0002441294153534703	0.00822994116855827	4516	199
GSM7980867_PTC-4	GSE250521	PTC	0.42167341084107346	0.005	0.00011719201827470449	0.007828137626625722	4498	199
GSM7980868_LPTC-1	GSE250521	LPTC	0.42739185363697285	0.005	-5.127239761156047e-05	0.015126426004224605	1520	199
GSM7980869_LPTC-2	GSE250521	LPTC	0.4790213715357875	0.005	-0.0007120396607905632	0.009090146512741305	4071	199
GSM7980870_LPTC-3	GSE250521	LPTC	0.47027646156204506	0.005	0.0006093358341681705	0.009227014116475035	3336	199
GSM7980871_LPTC-4	GSE250521	LPTC	0.517421618673493	0.005	0.0005080099551909059	0.007707731157906657	4707	199
GSM7980872_ATC-1	GSE250521	ATC	0.04279209481065577	0.005	0.0009033031984249007	0.007760174934595727	4715	199
GSM7980873_ATC-2	GSE250521	ATC	-0.004618524513321908	0.455	-0.0014016048398667314	0.00995999943323362	2354	199
GSM7980874_ATC-3	GSE250521	ATC	0.016880392553402533	0.08	-0.0014936924577025642	0.012581457863147794	1621	199
GSM7980875_ATC-4	GSE250521	ATC	0.46686252996120325	0.005	-0.0008208404557370277	0.010782119999229508	2586	199
