sample_id	dataset	condition	score	n_spots	morans_I	expected_I	approx_z
GSM7221915_P1	GSE230424	PTC_HT	DM1_like_score_resid	3566	0.4559195443124734	-0.00028050490883590464	47.16544296892423
GSM7221916_P2	GSE230424	PTC_HT	DM1_like_score_resid	3005	0.4315517342322345	-0.00033288948069241014	40.98583485068907
GSM7221917_P3	GSE230424	PTC_HT	DM1_like_score_resid	2961	0.2890445515369293	-0.00033783783783783786	27.26037870207174
GSM7221918_P4	GSE230424	PTC_HT	DM1_like_score_resid	4601	0.30530015993041804	-0.0002173913043478261	35.88238536512868
GSM7908359_C1	GSE248205	CONTROL	DM1_like_score_resid	1064	0.3795872064295774	-0.0009407337723424271	21.46868513849642
GSM7908360_C2	GSE248205	CONTROL	DM1_like_score_resid	1744	0.14849691456904557	-0.0005737234652897303	10.773388909273722
GSM7908361_HT1	GSE248205	HT	DM1_like_score_resid	1927	0.5111327574016681	-0.0005192107995846313	38.87209845275502
GSM7908362_HT2	GSE248205	HT	DM1_like_score_resid	2595	0.3046273724096782	-0.00038550501156515033	26.896538925883405
GSM7908363_HT3	GSE248205	HT	DM1_like_score_resid	1980	0.5638624228053029	-0.0005053057099545225	43.463660583723886
GSM7908364_GD1	GSE248205	GD	DM1_like_score_resid	2266	0.3598624277569149	-0.0004415011037527594	29.6873907798058
GSM7908365_GD2	GSE248205	GD	DM1_like_score_resid	2005	0.22149612132403387	-0.000499001996007984	17.20427042600512
GSM7908366_GD3	GSE248205	GD	DM1_like_score_resid	1969	0.3674432078485028	-0.0005081300813008131	28.258098772954945
GSM7980860_N-1	GSE250521	PT	DM1_like_score (raw)	3395	0.49171481144408485	-0.0002946375957572186	49.632031205755
GSM7980861_N-2	GSE250521	PT	DM1_like_score (raw)	3780	0.43357572550647994	-0.0002646202699126753	46.1810818896143
GSM7980862_N-3	GSE250521	PT	DM1_like_score (raw)	4538	0.25720969742698524	-0.00022040996253030638	30.026771743287057
GSM7980863_N-4	GSE250521	PT	DM1_like_score (raw)	3027	0.38254687514577457	-0.00033046926635822867	36.4679424703584
GSM7980864_PTC-1	GSE250521	PTC	DM1_like_score (raw)	2262	0.5422404509190886	-0.0004422821760283061	44.675032165442545
GSM7980865_PTC-2	GSE250521	PTC	DM1_like_score (raw)	4947	0.3958599423647783	-0.0002021835826930853	48.23510178961366
GSM7980866_PTC-3	GSE250521	PTC	DM1_like_score (raw)	4516	0.4351937738933934	-0.00022148394241417498	50.663707725175236
GSM7980867_PTC-4	GSE250521	PTC	DM1_like_score (raw)	4498	0.42167341084107346	-0.00022237046920169	48.992622855651064
GSM7980868_LPTC-1	GSE250521	LPTC	DM1_like_score (raw)	1520	0.42739185363697285	-0.0006583278472679394	28.876754841159123
GSM7980869_LPTC-2	GSE250521	LPTC	DM1_like_score (raw)	4071	0.4790213715357875	-0.0002457002457002457	52.94546055948253
GSM7980870_LPTC-3	GSE250521	LPTC	DM1_like_score (raw)	3336	0.47027646156204506	-0.0002998500749625187	47.05528457133605
GSM7980871_LPTC-4	GSE250521	LPTC	DM1_like_score (raw)	4707	0.517421618673493	-0.00021249468763280918	61.491799576616536
GSM7980872_ATC-1	GSE250521	ATC	DM1_like_score (raw)	4715	0.04279209481065577	-0.00021213406873143826	5.112984335456541
GSM7980873_ATC-2	GSE250521	ATC	DM1_like_score (raw)	2354	-0.004618524513321908	-0.00042498937526561835	-0.35218215453445867
GSM7980874_ATC-3	GSE250521	ATC	DM1_like_score (raw)	1621	0.016880392553402533	-0.0006172839506172839	1.2190752591042366
GSM7980875_ATC-4	GSE250521	ATC	DM1_like_score (raw)	2586	0.46686252996120325	-0.00038684719535783365	41.13122641440401
