scope	n	pearson_r	pearson_p	spearman_rho	spearman_p	bootstrap_n	ci95_lo	ci95_hi	ci_width
all 12 external slides	12	-0.9846359489316027	6.570913437938399e-09	-0.9370629370629372	6.9931649532105415e-06	5000	-0.9966460938388099	-0.9161619687894509	0.08048412504935898
all 12 epi50	12	-0.974255736112417	8.529562138826141e-08	-0.965034965034965	3.880985299627466e-07	5000	-0.9919733997209511	-0.9123941743603736	0.07957922536057749
all 12 all_spots	12	0.2424336800016522	0.4477351000974571	0.2027972027972028	0.5273023541661079	5000	-0.3684423789524864	0.6943316630218836	1.06277404197437
