TF	n_high	n_low	mean_high	mean_low	delta	p	fdr
HOXB3	130	130	-0.5932477277551794	0.0037626167701637625	-0.5970103445253432	4.49900967133292e-33	3.446241408241017e-30
NKX2-1	130	130	-0.1365061923586428	0.5140229377253569	-0.6505291300839997	1.5580631317502135e-30	5.967381794603318e-28
ATF6	130	130	3.868541101982584	4.496366099932284	-0.6278249979496997	4.349872864823816e-30	1.1106675381516812e-27
TRPS1	130	130	-0.07846746877722567	0.5708500460306217	-0.6493175148078474	1.7537138288529812e-29	3.358361982253459e-27
BHLHE40	130	130	-2.8877241215279934	-3.430924884564241	0.5432007630362476	2.4107319005701345e-29	3.693241271673446e-27
FOXO6	130	130	0.4004169228309127	-0.2729410823641848	0.6733580051950975	7.364960084566114e-29	9.402599041296073e-27
PGR	130	130	0.5847712560959235	-0.10491010614255093	0.6896813622384744	1.213536956020235e-28	1.3279561547307142e-26
FOXF2	130	130	0.8834637007070726	0.19433723451356014	0.6891264661935125	2.311666185216373e-28	2.050798653009829e-26
DNMT3B	130	130	0.6503461480000131	0.0047087796076636995	0.6456373683923494	2.5339008706402096e-28	2.050798653009829e-26
FOXE1	130	130	0.565902937180202	1.777008727435236	-1.211105790255034	2.677282836827453e-28	2.050798653009829e-26
NR4A1	130	130	-2.234698698311135	-1.5693594829625825	-0.6653392153485524	4.068888773550828e-27	2.833426182309031e-25
ZBTB18	130	130	-0.4865659862486617	-1.102160189048135	0.6155942027994732	1.2983517252970216e-26	8.287811846479321e-25
PROX1	130	130	0.3845697496948954	0.8904936960101703	-0.5059239463152749	1.5232642127033163e-26	8.63538097679101e-25
PIN1	130	130	3.327240563400458	2.8101088163859953	0.5171317470144627	1.5782680636432658e-26	8.63538097679101e-25
DNMT1	130	130	-1.0106481335757231	-1.7531087651362545	0.7424606315605313	2.3298732266630763e-26	1.1897885944159443e-24
STAT3	130	130	0.6217448756336319	-0.9251910217977096	1.5469358974313416	3.6212761048008215e-26	1.7336859351733934e-24
NR1I2	130	130	0.4875084477531797	1.066877711981833	-0.5793692642286532	5.922502698298022e-26	2.3492495779008993e-24
FOSL1	130	130	0.2677424158470279	-0.7161928074379822	0.98393522328501	5.922502698298022e-26	2.3492495779008993e-24
MAML1	130	130	0.7644377028165497	1.1303056716526105	-0.3658679688360609	6.133810908357439e-26	2.3492495779008993e-24
JUNB	130	130	-1.2992582809209843	-2.1057811398830095	0.8065228589620252	6.133810908357439e-26	2.3492495779008993e-24
HHEX	130	130	1.1687348554914436	1.5595958121329718	-0.3908609566415282	8.553331369218479e-26	3.119929442295883e-24
CREBBP	130	130	-0.45744711915298797	-0.8656012370826865	0.4081541179296986	9.172388681993494e-26	3.1936589683668257e-24
HIVEP3	130	130	-1.0476078460895162	-1.390451183565023	0.3428433374755069	4.600138132644401e-25	1.5320460041763528e-23
PPARG	130	130	-0.9593438369551349	-0.19610602740537983	-0.7632378095497551	5.278829090286686e-25	1.684826284649834e-23
TCF7	130	130	0.5262623426440103	-0.36232804995314416	0.8885903925971544	5.953495235959342e-25	1.8241509402979423e-23
AP1	130	130	0.20617861543482346	-1.466980154744063	1.6731587701788866	1.1028077026260173e-24	3.1287062970797377e-23
HOXA7	130	130	2.220355243416399	1.780983214195146	0.43937202922125307	1.1028077026260173e-24	3.1287062970797377e-23
TFAP2D	130	130	-2.6644013785437357	-3.1151300543150526	0.4507286757713169	1.4002524297988512e-24	3.830690575806857e-23
GATA4	130	130	-3.5082156408703145	-3.0528539335688687	-0.45536170730144576	1.5247153463799947e-24	4.027351570093365e-23
SP4	130	130	1.0965265329907428	1.5658387371102171	-0.4693122041194744	2.581229262458327e-24	6.487096179555708e-23
FOSL2	130	130	-1.7407360698583345	-2.6998352727004438	0.9590992028421093	2.6253261301074016e-24	6.487096179555708e-23
NFATC2	130	130	-2.287731357626223	-3.377304533838199	1.0895731762119762	3.620243430436463e-24	8.665957711607284e-23
GATA6	130	130	-2.434365276879334	-1.906081464234596	-0.5282838126447378	4.987348129375517e-24	1.1576692930611048e-22
HEYL	130	130	-0.8169357148925723	-1.222872837624177	0.40593712273160476	1.0609796011059964e-23	2.390324630727039e-22
MXI1	130	130	0.5741235376087541	0.8721279887853214	-0.29800445117656726	1.1534189890437425e-23	2.524339844592877e-22
FOS	130	130	-0.7139514623552119	-2.021936661015258	1.307985198660046	1.2963731517698256e-23	2.7583939840435733e-22
HIPK2	130	130	-1.216714107035307	-1.5177507460967812	0.30103663906147426	1.9331716399061727e-23	4.002187773427374e-22
KAT2B	130	130	0.42956294697259906	0.11201669987060191	0.31754624710199714	2.1005828436041116e-23	4.2343327847388147e-22
JUN	130	130	0.7814101348853827	-0.8261154160259344	1.607525550911317	2.7845622375620485e-23	5.469165830698793e-22
DLX2	130	130	-3.5552640252175594	-3.0642224939701403	-0.491041531247419	3.1786884202422983e-23	6.087188324764002e-22
PAX2	130	130	-2.1168712284829194	-1.7517545270427066	-0.3651167014402128	4.5704833843178017e-23	8.474166312531873e-22
TFAP2A	130	130	-0.17545824472301955	-0.7843461014210491	0.6088878566980296	4.6464097274978944e-23	8.474166312531873e-22
FOSB	130	130	-0.5848597561720291	-1.2159354831310238	0.6310757269589947	5.477808465942709e-23	9.75814252305143e-22
NEUROG2	130	130	-1.7272459818054213	-1.3937442052912636	-0.3335017765141577	5.947132769151542e-23	1.0353417502659275e-21
FOXA2	130	130	-4.699373090889726	-4.302072666062333	-0.39730042482739325	6.247612256303985e-23	1.063482441850856e-21
NR1H4	130	130	-1.2553392836818709	-0.8129947183285087	-0.4423445653533622	6.7821604088068e-23	1.1293771463360888e-21
ZXDC	130	130	0.05432946558363032	-0.4359721262014433	0.49030159178507365	7.242194562222436e-23	1.1803236243962523e-21
NPAS2	130	130	0.4492580030018776	0.9666867524810111	-0.5174287494791334	2.710259494625293e-22	4.3251224435061976e-21
LYL1	130	130	0.6513874100126342	1.0048502733998763	-0.3534628633872421	2.891447092944119e-22	4.520098924888153e-21
ETS2	130	130	1.7510919890372831	0.6984112322652396	1.0526807567720435	4.398833444897309e-22	6.7141164690844376e-21
VHL	130	130	0.28944886669914527	0.6999546195651648	-0.41050575286601954	4.4702342026541295e-22	6.7141164690844376e-21
ESR2	130	130	1.5053018430888787	0.945283603007895	0.5600182400809837	6.165095958158357e-22	9.081660584517887e-21
POU3F2	130	130	-1.9105581227323394	-1.4712407593800854	-0.439317363352254	7.715928366993621e-22	1.1151700243617196e-20
SUPT20H	130	130	-0.6580033770946179	-0.1989092273987328	-0.4590941496958851	8.76940328274365e-22	1.218858400029522e-20
CREB5	130	130	0.03907300200393031	-0.2843360063069854	0.32340900831091574	8.76940328274365e-22	1.218858400029522e-20
FOXL2	130	130	-0.6931481476963051	-1.0522931387719505	0.35914499107564546	8.910714151651859e-22	1.218858400029522e-20
YAP1	130	130	1.309088883371711	0.7294127085258839	0.579676174845827	1.50784942744243e-21	2.0263380024928096e-20
ATF3	130	130	1.7189942210194404	1.1729629196649582	0.5460313013544822	2.071047368364598e-21	2.735210834771176e-20
JUND	130	130	-1.4540050137747025	-2.4094823873442834	0.955477373569581	2.7970310559071075e-21	3.631399642076007e-20
FOXD1	130	130	1.3415635279888862	1.8978015277627631	-0.5562379997738769	2.9793307475084923e-21	3.8036122543191754e-20
ELF4	130	130	0.10663739689126395	-0.44754161769860207	0.554179014589866	4.629616047546621e-21	5.813583430197889e-20
IRF3	130	130	-0.37159403207330594	-1.0777810806207277	0.7061870485474218	5.248918730787523e-21	6.484954431908456e-20
RFXAP	130	130	3.6955337092800673	2.044505008836765	1.6510287004433022	6.957885476637559e-21	8.45892899837721e-20
NFKB	130	130	3.2300940152386817	1.736923304552056	1.4931707106866257	7.067512479061899e-21	8.45892899837721e-20
OTX2	130	130	-6.0395272511395275	-5.5317446181826115	-0.507782632956916	8.932354174436085e-21	1.0526435842489294e-19
RELA	130	130	1.0703449103796074	-0.7695162005007745	1.839861110880382	9.506952963255261e-21	1.1033827227050804e-19
EHF	130	130	0.47749476500517923	-0.10889910319461821	0.5863938681997974	9.961749812155834e-21	1.1389105009121445e-19
CEBPG	130	130	-3.8172475084597823	-4.556551448332093	0.7393039398723107	1.1108311608081772e-20	1.251318631145682e-19
