n_per_group	0.3	0.5	0.8	1.0	1.5	2.0
9	0.092	0.17	0.358	0.513	0.848	0.978
18	0.141	0.308	0.645	0.83	0.992	1.0
25	0.18	0.41	0.791	0.934	0.999	1.0
50	0.318	0.697	0.977	0.999	1.0	
75	0.446	0.86	0.998	1.0	1.0	1.0
100	0.56	0.94	1.0	1.0	1.0	1.0
