layer	module	gene	n_DM1	n_DM2	mean_z_DM1	mean_z_DM2	cohen_d_DM1_minus_DM2_RNAz	wilcoxon_p	interp_promoter_demeth_in_DM1	fdr_bh
RNA_z_proxy	ag_pres_II	HLA-DRA	87	25	0.5371164365181772	-1.254329508064649	2.064924748819736	7.061895276987669e-11	yes	1.3746120951296965e-09
RNA_z_proxy	ag_pres_II	HLA-DRB1	87	25	0.5750478241347976	-1.2423245771697453	2.035230293355891	1.2886988391840905e-10	yes	1.3746120951296965e-09
RNA_z_proxy	ag_pres_II	CIITA	87	25	0.5877428506952161	-1.1091409880325522	1.8530952153129223	2.1303588946856736e-10	yes	1.6345291364611468e-09
RNA_z_proxy	ag_pres_I	HLA-B	87	25	0.4494146511146076	-1.2035840916605989	1.8381670863781554	1.107453205942529e-09	yes	5.906417098360154e-09
RNA_z_proxy	ag_pres_II	HLA-DPB1	87	25	0.5866996125391559	-1.1474824674849333	1.8258099117857127	2.553951775720542e-10	yes	1.6345291364611468e-09
RNA_z_proxy	checkpoint_inh	HAVCR2	87	25	0.541913800930553	-1.1006536077172822	1.8205712800015061	1.122480819267252e-10	yes	1.3746120951296965e-09
RNA_z_proxy	ag_pres_I	HLA-C	87	25	0.49802615983773374	-1.0156241592564725	1.654475323077119	1.5777517987814e-08	yes	5.04880575610048e-08
RNA_z_proxy	checkpoint_inh	CD274	87	25	0.25405367567780707	-1.1672378969415889	1.50463810248892	1.2866806980277071e-08	yes	4.574864704098514e-08
RNA_z_proxy	ag_pres_I	HLA-A	87	25	0.4387426429887897	-0.9415568613690549	1.4573470059850258	1.4281736717719763e-07	yes	3.80846312472527e-07
RNA_z_proxy	chemokine	CCL5	87	25	0.6025004106282725	-0.8892468185759644	1.3790679127756227	1.0521026554980915e-07	yes	3.0606622705399026e-07
RNA_z_proxy	ag_pres_I	B2M	87	25	0.3317445650693692	-0.9137654139914573	1.3647397881867032	1.9328030221651666e-07	yes	4.4178354792346664e-07
RNA_z_proxy	treg_supp	FOXP3	87	25	0.44341341541212953	-0.8826486109829499	1.3341696112262653	7.2232759131672924e-09	yes	2.889310365266917e-08
RNA_z_proxy	checkpoint_inh	CTLA4	87	25	0.5037493404031607	-0.8409835212308159	1.295166001352712	2.0298225201582367e-09	yes	9.27918866358051e-09
RNA_z_proxy	ag_pres_I	TAP1	87	25	0.47262149293072037	-0.742010023804713	1.218547292510405	2.607825777966529e-07	yes	5.563361659661929e-07
RNA_z_proxy	ag_pres_I	TAP2	87	25	0.6099835409622691	-0.7061625643093844	1.2086375077257985	4.063964999660635e-07	yes	7.649816469949431e-07
RNA_z_proxy	effector	GZMA	87	25	0.5445806230728377	-0.7690492903996975	1.206134488579547	3.1399135757700463e-07	yes	6.279827151540093e-07
RNA_z_proxy	checkpoint_inh	TIGIT	87	25	0.5054994238295321	-0.7692533291766678	1.1856206474308726	1.6003416426017403e-07	yes	3.9393025048658225e-07
RNA_z_proxy	checkpoint_inh	PDCD1	87	25	0.533936000140234	-0.597779301214467	1.0045569564132375	3.0466511406405113e-06	yes	5.216616902157692e-06
RNA_z_proxy	effector	GZMB	87	25	0.5354676011724728	-0.5786489780393819	1.0035853639121486	7.749161506934311e-06	yes	1.2181264739453008e-05
RNA_z_proxy	chemokine	CXCL10	87	25	0.5215068163528463	-0.5827433497460816	0.9881740724823576	1.4759354790851419e-05	yes	2.146815242305661e-05
RNA_z_proxy	chemokine	CXCL9	87	25	0.4504217431019619	-0.6220282464314909	0.9815559738545393	2.2913773952176204e-05	yes	3.1880033324766896e-05
RNA_z_proxy	b_cell	MS4A1	87	25	0.46158957736214506	-0.5835655402747233	0.9482938212112195	3.0973662856561297e-06	yes	5.216616902157692e-06
RNA_z_proxy	effector	NKG7	87	25	0.533764057103909	-0.523778232120738	0.905754472240144	8.855372823290634e-05	yes	0.00011334877213812011
RNA_z_proxy	effector	PRF1	87	25	0.510014114541805	-0.5321148528974328	0.8765079341170192	0.00028727538567436135	yes	0.00034047453116961345
RNA_z_proxy	checkpoint_inh	LAG3	87	25	0.5077286443031552	-0.44014804859193823	0.8209971265349446	0.0005150837771182513	yes	0.0005494226955928014
RNA_z_proxy	treg_supp	IL10	87	25	0.3415062540600357	-0.5788701635568808	0.7886071198264503	7.993954985266037e-06	yes	1.2181264739453008e-05
RNA_z_proxy	chemokine	CXCL13	87	25	0.443890198911292	-0.44412074530057966	0.7778356540026002	0.00027913209597614817	yes	0.00034047453116961345
RNA_z_proxy	effector	IFNG	87	25	0.5100359457903524	-0.44226909537414755	0.7515636810779397	5.318894972420057e-05	yes	7.091859963226742e-05
RNA_z_proxy	b_cell	CD79B	87	25	0.5218607619105948	-0.25839977242701717	0.6946696440842125	0.004264720068759255	yes	0.004402291683880521
RNA_z_proxy	b_cell	CD79A	87	25	0.39384845266367924	-0.3529334468805019	0.6646061755420066	0.0005018357991714961	yes	0.0005494226955928014
RNA_z_proxy	b_cell	AICDA	87	25	0.32838145654984785	-0.2945105211507271	0.525432776220987	0.0003212127048913552	yes	0.0003671002341615488
RNA_z_proxy	checkpoint_inh	IDO1	87	25	0.278577271077814	0.13324232803757385	0.11844999715575644	0.6496939169712024	yes	0.6496939169712024
