feature	n_DM1	n_DM2	mean_DM1	mean_DM2	cohen_d_DM1_minus_DM2	wilcoxon_p	fdr_bh
immune_demeth_proxy_up	87	25	0.49923590249910416	-0.7369658208432602	1.3731982285213715	2.561513053460922e-08	4.025234798295734e-08
immune_proxy_amb	87	25	0.4194769285367739	-0.7070092205517566	1.2330024726637743	1.0057914893624066e-08	2.717177139089463e-08
immune_demeth_proxy_full	87	25	0.4764476242241527	-0.7284067921885449	1.355050309746034	1.2350805177679378e-08	2.717177139089463e-08
mean_8g_beta_meth	87	25	0.3903170977011493	0.256204	2.183382939112554	1.3429974578948839e-11	1.4772972036843721e-10
mod_checkpoint_inh_z	87	25	0.4464940223374651	-0.683259053833598	1.2074984400543103	1.093252531515359e-07	1.5032222308336186e-07
mod_treg_supp_z	87	25	0.39245983473608265	-0.7307593872699154	1.1734743281848585	1.711281084032597e-08	3.137348654059761e-08
mod_effector_z	87	25	0.5267724683362754	-0.5691720897662794	0.9971530508113267	1.6230707480845784e-05	1.7853778228930364e-05
mod_ag_pres_I_z	87	25	0.4667555088172483	-0.92045051906528	1.6298185055778476	2.3106349105331527e-09	8.472328005288227e-09
mod_ag_pres_II_z	87	25	0.5716516809718367	-1.1883193851879699	2.0215039778807733	6.740332405853532e-11	3.7071828232194424e-10
mod_b_cell_z	87	25	0.42642006212156663	-0.3723523201832424	0.7729686740481587	0.00023745418806848568	0.00023745418806848568
mod_chemokine_z	87	25	0.5045797922485934	-0.6345347900135291	1.0863757779453116	1.7577586102907728e-06	2.1483716347998336e-06
