model	R2	delta	mediator_added
M0_rai~MAPK	0.9563768747103822		
M1_rai~MAPK+8gMeth	0.9566086659537161	0.00023179124333383427	mean_8g_beta_meth
M_imm_only_rai~MAPK+immProxy	0.9588574113387228	0.0024805366283405794	immune_demeth_proxy_up
M2_rai~MAPK+8gMeth+immProxy	0.9598912112310433	0.003282545277327187	immune_demeth_proxy_up_after_8gMeth
