feature	raw_d	raw_p	resid_d_8gMethBeta_out	resid_p_8gMethBeta_out	n_DM1	n_DM2	raw_fdr	resid_fdr
immune_demeth_proxy_up	1.3731982285213715	2.561513053460922e-08	-0.01744989505522152	0.7959921346478255	87	25	4.26918842243487e-08	0.7959921346478255
immune_proxy_amb	1.2330024726637743	1.0057914893624066e-08	-0.1286232219426194	0.37485691134654664	87	25	3.087701294419845e-08	0.6023567734509968
immune_demeth_proxy_full	1.355050309746034	1.2350805177679378e-08	-0.05083765410407286	0.6801470664470898	87	25	3.087701294419845e-08	0.7557189627189886
mod_checkpoint_inh_z	1.2074984400543103	1.093252531515359e-07	-0.14723650293407958	0.4216497414156978	87	25	1.561789330736227e-07	0.6023567734509968
mod_treg_supp_z	1.1734743281848585	1.711281084032597e-08	-0.09710594168165879	0.29781179346972464	87	25	3.422562168065194e-08	0.5956235869394493
mod_effector_z	0.9971530508113267	1.6230707480845784e-05	-0.21144706246090977	0.23764747198004277	87	25	1.8034119423161983e-05	0.5956235869394493
mod_ag_pres_I_z	1.6298185055778476	2.3106349105331527e-09	0.2725031705636193	0.27878073807365766	87	25	1.1553174552665764e-08	0.5956235869394493
mod_ag_pres_II_z	2.0215039778807733	6.740332405853532e-11	0.47023523256844313	0.08065905831999544	87	25	6.740332405853532e-10	0.4032952915999772
mod_b_cell_z	0.7729686740481587	0.00023745418806848568	-0.3718251213155437	0.01012883496674844	87	25	0.00023745418806848565	0.1012883496674844
mod_chemokine_z	1.0863757779453116	1.7577586102907728e-06	-0.1052483486290932	0.6198150810119987	87	25	2.197198262863466e-06	0.7557189627189886
