gene	n	spearman_meth_vs_rna	p	interp_expected_negative
DIO1	112	-0.391851692091011	1.932018157766404e-05	yes
FOXE1	112	-0.2808238924854365	0.002706740961360738	yes
NKX2-1	112	-0.3435394420362996	0.00020855691992552195	yes
PAX8	112	-0.4647569096993258	2.4397487341475066e-07	yes
SLC5A5	112	-0.061748142583342804	0.5177824477573327	yes
TG	112	-0.5687811253592328	6.051329795151943e-11	yes
TPO	112	-0.6773998595204929	2.37965872169449e-16	yes
TSHR	112	-0.3674348877272787	6.740166535723246e-05	yes
