split_name	branch	n	n_pos	AUPRC	AUROC
exact_peptide_hla_holdout	qk_clean_no_tcr_gamma1	89.0	21.0	0.4444400578805139	0.7205882352941176
exact_peptide_hla_holdout	qk_no_anchor_gamma1	89.0	21.0	0.4521131101029039	0.7030812324929971
exact_peptide_hla_holdout	qk_quantum_only_gamma1	89.0	21.0	0.4324270661561637	0.65406162464986
hla_stratified_group_5fold	qk_clean_no_tcr_gamma1	89.0	21.0	0.3098796627390961	0.6141456582633054
hla_stratified_group_5fold	qk_no_anchor_gamma1	89.0	21.0	0.4250397439572104	0.6659663865546218
hla_stratified_group_5fold	qk_quantum_only_gamma1	89.0	21.0	0.4269751957694988	0.6533613445378151
hla_supertype_heldout	qk_clean_no_tcr_gamma1	72.0	15.0	0.2967726048224769	0.6421052631578947
hla_supertype_heldout	qk_no_anchor_gamma1	72.0	15.0	0.3718070024455509	0.671345029239766
hla_supertype_heldout	qk_quantum_only_gamma1	72.0	15.0	0.4498358183585776	0.6350877192982456
near_peptide_cluster_holdout	qk_clean_no_tcr_gamma1	89.0	21.0	0.29015105914994854	0.6036414565826331
near_peptide_cluster_holdout	qk_no_anchor_gamma1	89.0	21.0	0.34541012513902647	0.6596638655462185
near_peptide_cluster_holdout	qk_quantum_only_gamma1	89.0	21.0	0.45969501362863086	0.6785714285714286
repeated_stratified_5x5_internal	qk_clean_no_tcr_gamma1	445.0	105.0	0.3121947405574902	0.6216526610644257
repeated_stratified_5x5_internal	qk_no_anchor_gamma1	445.0	105.0	0.3752860736215084	0.6329411764705882
repeated_stratified_5x5_internal	qk_quantum_only_gamma1	445.0	105.0	0.3496385356881576	0.6198319327731092
study_heldout	qk_clean_no_tcr_gamma1	89.0	21.0	0.17830833386869316	0.2822128851540617
study_heldout	qk_no_anchor_gamma1	89.0	21.0	0.20054538415213063	0.3536414565826331
study_heldout	qk_quantum_only_gamma1	89.0	21.0	0.211449849879249	0.44467787114845936
