selected_split	selected_feature_group	selected_model	coverage	kept_n	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	1.0	89	89	21	0.23595505617977527	0.44192608525771365	0.6715686274509804	0.1846541698055655	0.6	0.14285714285714285	2.5428571428571427	0.5	0.23809523809523808	2.119047619047619
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.9	80	80	17	0.2125	0.35944436906249577	0.6442577030812325	0.17879221529615455	0.6	0.17647058823529413	2.823529411764706	0.5	0.29411764705882354	2.3529411764705883
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.8	71	71	13	0.18309859154929578	0.26184176102434203	0.5848806366047745	0.1708683631630451	0.2	0.07692307692307693	1.0923076923076924	0.2	0.15384615384615385	1.0923076923076924
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.7	62	62	10	0.16129032258064516	0.24343983466320654	0.5769230769230769	0.16013361993844794	0.2	0.1	1.2400000000000002	0.4	0.4	2.4800000000000004
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.6	53	53	8	0.1509433962264151	0.4790540246600542	0.575	0.1470486718665764	0.6	0.375	3.975	0.3	0.375	1.9875
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.5	44	44	5	0.11363636363636363	0.10391774891774891	0.36923076923076925	0.13363153978529224	0.0	0.0	0.0	0.0	0.0	0.0
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.4	36	36	5	0.1388888888888889	0.15067663817663818	0.4516129032258065	0.13784390686471207	0.0	0.0	0.0	0.1	0.2	0.72
near_peptide_cluster_holdout	C_counterfactual	rf_secondary	0.3	27	27	4	0.14814814814814814	0.21263227513227512	0.5	0.13617923906932403	0.2	0.25	1.35	0.2	0.5	1.35
