contract_split	feature_group	model	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	ECE
exact_peptide_hla_holdout	C_counterfactual	rf_secondary	89	21	0.23595505617977527	0.525436253778695	0.714985994397759	0.17838280139563123	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.14892273779518966
exact_peptide_hla_holdout	C_counterfactual	elastic_net_lr	89	21	0.23595505617977527	0.5178009114632494	0.6701680672268907	0.2049926275703754	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.197790842616957
exact_peptide_hla_holdout	C_counterfactual	xgboost_depth2	89	21	0.23595505617977527	0.4906346304643297	0.7212885154061625	0.15743463614905803	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.05022606986124864
exact_peptide_hla_holdout	F_CROSS_all	calibrated_linear_svm	89	21	0.23595505617977527	0.4706977064518299	0.6701680672268907	0.17334894982886978	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.015749622092087967
exact_peptide_hla_holdout	F_CROSS_all	elastic_net_lr	89	21	0.23595505617977527	0.4509684615662061	0.6596638655462185	0.21536380472958636	0.6	0.14285714285714285	2.5428571428571427	0.5	0.23809523809523808	2.119047619047619	0.17981286198502416
exact_peptide_hla_holdout	C_counterfactual	calibrated_linear_svm	89	21	0.23595505617977527	0.41701322739037805	0.669467787114846	0.1722621205043023	0.4	0.09523809523809523	1.6952380952380954	0.5	0.23809523809523808	2.119047619047619	0.020987970143661362
exact_peptide_hla_holdout	F_CROSS_all	xgboost_depth2	89	21	0.23595505617977527	0.4032883502444327	0.6736694677871149	0.17179809251467656	0.4	0.09523809523809523	1.6952380952380954	0.3	0.14285714285714285	1.2714285714285714	0.12031591064139699
exact_peptide_hla_holdout	F_CROSS_all	rf_secondary	89	21	0.23595505617977527	0.39881893031234905	0.6743697478991596	0.18503877605291444	0.4	0.09523809523809523	1.6952380952380954	0.4	0.19047619047619047	1.6952380952380954	0.1347293233515301
exact_peptide_hla_holdout	A_structure_baseline_features	rf_secondary	89	21	0.23595505617977527	0.31281360864753793	0.6022408963585434	0.20508822712844285	0.0	0.0	0.0	0.3	0.14285714285714285	1.2714285714285714	0.1584903066107737
exact_peptide_hla_holdout	A_structure_baseline_features	xgboost_depth2	89	21	0.23595505617977527	0.3051636407617088	0.5875350140056023	0.184704975616766	0.2	0.047619047619047616	0.8476190476190477	0.2	0.09523809523809523	0.8476190476190477	0.13063390301854422
exact_peptide_hla_holdout	A_structure_baseline_features	elastic_net_lr	89	21	0.23595505617977527	0.29536136527480805	0.5763305322128852	0.24357456048910828	0.0	0.0	0.0	0.3	0.14285714285714285	1.2714285714285714	0.2435028218096941
exact_peptide_hla_holdout	E_quantum_fixed	xgboost_depth2	89	21	0.23595505617977527	0.2875744651377324	0.4901960784313726	0.18821940137703744	0.4	0.09523809523809523	1.6952380952380954	0.4	0.19047619047619047	1.6952380952380954	0.07494644402118214
exact_peptide_hla_holdout	E_quantum_fixed	elastic_net_lr	89	21	0.23595505617977527	0.2676189277418364	0.5525210084033614	0.24611520505133216	0.2	0.047619047619047616	0.8476190476190477	0.3	0.14285714285714285	1.2714285714285714	0.24931905592876083
exact_peptide_hla_holdout	E_quantum_fixed	rf_secondary	89	21	0.23595505617977527	0.2559662388193071	0.492296918767507	0.2231403433635106	0.4	0.09523809523809523	1.6952380952380954	0.2	0.09523809523809523	0.8476190476190477	0.14920805691437353
exact_peptide_hla_holdout	B_retrieval_only_clean_flags	rf_secondary	89	21	0.23595505617977527	0.25016278835448535	0.5220588235294118	0.24846165471396	0.0	0.0	0.0	0.1	0.047619047619047616	0.42380952380952386	0.26135833548599674
