feature_index	feature
0	mut_aa_frac_A
1	mut_aa_frac_C
2	mut_aa_frac_D
3	mut_aa_frac_E
4	mut_aa_frac_F
5	mut_aa_frac_G
6	mut_aa_frac_H
7	mut_aa_frac_I
8	mut_aa_frac_K
9	mut_aa_frac_L
10	mut_aa_frac_M
11	mut_aa_frac_N
12	mut_aa_frac_P
13	mut_aa_frac_Q
14	mut_aa_frac_R
15	mut_aa_frac_S
16	mut_aa_frac_T
17	mut_aa_frac_V
18	mut_aa_frac_W
19	mut_aa_frac_Y
20	mut_len
21	mut_aromatic_frac
22	mut_kd_mean
23	mut_kd_std
24	mut_kd_min
25	mut_kd_max
26	mut_charge_mean
27	mut_charge_std
28	mut_charge_min
29	mut_charge_max
30	mut_helix_mean
31	mut_helix_std
32	mut_helix_min
33	mut_helix_max
34	mut_sheet_mean
35	mut_sheet_std
36	mut_sheet_min
37	mut_sheet_max
38	mut_kmer_hash_00
39	mut_kmer_hash_01
40	mut_kmer_hash_02
41	mut_kmer_hash_03
42	mut_kmer_hash_04
43	mut_kmer_hash_05
44	mut_kmer_hash_06
45	mut_kmer_hash_07
46	mut_kmer_hash_08
47	mut_kmer_hash_09
48	mut_kmer_hash_10
49	mut_kmer_hash_11
50	mut_kmer_hash_12
51	mut_kmer_hash_13
52	mut_kmer_hash_14
53	mut_kmer_hash_15
54	mut_kmer_hash_16
55	mut_kmer_hash_17
56	mut_kmer_hash_18
57	mut_kmer_hash_19
58	mut_kmer_hash_20
59	mut_kmer_hash_21
60	mut_kmer_hash_22
61	mut_kmer_hash_23
62	mut_kmer_hash_24
63	mut_kmer_hash_25
64	mut_kmer_hash_26
65	mut_kmer_hash_27
66	mut_kmer_hash_28
67	mut_kmer_hash_29
68	mut_kmer_hash_30
69	mut_kmer_hash_31
70	wt_aa_frac_A
71	wt_aa_frac_C
72	wt_aa_frac_D
73	wt_aa_frac_E
74	wt_aa_frac_F
75	wt_aa_frac_G
76	wt_aa_frac_H
77	wt_aa_frac_I
78	wt_aa_frac_K
79	wt_aa_frac_L
80	wt_aa_frac_M
81	wt_aa_frac_N
82	wt_aa_frac_P
83	wt_aa_frac_Q
84	wt_aa_frac_R
85	wt_aa_frac_S
86	wt_aa_frac_T
87	wt_aa_frac_V
88	wt_aa_frac_W
89	wt_aa_frac_Y
90	wt_len
91	wt_aromatic_frac
92	wt_kd_mean
93	wt_kd_std
94	wt_kd_min
95	wt_kd_max
96	wt_charge_mean
97	wt_charge_std
98	wt_charge_min
99	wt_charge_max
100	wt_helix_mean
101	wt_helix_std
102	wt_helix_min
103	wt_helix_max
104	wt_sheet_mean
105	wt_sheet_std
106	wt_sheet_min
107	wt_sheet_max
108	wt_kmer_hash_00
109	wt_kmer_hash_01
110	wt_kmer_hash_02
111	wt_kmer_hash_03
112	wt_kmer_hash_04
113	wt_kmer_hash_05
114	wt_kmer_hash_06
115	wt_kmer_hash_07
116	wt_kmer_hash_08
117	wt_kmer_hash_09
118	wt_kmer_hash_10
119	wt_kmer_hash_11
120	wt_kmer_hash_12
121	wt_kmer_hash_13
122	wt_kmer_hash_14
123	wt_kmer_hash_15
