axis	n	raw_delta_high_low	raw_cohen_d	residual_beta_high	residual_pearson_r	residual_p
TACSTD2_z	43180	0.4929567112550508	0.21591980600370825	-0.36559839890506896	-0.08671439105148998	7.531141626952246e-73
TROP2_raw	43180	2.3623825964482297	0.46494696993968676	-0.34774359362074037	-0.042416887576626344	1.1667144430949728e-18
Macrophage_TAM_z	43180	0.26271014915157187	0.2373459912066848	0.20705059947729437	0.0853308811282889	1.3557279582772025e-70
TLS_B_z	43180	0.13451480557510226	0.14374627721613922	0.05029775455033131	0.025319055073683996	1.4254358301012647e-07
Tcell_cytotoxic_z	43180	0.3929231327468662	0.2939617599558831	0.20978074618201029	0.09230089829717197	2.497210011991597e-82
RAI_thyroid_z	43180	0.22050126437204898	0.25493545743575086	-0.06413548140798737	-0.05966205332967979	2.354586469780532e-35
EMT_stress_z	43180	0.1627946184153911	0.29808002907449194	-0.03740084682069813	-0.03648825737435599	3.337919887402981e-14
DM1_like_score	2400	-0.082832011532367	-0.19127182929559242	0.09162385958940202	0.09510869898683222	3.0486915513250193e-06
RAI_8_score	2400	0.082832011532367	0.19127182929559242	-0.09162385958940202	-0.09510869898683222	3.0486915513250193e-06
n_fib	2400	7.594022173818203	0.22258182778037233	-3.21264392124048	-0.04644775622560629	0.022875429314147076
