auc_pre	auc_flip_pre	auc_post	auc_flip_post	dial	batch_identifiability_post	interpretation	cancer	classifier	n_samples	n_genes	semi_synthetic	seconds
0.9941964285714286	0.9941964285714286	0.9979910714285716	0.9979910714285716	0.0	0.0	true_biology	THCA	LogReg_l2	392	3000	False	180.31
0.9982177197802198	0.9982177197802198	0.9980059523809525	0.9980059523809525	0.0	0.0	true_biology	THCA	RandomForest	392	3000	False	194.19
0.9948695054945054	0.9948695054945054	0.9982142857142857	0.9982142857142857	0.0	0.0	true_biology	THCA	XGBoost	392	3000	False	274.92
0.9944265109890109	0.9944265109890109	0.997566391941392	0.997566391941392	0.0	0.0	true_biology	THCA	LogReg_elasticnet	392	3000	False	371.05
0.9569505494505494	0.9569505494505494	0.9552117673992674	0.9552117673992674	0.0	0.0	true_biology	THCA	GradientBoosting	392	3000	False	409.31
0.8262978400909435	0.8262978400909435	0.8092080333459645	0.8092080333459645	0.0	0.0	true_biology	SKCM	LogReg_l2	212	3000	False	65.3
0.7283440697233801	0.7283440697233801	0.874573702159909	0.874573702159909	0.0	0.0	true_biology	SKCM	RandomForest	212	3000	False	73.74
0.8054566123531641	0.8054566123531641	0.8028798787419478	0.8028798787419478	0.0	0.0	true_biology	SKCM	LogReg_elasticnet	212	3000	False	153.43
0.7150056839712012	0.7150056839712012	0.9317544524441075	0.9317544524441075	0.0	0.0	true_biology	SKCM	XGBoost	212	3000	False	154.19
0.6853353543008716	0.6853353543008716	0.9411519514967791	0.9411519514967791	0.0	0.0	true_biology	SKCM	GradientBoosting	212	3000	False	181.07
0.9557971014492754	0.9557971014492754	0.9689130434782609	0.9689130434782609	0.0	0.10038477694424451	true_biology	LGG	LogReg_l2	142	3000	False	908.69
0.9734782608695653	0.9734782608695653	0.978768115942029	0.978768115942029	0.0	0.10038477694424451	true_biology	LGG	RandomForest	142	3000	False	924.69
0.9718115942028985	0.9718115942028985	0.9692753623188406	0.9692753623188406	0.0	0.10038477694424451	true_biology	LGG	XGBoost	142	3000	False	950.43
0.9707971014492754	0.9707971014492754	0.9097826086956522	0.9097826086956522	0.0	0.10038477694424451	true_biology	LGG	GradientBoosting	142	3000	False	988.12
0.9643478260869566	0.9643478260869566	0.9722463768115942	0.9722463768115942	0.0	0.10038477694424451	true_biology	LGG	LogReg_elasticnet	142	3000	False	991.66
0.9781004234724744	0.9781004234724744	0.979794313369631	0.979794313369631	0.0	0.2891982806825556	true_biology	LUAD	LogReg_l2	236	3000	False	104.99
0.9574107683000606	0.9574107683000606	0.9666868320225852	0.9666868320225852	0.0	0.2891982806825556	true_biology	LUAD	RandomForest	236	3000	False	113.14
0.9595684613833434	0.9595684613833434	0.9600927606372253	0.9600927606372253	0.0	0.2891982806825556	true_biology	LUAD	XGBoost	236	3000	False	199.69
0.9736237144585601	0.9736237144585601	0.9753377697116354	0.9753377697116354	0.0	0.2891982806825556	true_biology	LUAD	LogReg_elasticnet	236	3000	False	231.17
0.9591248235531357	0.9591248235531357	0.9408146803791085	0.9408146803791085	0.0	0.2891982806825556	true_biology	LUAD	GradientBoosting	236	3000	False	267.95
0.9687005649717515	0.9687005649717515	0.9673003766478343	0.9673003766478343	0.0	0.0003410059676044333	true_biology	COAD	LogReg_l2	372	3000	False	149.53
0.9450941619585688	0.9450941619585688	0.9557777777777778	0.9557777777777778	0.0	0.0003410059676044333	true_biology	COAD	RandomForest	372	3000	False	163.45
0.9579585687382298	0.9579585687382298	0.9582721280602635	0.9582721280602635	0.0	0.0003410059676044333	true_biology	COAD	XGBoost	372	3000	False	292.34
0.968939736346516	0.968939736346516	0.9703785310734464	0.9703785310734464	0.0	0.0003410059676044333	true_biology	COAD	LogReg_elasticnet	372	3000	False	321.85
0.9394246704331449	0.9394246704331449	0.949813559322034	0.949813559322034	0.0	0.0003410059676044333	true_biology	COAD	GradientBoosting	372	3000	False	393.67
