direction	pathway	pathway_ko	N_universe	N_pathway_total	N_sig_total	N_overlap	expected	fold_enrichment	p_value	overlap_genes	q_value	neg_log10_q	significant
BRAF_up	Proteases	단백분해효소 (Proteases)	51711	23	10622	19	4.724	4.022	3.201318671510279e-10	CTSA;CTSD;CTSH;CTSK;CTSS;CTSZ;KLK10;KLK11;KLK5;KLK6;KLK7;MMP1;MMP11;MMP14;MMP16;MMP2;MMP3;MMP7;MMP9	5.1221098744164466e-09	8.290551109713554	True
BRAF_up	Inflammation	염증 (Inflammation)	51711	12	10622	12	2.465	4.868	5.614811736629703e-09	CCL2;CCL5;CXCL8;IFNG;IL10;IL1A;IL1B;IL6;NFKB1;NFKB2;PTGS2;TNF	4.4918493893037623e-08	7.347574813962419	True
BRAF_up	BRS_up_BRAFlike	BRS-up · BRAF-like (BRS-up in BRAF-like)	51711	12	10622	11	2.465	4.463	2.6652179442973457e-07	CXCL14;FN1;HMGA2;KLK10;KLK7;LCN2;S100A4;SERPINA1;TACSTD2;TIMP1;TMPRSS4	1.4214495702919177e-06	5.847268543453274	True
BRAF_up	Cell_cycle	세포주기 (Cell cycle)	51711	17	10622	12	3.492	3.436	1.2196793555181835e-05	CCND1;CCND2;CCND3;CDK2;CDK4;E2F2;MCM2;MCM3;MCM4;MCM5;MKI67;PCNA	4.878717422072734e-05	4.31169433572838	True
BRAF_up	Apoptosis	세포사멸 (Apoptosis)	51711	13	10622	10	2.67	3.745	2.054119507922404e-05	BAX;BBC3;BCL2L1;CASP3;CASP7;CASP8;CDKN2A;CDKN2B;MCL1;TP53	5.427941054321263e-05	4.265364877283857	True
BRAF_up	Immune_exhaustion	면역 탈진 (Immune exhaustion)	51711	9	10622	8	1.849	4.327	2.3271204278959353e-05	CD274;CTLA4;EOMES;HAVCR2;LAG3;PDCD1LG2;TIGIT;TOX	5.427941054321263e-05	4.265364877283857	True
BRAF_up	Dedifferentiation_aggressive	탈분화 · 공격성 (Dedifferentiation)	51711	11	10622	9	2.26	3.983	2.3747242112655528e-05	FN1;HMGA2;KRT19;LCN2;MMP9;S100A4;SERPINA1;TERT;TWIST1	5.427941054321263e-05	4.265364877283857	True
BRAF_up	EMT	상피-중간엽 전환 (EMT)	51711	14	10622	9	2.876	3.13	0.00047063025079854923	CDH1;FN1;MMP2;MMP9;S100A4;SNAI2;SPARC;TWIST1;TWIST2	0.0009412605015970985	3.0262901653620493	True
BRAF_up	Kinase_signaling	키나제 신호 (Kinase signaling)	51711	14	10622	8	2.876	2.782	0.002863167579958598	EGFR;ERBB2;ERBB3;FGFR3;IGF1R;MET;PDGFRA;RET	0.005090075697704174	2.2932757589499286	True
BRAF_up	NOTCH	NOTCH 신호	51711	14	10622	6	2.876	2.086	0.04927946908733226	HES5;HEY2;JAG1;MAML1;NOTCH2;NOTCH3	0.07884715053973161	1.1032139970368133	False
BRAF_up	Wnt	Wnt 신호	51711	15	10622	6	3.081	1.947	0.06826295428863456	AXIN1;CTNNB1;DVL1;DVL2;TCF7;WNT5A	0.09929156987437754	1.0030876227277439	False
BRAF_up	PI3K_AKT	PI3K / AKT	51711	13	10622	5	2.67	1.872	0.10870238321471239	AKT3;GSK3B;PDK1;PIK3CA;PIK3R1	0.14493651095294985	0.8388221976342672	False
