model	class_name	n	ovr_auc	precision	recall	f1	small_n_flag
logreg	BRAF_like	747	0.9173088751402004	0.9559228650137741	0.92904953145917	0.9422946367956552	
logreg	RAS_like	117	0.9647003303445021	0.6729559748427673	0.9145299145299145	0.7753623188405797	
logreg	dedifferentiated	68	0.9296619689542484	0.9787234042553191	0.6764705882352942	0.8	
logreg	MACRO	932	0.9372237248129837				
gb	BRAF_like	747	0.910984478454358	0.9379042690815006	0.9705488621151271	0.9539473684210527	
gb	RAS_like	117	0.9708038382885009	0.8141592920353983	0.7863247863247863	0.8	
gb	dedifferentiated	68	0.9313980800653595	0.9782608695652174	0.6617647058823529	0.7894736842105263	
gb	MACRO	932	0.9377287989360727				
