dataset	total_gene_count	TDS16_coverage_n	TDS16_coverage_frac	TDS16_covered_genes	BRS71_proxy_coverage_n	BRS71_proxy_coverage_frac	BRS71_proxy_covered_genes	TierA67_entries_coverage_n	TierA67_entries_coverage_frac	TierA67_entries_covered_genes
TCGA-THCA	51711	16	1.0	DIO1,DIO2,DUOX1,DUOX2,FOXE1,GLIS3,NKX2-1,PAX8,SLC26A4,SLC5A5,SLC5A8,TG,THRA,THRB,TPO,TSHR	71	1.0	AC002401.4,AC004847.1,AC009549.1,ACTBL2,ADAMTS14,AL096865.1,AL137026.1,AP002358.1,ARSI,BEND6,BNC1,BRINP2,C16ORF89,CDK5RAP2,CEACAM6,CFB,CLDN10,CREB5,CRLF2,CRYBG2,CST2,CST5,CYP1B1-AS1,DCSTAMP,DMBX1,DRAXIN,DSC3,ELFN2,EREG,FAM111A-DT,FAM155B,FCHO1,FGFBP1,FN1,HLA-G,IGFL2,INAVA,IVL,KCNN4,KLK6,KLK7,LINC00607,LINC02408,LRRC52-AS1,LY6G6C,MGAT3,MYBPH,PNPLA5,PODNL1,RAB27B,RNF183,RPS29P11,SDR16C5,SIGLEC6,SLC25A47P1,SLC6A14,SLC6A20,SPOCD1,SPOCK2,ST6GALNAC5,STAC,SYT1,SYT12,TM4SF4,TMEM92,TMPRSS11E,TMPRSS6,VGLL1,VTCN1,WARS1P1,WNT10A	67	1.0	AKT1,ALK,APC,ATM,BRAF,CD274,CD8A,CDH1,CDH2,CDKN2A,CDKN2B,CTNNB1,DIO1,DIO2,DUOX1,DUOX2,DUSP4,DUSP5,DUSP6,EIF1AX,ETV4,ETV5,FOSL1,FOXE1,FOXP3,GLIS3,HLA-DRA,HRAS,IDO1,IYD,KLK10,KRAS,LOX,MET,MMP9,MSH2,NKX2-1,NRAS,NTRK1,NTRK3,PAX8,PHLDA1,PIK3CA,PPARG,PTEN,RET,SLC26A4,SLC5A5,SLC5A8,SNAI1,SNAI2,SPRY1,SPRY2,SPRY4,TERT,TG,THADA,THRA,THRB,TP53,TPO,TSHR,TWIST1,VIM,ZEB1,ZEB2
GSE213647	51389	0	0.0		0	0.0		0	0.0	
GSE126698	57769	14	0.875	DIO1,DIO2,DUOX1,DUOX2,FOXE1,GLIS3,PAX8,SLC26A4,SLC5A5,TG,THRA,THRB,TPO,TSHR	55	0.7746478873239436	ACTBL2,ADAMTS14,AL137026.1,ARSI,BEND6,BNC1,BRINP2,C16ORF89,CDK5RAP2,CEACAM6,CLDN10,CREB5,CRLF2,CST2,CST5,DCSTAMP,DMBX1,DRAXIN,DSC3,ELFN2,EREG,FAM155B,FCHO1,FGFBP1,FN1,IGFL2,IVL,KCNN4,KLK6,KLK7,LINC00607,MGAT3,MYBPH,PNPLA5,PODNL1,RAB27B,RNF183,SDR16C5,SIGLEC6,SLC25A47P1,SLC6A14,SLC6A20,SPOCD1,SPOCK2,ST6GALNAC5,STAC,SYT1,SYT12,TM4SF4,TMEM92,TMPRSS11E,TMPRSS6,VGLL1,VTCN1,WNT10A	64	0.9552238805970149	AKT1,ALK,APC,ATM,BRAF,CD274,CD8A,CDH1,CDH2,CDKN2A,CDKN2B,CTNNB1,DIO1,DIO2,DUOX1,DUOX2,DUSP4,DUSP5,DUSP6,EIF1AX,ETV4,ETV5,FOSL1,FOXE1,FOXP3,GLIS3,HRAS,IDO1,IYD,KLK10,KRAS,LOX,MET,MMP9,MSH2,NRAS,NTRK1,NTRK3,PAX8,PHLDA1,PIK3CA,PPARG,PTEN,RET,SLC26A4,SLC5A5,SNAI1,SNAI2,SPRY1,SPRY2,SPRY4,TERT,TG,THADA,THRA,THRB,TP53,TPO,TSHR,TWIST1,VIM,ZEB1,ZEB2
GSE27155	13236	14	0.875	DIO1,DIO2,DUOX1,DUOX2,FOXE1,NKX2-1,PAX8,SLC26A4,SLC5A5,TG,THRA,THRB,TPO,TSHR	40	0.5633802816901409	BNC1,BRINP2,CDK5RAP2,CEACAM6,CFB,CLDN10,CREB5,CRLF2,CST2,CST5,DCSTAMP,DSC3,EREG,FAM155B,FCHO1,FGFBP1,FN1,HLA-G,IVL,KCNN4,KLK6,KLK7,LY6G6C,MGAT3,MYBPH,PODNL1,RAB27B,SIGLEC6,SLC6A14,SLC6A20,SPOCK2,ST6GALNAC5,STAC,SYT1,SYT12,TM4SF4,TMPRSS11E,TMPRSS6,VGLL1,VTCN1	62	0.9253731343283582	AKT1,ALK,APC,ATM,BRAF,CD8A,CDH1,CDH2,CDKN2A,CDKN2B,CTNNB1,DIO1,DIO2,DUOX1,DUOX2,DUSP4,DUSP5,DUSP6,EIF1AX,ETV4,ETV5,FOSL1,FOXE1,FOXP3,HLA-DRA,HRAS,IDO1,KLK10,KRAS,LOX,MET,MMP9,MSH2,NKX2-1,NRAS,NTRK1,NTRK3,PAX8,PHLDA1,PIK3CA,PPARG,PTEN,RET,SLC26A4,SLC5A5,SNAI1,SNAI2,SPRY1,SPRY2,SPRY4,TERT,TG,THADA,THRA,THRB,TP53,TPO,TSHR,TWIST1,VIM,ZEB2
GSE76039	22878	16	1.0	DIO1,DIO2,DUOX1,DUOX2,FOXE1,GLIS3,NKX2-1,PAX8,SLC26A4,SLC5A5,SLC5A8,TG,THRA,THRB,TPO,TSHR	56	0.7887323943661971	ADAMTS14,ARSI,BEND6,BNC1,BRINP2,C16ORF89,CDK5RAP2,CEACAM6,CFB,CLDN10,CREB5,CRLF2,CST2,CST5,CYP1B1-AS1,DCSTAMP,DMBX1,DRAXIN,DSC3,ELFN2,EREG,FAM155B,FCHO1,FGFBP1,FN1,HLA-G,IGFL2,IVL,KCNN4,KLK6,KLK7,LINC00607,LY6G6C,MGAT3,MYBPH,PNPLA5,PODNL1,RAB27B,RNF183,SDR16C5,SIGLEC6,SLC6A14,SLC6A20,SPOCD1,SPOCK2,ST6GALNAC5,STAC,SYT1,SYT12,TM4SF4,TMEM92,TMPRSS11E,TMPRSS6,VGLL1,VTCN1,WNT10A	66	0.9850746268656716	AKT1,ALK,APC,ATM,BRAF,CD274,CD8A,CDH1,CDH2,CDKN2A,CDKN2B,CTNNB1,DIO1,DIO2,DUOX1,DUOX2,DUSP4,DUSP5,DUSP6,EIF1AX,ETV4,ETV5,FOSL1,FOXE1,FOXP3,GLIS3,HLA-DRA,HRAS,IDO1,IYD,KLK10,KRAS,LOX,MET,MMP9,MSH2,NKX2-1,NRAS,NTRK1,NTRK3,PAX8,PHLDA1,PIK3CA,PPARG,PTEN,RET,SLC26A4,SLC5A5,SLC5A8,SNAI1,SNAI2,SPRY1,SPRY2,SPRY4,TERT,TG,THADA,THRA,THRB,TP53,TPO,TSHR,TWIST1,VIM,ZEB2
