gene	novelty_score	classification	n_compounds	best_pchembl	disease_focus_score	has_structure	is_novel	top_pmid	top_compound	chembl_target_id	chembl_pref_name	log2FC	fdr	replicated_27155	replicated_126698
TACSTD2	258.5034421233516	novel_target	0		4	True	True	41413112		CHEMBL3856163	Tumor-associated calcium signal transducer 2	4.866411226656625	6.2348196336405e-52	1	1
TMPRSS4	244.58384646069837	novel_target	0		5	False	True	41656803		CHEMBL2331048	Transmembrane protease serine 4	4.13176019101421	3.2500995282344555e-59	1	1
PLEKHA6	237.59631805138082	novel_target	0		0	True	True					2.3486067866558566	3.0426447457907354e-54	1	1
CYP1B1	231.15198419011531	validated_target	10	8.75	5	True	True	40900788	CHEMBL3132932	CHEMBL4878	Cytochrome P450 1B1	3.4717853376718275	8.992667634918927e-53	1	1
LDLR	211.87115059967502	emerging_target	4	6.22	5	True	True	41340871	CHEMBL115992	CHEMBL3311	Low-density lipoprotein receptor	2.244074542393995	2.7604344873809383e-53	1	1
GABRB2	208.64692667064776	emerging_target	1	6.89	5	True	True	40900788	CANNABIDIOL	CHEMBL1920	Gamma-aminobutyric acid receptor subunit beta-2	3.7018637710050393	2.904858218302039e-47	1	1
B3GNT3	205.9465399868826	novel_target	0		0	False	True			CHEMBL3325305	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3	3.784866529999661	8.009875138029023e-52	1	1
PTPRE	200.81748345332278	novel_target	0		3	True	True	36654463		CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	2.377444175523577	3.834026151789943e-45	1	1
