gene	v5_robust_score	replication_rate	adversarial_shap_stability_rank	correction_method_survival_count	correction_survival_frac	has_chembl_pchembl_ge6	has_structure	thyroid_pubmed_count	has_thyroid_pubmed	category
TACSTD2	0.6500000000000001	1.0	1.0	2	0.3333333333333333	0	0	4	1	batch-robust top-20
GABRB2	0.55	1.0	0.0	2	0.3333333333333333	1	0	5	1	batch-robust top-20
CST6	0.5	1.0	0.8	0	0.0	0	0	0	0	batch-robust top-20
LDLR	0.49999999999999994	1.0	0.0	0	0.0	1	0	5	1	batch-robust top-20
CYP1B1	0.49999999999999994	1.0	0.0	0	0.0	1	0	5	1	batch-robust top-20
DIO1	0.49999999999999994	1.0	0.6	2	0.3333333333333333	0	0	0	0	batch-robust top-20
TMPRSS4	0.39999999999999997	1.0	0.0	2	0.3333333333333333	0	0	5	1	batch-robust top-20
PTPRE	0.39999999999999997	1.0	0.0	2	0.3333333333333333	0	0	3	1	batch-robust top-20
PDLIM4	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
SERPINA1	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
KCNQ3	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
DTX4	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
AHNAK2	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
CTSC	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
DRAM1	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
ITGA3	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
SLC4A4	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
MET	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
EPHB3	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
TNFRSF21	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	batch-robust top-20
CST6	0.5	1.0	0.8	0	0.0	0	0	0	0	zero-literature novel
DIO1	0.49999999999999994	1.0	0.6	2	0.3333333333333333	0	0	0	0	zero-literature novel
PDLIM4	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	zero-literature novel
SERPINA1	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	zero-literature novel
KCNQ3	0.35	1.0	0.0	2	0.3333333333333333	0	0	0	0	zero-literature novel
TACSTD2	0.6500000000000001	1.0	1.0	2	0.3333333333333333	0	0	4	1	fully-validated known
GABRB2	0.55	1.0	0.0	2	0.3333333333333333	1	0	5	1	fully-validated known
LDLR	0.49999999999999994	1.0	0.0	0	0.0	1	0	5	1	fully-validated known
CYP1B1	0.49999999999999994	1.0	0.0	0	0.0	1	0	5	1	fully-validated known
TMPRSS4	0.39999999999999997	1.0	0.0	2	0.3333333333333333	0	0	5	1	fully-validated known
