gene_symbol	log2FC_BRAF_vs_RAS	pvalue	FDR
AP002358.1	2.8734386419168993	5.2237881756623296e-132	2.700907438344451e-127
AC012668.3	0.6168710331357852	2.837596541374255e-131	7.335754578760725e-127
SLC25A47P1	1.9580090270545363	2.815551576296197e-110	4.852509290027286e-106
CLDN10	3.826500820202485	2.7699016375071354e-106	3.580374856641723e-102
TMEM92	2.545607329677862	9.210716929816306e-105	9.524618162784445e-101
WARS1P1	1.5294039042938332	2.803458173955646e-103	2.4158333571033788e-99
PNPLA5	1.9296189373481711	1.7818778540063456e-102	1.3161458937649155e-98
LINC00607	1.2885570765236551	1.1142116874338985e-97	7.201150135885286e-94
BNC1	2.144854566112302	4.3249840001729445e-95	2.4846552527215767e-91
RPS29P11	1.5183068328802962	2.0626171353962035e-93	1.066455563685253e-89
LY6G6C	1.5423557242166748	1.8308066123374874e-91	8.605456825845223e-88
AC009549.1	1.610131390552264	2.2094229772805026e-89	9.519667134775926e-86
CRLF2	1.7326330699747894	1.707906166175016e-88	6.792736955070233e-85
BRINP2	1.6144597092635062	5.749533562052354e-86	2.1233848806596778e-82
FGF9	0.8238396912382351	2.1988992273001564e-82	7.57945904322182e-79
AC104024.2	0.6782812238541143	4.254124616959382e-81	1.3747203699704244e-77
COMETT	0.6297165087519352	1.1334421021171916e-79	3.4472641439921926e-76
CEACAM6	2.9603005333809818	4.797098697381062e-74	1.3779399502743912e-70
ST6GALNAC5	3.6080669540936805	1.3077400343273805e-73	3.558704775519099e-70
ACTBL2	1.0905950459299554	3.121379030002743e-73	8.069389068363092e-70
LINC02481	0.8737589436959408	1.5000022461699854e-72	3.693148387427282e-69
AC010255.1	0.9650895728299059	8.207207573760778e-72	1.9288430017896695e-68
ARL14EPL	0.42408369553136716	3.5125854366856698e-71	7.896292061669385e-68
AL137026.1	1.481717158855706	3.984767794760322e-71	8.58451808584532e-68
WNT10A	3.120830139347566	1.2003429448133498e-70	2.4825012647451776e-67
LINC02408	1.8200371718929644	4.451092162971548e-69	8.851510353626189e-66
INAVA	2.1704287236037416	6.222292027552484e-68	1.1915458777502728e-64
SYT12	6.1023539767609645	2.4669136752446612e-67	4.555332309458927e-64
AL096865.1	1.1319318595285968	7.085461132325786e-67	1.263264422019905e-63
VGLL1	1.3778449219420834	1.9183009513603104e-66	3.30612774630445e-63
RNF183	1.5427026120924028	1.2996393942079016e-65	2.1676308141330756e-62
STAC	2.585615002790637	2.1615805643890467e-64	3.492573796911602e-61
OR4D10	0.8587972890756896	4.839521273857647e-64	7.582503271016237e-61
IVL	2.225299227905202	5.9937148634554746e-64	9.114677450002995e-61
TMPRSS11E	1.787222635941474	2.7027430416224807e-63	3.99264646354425e-60
GABRA6	0.25736043574948164	4.5893755557663884e-63	6.591363159315148e-60
DMBX1	2.0044420836162407	1.4423370559574308e-62	2.0155295984114325e-59
MGAT3	3.7045953088101626	1.1047872270577987e-61	1.5032083891525374e-58
KLK7	4.832223414813153	4.895158669464839e-61	6.48972522682077e-58
ARSI	1.1399216475136917	1.1531328991114231e-60	1.4905395853914254e-57
IGFL2	2.623380670662498	2.8972379757653755e-60	3.6536290804627555e-57
AC114341.2	0.31502702135550925	1.9577397892868533e-59	2.410070906316368e-56
KCNN4	4.52743762539059	5.180625660331896e-59	6.229280677716287e-56
FGFBP1	2.194174723124365	5.717297259156883e-59	6.718344033805624e-56
SDR16C5	1.2007544650608377	2.8367741925281903e-58	3.25939050778839e-55
AC004847.1	2.1107107202104	5.5380062069096075e-58	6.224718976566399e-55
AC007368.1	0.9342738421348182	6.48860117508182e-58	7.138013513966605e-55
AC002401.4	1.2372870677373355	1.341927753549315e-57	1.445479845198204e-54
KLK6	1.652121133072058	2.4856168612181242e-57	2.62278233045759e-54
VTCN1	2.161163500127651	2.6570406342419324e-57	2.747592579056897e-54
AC005062.1	0.17619627177877062	2.05219867614361e-56	2.0805270657123374e-53
BEND6	1.38603312026921	2.667657001205596e-56	2.652471876737195e-53
SYT1	2.4310309583737544	5.397397499604647e-56	5.265415855086012e-53
AL158166.2	0.21076673661881984	1.209610727287772e-55	1.1581798711793882e-52
HLA-G	2.4615205841454735	1.4724403863837297e-55	1.384201049774261e-52
ELFN2	2.069683658271753	3.4727546965444115e-55	3.2063448005380762e-52
CST5	1.0181297752083927	4.3478967789032746e-55	3.9439237729195604e-52
SIGLEC6	2.794962547267904	6.689754011140941e-55	5.963569679172952e-52
C16ORF89	-2.548462362266556	2.1495264625362785e-54	1.8837138342199278e-51
TM4SF1-AS1	0.7287507328030631	2.4175645610385756e-54	2.0832959677323084e-51
AP002358.2	0.5813654141870617	3.7605536060978696e-54	3.1874698958964625e-51
RAB27B	2.103768060253859	5.921188598473545e-54	4.937889278959293e-51
DSC3	2.4814029711174843	8.93160988834659e-54	7.330158058207494e-51
FAM155B	-2.828272202438945	4.416463915417002e-53	3.5679507856675106e-50
TMPRSS6	5.32910676201573	8.925608785190213e-53	7.099841178914996e-50
SPOCK2	3.3325481771815104	3.334819937854439e-52	2.612477728285241e-49
LINC01460	0.3536298056119097	4.6036505831418056e-52	3.552644026130805e-49
GJB4	0.7352836856432758	2.2868527565664074e-51	1.7388152194927872e-48
DCSTAMP	6.680962788432475	9.493556476154146e-51	7.11383831946484e-48
CDSN	0.22327978773183418	1.147062341641021e-50	8.472530187458193e-48
EREG	1.3813543647237398	1.675542354204155e-50	1.220172420870023e-47
AL035409.2	0.3644704987236069	2.2755946583355635e-50	1.6341298085358608e-47
TM4SF4	2.126667042981837	8.693248146166165e-50	6.157201399306512e-47
SLC6A14	1.629876236065338	1.0743938818583948e-49	7.506819090217087e-47
CDK5RAP2	1.3954532878201453	1.4511132376637139e-49	1.0003781178688622e-46
ADGRF4	0.9902498749106404	1.4939701121647186e-49	1.016371456307429e-46
AL158166.1	0.3942571349416488	1.9730207816634282e-49	1.3248450194172193e-46
CRYBG2	1.1255190164508206	3.0868617748880033e-49	2.046193605241145e-46
FCHO1	2.036868649732893	6.2545371984874606e-49	4.093475839374628e-46
CFB	1.1723683163539893	8.625108138343261e-49	5.57440738981125e-46
DRAXIN	1.6882264466995944	9.764049414392757e-49	6.2325976657007795e-46
PLA2G2E	0.5598262365122774	1.449337847584115e-48	9.138605374571839e-46
FAM111A-DT	1.3963573263904996	2.153017683716456e-48	1.3412003170948873e-45
ADAMTS14	1.9854559150056414	2.2540425949906512e-48	1.3874168848975789e-45
CYP1B1-AS1	1.040030294578201	2.6601546845475267e-48	1.6181251507040628e-45
FN1	5.914833294771617	6.274483918413519e-48	3.772278099042472e-45
AC007728.2	0.3961803746560615	8.90936255784463e-48	5.2948239274804456e-45
LRRC52-AS1	3.3168030028274558	9.290618209608724e-48	5.4586604989728353e-45
SPOCD1	1.2411484426653936	1.1549479893969787e-47	6.709598971211391e-45
MYBPH	1.2396482326286467	1.3828127194041506e-47	7.944105427119133e-45
SLC6A20	2.3572192894314963	1.749826127925944e-47	9.942089023987144e-45
AC012462.3	0.10047416080725076	2.0696832018196058e-47	1.1631619594226185e-44
CREB5	2.5596040062674223	3.58201400479506e-47	1.9914457215475676e-44
AC019117.1	0.30029048553768506	3.6656911564196e-47	2.0162861228884998e-44
TNFSF11	0.8146126963257008	4.938137895178277e-47	2.6875945445505014e-44
