dataset	n_samples	ovr_auc_mean	ovr_auc_std	ovr_auc_folds
TCGA-THCA	513	1.0	0.0	1.000,1.000,1.000,1.000,1.000
GSE27155	66	1.0	0.0	1.000,1.000,1.000,1.000,1.000
GSE76039	37	1.0	0.0	1.000,1.000,1.000,1.000,1.000
GSE126698	22	1.0	0.0	1.000,1.000,1.000,1.000,1.000
