gene	log2FC_tcga	cohens_d_tcga	pval_tcga	braf_mean_tcga	ras_mean_tcga	n_braf_tcga	n_ras_tcga	fdr_tcga	log2FC_27155	cohens_d_27155	pval_27155	fdr_27155	log2FC_126698	cohens_d_126698	pval_126698	fdr_126698	replicated_27155	replicated_126698	replication_rate	present_tcga	present_27155	present_126698	n_cohorts_present	median_expr_tcga	coverage_fraction	is_known	panel_memberships	known_category	known_citation	is_novel_validated	novelty_score	known_replicated
DCSTAMP	5.348115176429377	2.2448196368971005	1.3500830054092868e-86	6.253643985390239	0.905528808960862	392	111	1.7453535573179907e-82	0.9147345217391294	1.6001890551238471	2.0598378273183948e-11	6.059127404491909e-09	2.740185042225153	1.5020982239141667	0.04687611769211499	0.7405629711609009	1	1	2	True	True	True	3	5.857369017673358	0.6666666666666666	True	BRS71			False	367.0644511692119	True
KCNN4	3.7754301238933348	2.372427136717678	2.8545709072705813e-62	5.426822374115651	1.6513922502223162	392	111	4.473112611693001e-59	0.9707626956521751	2.478915830747143	4.2522333463619027e-19	5.628681280579251e-15	2.3642393743018633	1.6910416062255604	0.018400038104367977	0.5299952944045063	1	1	2	True	True	True	3	5.026412857962011	1.0	True	BRS71			False	276.8593532920303	True
TACSTD2	4.866411226656625	2.5241924916921716	6.631375913253032e-55	8.423848964055441	3.5574377373988155	392	111	6.2348196336405e-52	0.9131299565217388	1.3331709629932214	4.26190712642571e-05	0.0006583233051870901	4.0037639931743705	3.8345101878766914	0.00025014974525639866	0.11561520986158336	1	1	2	True	True	True	3	8.155442234313426	1.0	False				True	258.5034421233516	False
TMPRSS4	4.13176019101421	2.0908854322183763	2.011239096198151e-62	5.618182860091148	1.4864226690769382	392	111	3.2500995282344555e-59	0.8150953695652179	1.7804356773469152	6.058400068246635e-12	2.3586776971582562e-09	3.2227672578926203	2.2696367450865744	0.003831604010564053	0.29922163444978217	1	1	2	True	True	True	3	4.904839918556908	1.0	False				True	244.58384646069837	False
PLEKHA6	2.3486067866558566	2.219831394761666	2.5300946427066123e-57	4.107417965793213	1.7588111791373566	392	111	3.0426447457907354e-54	0.13488676086956541	0.6025181428312593	0.018782614033293597	0.069858236009752	2.2240194262612327	2.4289995053518796	0.0023720738437146517	0.24471753959451176	1	1	2	True	True	True	3	3.867102258422862	1.0	False				True	237.59631805138082	False
CYP1B1	3.4717853376718275	2.2206460551650955	9.042925432031564e-56	6.284589595610643	2.8128042579388155	392	111	8.992667634918927e-53	0.8627818478260871	2.162209200894376	5.593950710168184e-13	3.085296897937344e-10	2.7489294668275095	2.0526578187250064	0.005231017698394701	0.3339755557668864	1	1	2	True	True	True	3	5.743465772740958	1.0	False				True	231.15198419011531	False
BNC1	1.6494848118480423	1.6268725805273234	1.5435471109912906e-69	2.0309500053726635	0.3814651935246211	392	111	4.988647791029414e-66	0.11123597826086984	0.8993110500486869	0.001817737110981052	0.012121605107333091	0.9705638918426066	2.144310740386967	0.005295569214721228	0.333996637818875	1	1	2	True	True	True	3	1.3948474993486788	1.0	True	BRS71			False	212.47612233194832	True
LDLR	2.244074542393995	2.0155545166045297	2.562334037134943e-56	4.803462836483888	2.559388294089893	392	111	2.7604344873809383e-53	0.33697628260869594	1.4519477709452924	1.6502812600364597e-07	8.737909215641045e-06	1.5279691123961143	1.4346010756521985	0.03415460651392831	0.6661157956637096	1	1	2	True	True	True	3	4.386660882488611	1.0	False				True	211.87115059967502	False
GABRB2	3.7018637710050393	2.241737615617785	5.111912317794774e-50	6.492464097690784	2.790600326685745	392	111	2.904858218302039e-47	0.13906797826086947	0.9647141268688274	0.00136586403955784	0.009736102472604808	3.6499976469035484	2.963916958202558	0.00046491954935570193	0.1369337616463523	1	1	2	True	True	True	3	6.343946442069424	1.0	False				True	208.64692667064776	False
ST6GALNAC5	2.906954301470873	1.7084905074862111	7.056483657359083e-65	3.552204078339171	0.6452497768682981	392	111	1.4946279241219938e-61	0.5203544347826079	1.432382876693209	1.9384039559767372e-10	3.829649726158816e-08	2.3427981107708615	1.7252928095352025	0.027630420896790363	0.6235023738010339	1	1	2	True	True	True	3	2.4414379919477582	0.6666666666666666	True	BRS71			False	207.83946565175495	True
B3GNT3	3.784866529999661	2.015275476921999	8.829124999857947e-55	5.0219378706972995	1.2370713406976386	392	111	8.009875138029023e-52	0.3326584347826085	1.271132280701476	1.3937062692238078e-06	4.414436221641968e-05	2.577700816978404	2.9600172671626233	0.00061688423311724	0.14142560634873932	1	1	2	True	True	True	3	4.537543670489256	1.0	False				True	205.9465399868826	False
PTPRE	2.377444175523577	2.2606259449501436	8.155767181003921e-48	6.2537331373641365	3.8762889618405594	392	111	3.834026151789943e-45	0.5331946739130426	2.2039423653305708	1.2842794992085016e-11	4.358976341287932e-09	2.1653225626875816	2.0722937852530285	0.009556273882354667	0.4139620787837022	1	1	2	True	True	True	3	6.0273162187171465	1.0	False				True	200.81748345332278	False
KCNQ3	2.4778669387015246	1.9610070414334062	6.129671487289904e-54	4.997254209569486	2.5193872708679614	392	111	4.9526787856132535e-51	0.1192034347826092	0.9835007445325211	0.0025359152253478603	0.015618668497698319	2.23493849142056	1.924024485889598	0.008299357949389746	0.3939842290962151	1	1	2	True	True	True	3	4.54547292728665	1.0	False				True	197.29754532554023	False
CREB5	2.092335819750643	2.0323723422313265	4.922645694724948e-52	3.9855794580885244	1.8932436383378812	392	111	3.585280725632701e-49	0.10428517391304437	0.7763202778075005	0.0005972250270230282	0.005152452666378316	1.7078641623451678	2.2550647900137397	0.0030297315150584372	0.272688756186363	1	1	2	True	True	True	3	3.673428482861383	1.0	True	BRS71			False	196.91849444575922	True
LY6E	2.1254931467349065	2.1578333917468653	1.6143203913499927e-45	7.664520107539296	5.53902696080439	392	111	5.8376308921048586e-43	0.5267508913043488	1.1859364932111187	5.3963271617631136e-05	0.0007722290015163064	1.9248983002465443	1.87504910411571	0.009290062263572915	0.41040482532212474	1	1	2	True	True	True	3	7.42351546948653	1.0	False				True	182.26684971141444	False
TAGLN2	1.2224219445336635	2.1808810156977305	6.803693777090913e-45	8.675908585357128	7.453486640823464	392	111	2.3455053927143216e-42	0.27734695652173924	1.4789605860168675	4.0768098826047723e-07	1.7131661084456944e-05	1.2515152677667025	2.075426373100485	0.00493642432436317	0.32736961427418615	1	1	2	True	True	True	3	8.553737889837453	1.0	False				True	181.5791220902937	False
PDLIM4	3.4365786075345723	2.2524857154996334	1.1408008726576244e-42	6.931149173847298	3.4945705663127256	392	111	3.0724976003124174e-40	0.997359717391304	2.6186442070772085	1.7163326989107137e-14	2.5243439928312354e-11	3.2254315566089886	4.529166744748831	8.625076627285823e-05	0.08332652437716716	1	1	2	True	True	True	3	6.861076918184046	1.0	False				True	178.00272172371209	False
ITGA3	1.5192643166250441	2.144454872708791	1.549436800686454e-44	9.81543222968342	8.296167913058376	392	111	5.0076829000185764e-42	0.3229197391304339	1.4862904582169736	7.783985738389625e-08	4.683482691775612e-06	1.3299848264952177	1.7986606359991033	0.013406579121682612	0.4700627305160409	1	1	2	True	True	True	3	9.562130506714208	1.0	False				True	177.1335301303764	False
SERPINA1	4.190774103965181	2.384916309243966	7.88801798483751e-40	10.690106793083585	6.499332689118404	392	111	1.678589703761039e-37	0.8467570000000006	2.0157773248991244	2.483676878650452e-07	1.1997043802423547e-05	4.027171449280086	3.223862667470774	0.0019633948566135794	0.22516085602165206	1	1	2	True	True	True	3	10.564096487832481	1.0	True	HARDCODED_REF	BRS_literature	Yoo 2016 (PMID 27601545); Chakravarty 2011 (PMID 22105173)	False	175.41085900882376	True
BID	1.3493630866555177	2.125295207116835	5.78312022444217e-44	5.360064584180433	4.010701497524916	392	111	1.7386681972449365e-41	0.32521706521739135	1.3122362920283392	7.63718645955767e-06	0.0001737000638576716	1.582048816525102	2.2181138085184413	0.007564836479561962	0.3778569928947837	1	1	2	True	True	True	3	5.213892023602288	1.0	False				True	173.25314413735148	False
