covariate	mode	n	hr	lo	hi	p	note
tds_tertile_low	univariate	504	0.8561671461613531	0.3083675297387605	2.3771056011865763	0.7656639240202092	
tds_tertile_mid	univariate	504	0.12005588164013317	0.014761399448887063	0.9764260337441357	0.04744874492542141	
dediff_tertile_mid	univariate	504	0.12005588164013344	0.014761399448887082	0.9764260337441387	0.047448744925421664	
dediff_tertile_high	univariate	504	0.8561671461613538	0.3083675297387608	2.3771056011865777	0.7656639240202103	
molecular_subtype_RAS_like	univariate	504	0.29572313732021166	0.038833622149109036	2.2519705633103086	0.23950735980619875	
molecular_subtype_unknown	univariate	504	3.5669364696189714	0.46182378544644337	27.54954634049119	0.2227469126986711	
stage_num	univariate	460	2.5255041208225735	1.510256847580836	4.223235984335049	0.00041311578348892736	
sex_num	univariate	504	1.9456589481131477	0.7036958181165309	5.379581127119718	0.19958515712980174	
age_at_diagnosis	univariate	492	1.1762954461464714	1.1078238175754291	1.2489991230313255	1.1179642390753138e-07	
subtype_RAS_like	multivariate	456	0.6909253723333392	0.07913536699716266	6.032421258008186	0.7380628732377486	
stage_num	multivariate	456	1.281029310248335	0.6357930083118977	2.581085466907636	0.48836880052361165	
age_at_diagnosis	multivariate	456	1.168149246543144	1.0958002842558272	1.2452749664378988	1.89363414155781e-06	
sex_num	multivariate	456	1.5177613111173716	0.43869801013081955	5.25099121566061	0.5099834851762186	
