gene	is_known	is_novel_validated	known_category	panel_memberships	log2FC_tcga	cohens_d_tcga	fdr_tcga	log2FC_27155	pval_27155	log2FC_126698	pval_126698	replicated_27155	replicated_126698	replication_rate	median_expr_tcga	n_cohorts_present	coverage_fraction	novelty_score	known_replicated
TG	True	False	Thyroid_lineage_TDS	TDS16;TierA67;HARDCODED_REF	-1.4845644096430792	-1.0683751831746855	1.794020414104777e-21	-0.21221595652174052	0.003940831992698338	-0.34945051738008637	0.6910550441550067	1	0	1	14.78773852427253	3	1.0	22.164695972467698	True
FN1	True	False		BRS71	4.780110349420664	2.44554383386782	4.852163752261223e-58	0.5814568043478272	5.111338868551739e-09	2.6562652050391637	0.05162379002350034	1	0	1	12.905337082408556	3	1.0	140.16405715625584	True
CLU	False	True			2.4223521550499783	1.8411807084429375	1.2346231394163809e-24	0.5324485434782611	2.1420025261747434e-06	2.6451527506745585	0.045112359218268075	1	1	2	12.518139533126357	3	1.0	88.03961121711568	False
CTSB	False	False			0.0385273815366336	0.04895343937244681	0.8067152032981088	0.011042478260869792	0.7556748723248762	-0.36282160155710663	0.20454213069032806	0	0	0	13.217926554012923	3	1.0	0.0	False
MT-CO1	False	False			-0.29165108879238666	-0.29179874731787114	0.08176943574746381					0	0	0	13.594021480021375	1	0.3333333333333333	0.0	False
EEF1A1	False	True			0.3833000714542507	0.8617304270101195	1.243060393374162e-08	0.021467586956522844	0.002763002516975853	0.4599727643547169	0.03975214164362931	1	1	2	12.767516479589872	3	1.0	13.624833174295834	False
MT-ND4	False	False			-0.25243275315661506	-0.2347594373945262	0.1447715461557946					0	0	0	13.121063865032077	1	0.3333333333333333	0.0	False
MT-RNR2	False	False			-0.45876763373523843	-0.40999522960903023	0.013499756417890035					0	0	0	12.531925436514523	1	0.3333333333333333	0.0	False
B2M	False	True			0.9771748208683704	1.064350513340684	2.8350347496946156e-14	0.109785413043479	0.00020239152999914657	0.8128194364249595	0.22111482214338593	1	0	1	11.503246624282262	3	1.0	14.41922643576867	False
APLP2	False	True			0.4743350034687719	0.7117664472280074	1.1722380005634819e-07	0.053653065217392104	0.17055069093024586	0.9911674447084273	0.03972987877664799	0	1	1	11.561952794725693	3	1.0	4.933242002785527	False
MT-CO3	False	False			-0.17386655311242016	-0.16407921694597255	0.35023805219905074					0	0	0	12.491029804289262	1	0.3333333333333333	0.0	False
IGFBP5	False	True			2.290150158317644	1.5470724501867823	2.1332231923597613e-25	0.5306824782608688	5.298554824961724e-06	1.4422423147863679	0.029969183585111588	1	1	2	10.41157367988938	3	1.0	76.33553652993693	False
