gene	log2FC_tcga	cohens_d_tcga	pval_tcga	braf_mean_tcga	ras_mean_tcga	n_braf_tcga	n_ras_tcga	fdr_tcga	log2FC_27155	cohens_d_27155	pval_27155	fdr_27155	log2FC_126698	cohens_d_126698	pval_126698	fdr_126698	replicated_27155	replicated_126698	replication_rate	present_tcga	present_27155	present_126698	n_cohorts_present	median_expr_tcga	coverage_fraction	is_known	panel_memberships	known_category	known_citation	is_novel_validated	novelty_score	known_replicated
TG	-1.4845644096430792	-1.0683751831746855	4.1042063581944863e-23	14.10497434231956	15.589538751962639	392	111	1.794020414104777e-21	-0.21221595652174052	-0.5481809088776022	0.003940831992698338	0.02169916517776535	-0.34945051738008637	-0.23626744330441737	0.6910550441550067	1.0	1	0	1	True	True	True	3	14.78773852427253	1.0	True	TDS16;TierA67;HARDCODED_REF	Thyroid_lineage_TDS	TCGA PTC Cell 2014 (PMID 25417114)	False	22.164695972467698	True
FN1	4.780110349420664	2.44554383386782	3.284131641800445e-61	13.381830747876869	8.601720398456205	392	111	4.852163752261223e-58	0.5814568043478272	1.7026286281438934	5.111338868551739e-09	5.244867643644912e-07	2.6562652050391637	1.2765181466646296	0.05162379002350034	0.7623878376860137	1	0	1	True	True	True	3	12.905337082408556	1.0	True	BRS71			False	140.16405715625584	True
CLU	2.4223521550499783	1.8411807084429375	1.9649491283086414e-26	12.765105360812763	10.342753205762785	392	111	1.2346231394163809e-24	0.5324485434782611	1.8263915774376058	2.1420025261747434e-06	6.142616093937036e-05	2.6451527506745585	1.434749744575797	0.045112359218268075	0.7340037141038571	1	1	2	True	True	True	3	12.518139533126357	1.0	False				True	88.03961121711568	False
CTSB	0.0385273815366336	0.04895343937244681	0.7055967326608567	13.23262902730098	13.194101645764347	392	111	0.8067152032981088	0.011042478260869792	0.06902151105081093	0.7556748723248762	0.8615734956903002	-0.36282160155710663	-0.7847514276243702	0.20454213069032806	0.8250113134850708	0	0	0	True	True	True	3	13.217926554012923	1.0	False				False	0.0	False
MT-CO1	-0.29165108879238666	-0.29179874731787114	0.03524351074122476	13.609879413959113	13.9015305027515	392	111	0.08176943574746381									0	0	0	True	False	False	1	13.594021480021375	0.3333333333333333	False				False	0.0	False
EEF1A1	0.3833000714542507	0.8617304270101195	1.3634697745582655e-09	12.813483547396437	12.430183475942187	392	111	1.243060393374162e-08	0.021467586956522844	0.8127952222937965	0.002763002516975853	0.016677548708257803	0.4599727643547169	1.43897485186967	0.03975214164362931	0.7069741091638061	1	1	2	True	True	True	3	12.767516479589872	1.0	False				True	13.624833174295834	False
MT-ND4	-0.25243275315661506	-0.2347594373945262	0.06985910911074128	13.144063560882083	13.396496314038698	392	111	0.1447715461557946									0	0	0	True	False	False	1	13.121063865032077	0.3333333333333333	False				False	0.0	False
MT-RNR2	-0.45876763373523843	-0.40999522960903023	0.004454449403319488	12.527573980404199	12.986341614139437	392	111	0.013499756417890035									0	0	0	True	False	False	1	12.531925436514523	0.3333333333333333	False				False	0.0	False
B2M	0.9771748208683704	1.064350513340684	1.4758781586466913e-15	11.722190643863096	10.745015822994725	392	111	2.8350347496946156e-14	0.109785413043479	1.178374933040402	0.00020239152999914657	0.002221440035322308	0.8128194364249595	0.7558863301669302	0.22111482214338593	0.8250113134850708	1	0	1	True	True	True	3	11.503246624282262	1.0	False				True	14.41922643576867	False
APLP2	0.4743350034687719	0.7117664472280074	1.4782471817745672e-08	11.632701964681827	11.158366961213055	392	111	1.1722380005634819e-07	0.053653065217392104	0.45463452060153153	0.17055069093024586	0.3342581427070868	0.9911674447084273	1.410658565651935	0.03972987877664799	0.7069741091638061	0	1	1	True	True	True	3	11.561952794725693	1.0	False				True	4.933242002785527	False
MT-CO3	-0.17386655311242016	-0.16407921694597255	0.21376506152537533	12.566434766463264	12.740301319575684	392	111	0.35023805219905074									0	0	0	True	False	False	1	12.491029804289262	0.3333333333333333	False				False	0.0	False
