threshold	prev	sens	spec	npv	ppv	unnecessary_surgery	missed_cancer	nb_model	nb_treat_all	nb_treat_none	tp	fp	tn	fn
0.05	0.1	0.994	0.38955555555555554	0.9982915717539863	0.1532059186189889	0.5494	0.0006	0.07048421052631579	0.052631578947368425	0.0	994	5494	3506	6
0.060000000000000005	0.1	0.994	0.39022222222222225	0.9982944855031268	0.15334773218142547	0.5488	0.0006	0.06437021276595745	0.0425531914893617	0.0	994	5488	3512	6
0.07	0.1	0.994	0.39066666666666666	0.9982964224872232	0.15344242050015436	0.5484	0.0006	0.058122580645161286	0.03225806451612902	0.0	994	5484	3516	6
0.08000000000000002	0.1	0.994	0.39211111111111113	0.9983026874115983	0.15375096674400618	0.5471	0.0006	0.05182608695652172	0.021739130434782594	0.0	994	5471	3529	6
0.09000000000000001	0.1	0.994	0.39355555555555555	0.9983089064261556	0.15406075635461872	0.5458	0.0006	0.04541978021978022	0.010989010989010978	0.0	994	5458	3542	6
0.1	0.1	0.994	0.39466666666666667	0.9983136593591906	0.15429990686122322	0.5448	0.0006	0.03886666666666667	0.0	0.0	994	5448	3552	6
0.11000000000000001	0.1	0.994	0.39611111111111114	0.9983197983758051	0.15461191476123815	0.5435	0.0006	0.03222584269662922	-0.011235955056179775	0.0	994	5435	3565	6
0.12000000000000001	0.1	0.994	0.39655555555555555	0.9983216783216783	0.15470817120622568	0.5431	0.0006	0.02534090909090908	-0.022727272727272735	0.0	994	5431	3569	6
0.13	0.1	0.993	0.39755555555555555	0.998047419804742	0.1547934528448948	0.5422	0.0007	0.018281609195402296	-0.03448275862068967	0.0	993	5422	3578	7
0.14	0.1	0.993	0.3987777777777778	0.9980533926585095	0.15505933791380389	0.5411	0.0007	0.011213953488372078	-0.046511627906976744	0.0	993	5411	3589	7
0.15000000000000002	0.1	0.993	0.3998888888888889	0.9980587909040488	0.15530184548013762	0.5401	0.0007	0.003988235294117626	-0.05882352941176475	0.0	993	5401	3599	7
0.16000000000000003	0.1	0.993	0.401	0.9980641592920354	0.15554511278195488	0.5391	0.0007	-0.0033857142857143113	-0.07142857142857148	0.0	993	5391	3609	7
0.17000000000000004	0.1	0.993	0.40255555555555556	0.9980716253443526	0.15588697017268446	0.5377	0.0007	-0.010831325301204842	-0.08433734939759041	0.0	993	5377	3623	7
0.18000000000000005	0.1	0.993	0.4031111111111111	0.9980742778541953	0.15600942655145325	0.5372	0.0007	-0.01862195121951224	-0.09756097560975618	0.0	993	5372	3628	7
0.19	0.1	0.993	0.4042222222222222	0.998079561042524	0.15625491738788355	0.5362	0.0007	-0.02647530864197531	-0.1111111111111111	0.0	993	5362	3638	7
0.2	0.1	0.993	0.4053333333333333	0.9980848153214774	0.15650118203309693	0.5352	0.0007	-0.0345	-0.125	0.0	993	5352	3648	7
0.21000000000000002	0.1	0.993	0.4063333333333333	0.9980895196506551	0.15672348484848486	0.5343	0.0007	-0.042729113924050655	-0.13924050632911394	0.0	993	5343	3657	7
0.22000000000000003	0.1	0.993	0.4072222222222222	0.9980936819172114	0.15692161820480405	0.5335	0.0007	-0.051174358974358986	-0.15384615384615388	0.0	993	5335	3665	7
0.23000000000000004	0.1	0.993	0.4083333333333333	0.9980988593155894	0.15716999050332384	0.5325	0.0007	-0.059758441558441566	-0.16883116883116886	0.0	993	5325	3675	7
