strategy	k	tcga_mean_auc	tcga_auc_lo	tcga_auc_hi	gse27155_mean_auc	gse126698_mean_auc	gse27155_mean_npv_se95	gse126698_mean_npv_se95	n_tcga	n_gse27155	n_gse126698
univariate_d	4	0.9182375595419072	0.8791626095423565	0.9547348083946872	0.9090225563909774	0.875	1.0	1.0	503	66	12
univariate_d	8	0.9274257113277476	0.9009294502965389	0.9532327615514187	0.8992481203007519	0.4875	1.0	1.0	503	66	12
univariate_d	16	0.9318569249499353	0.8980570062848543	0.9612109409577764	0.9285714285714285	0.4875	1.0	1.0	503	66	12
univariate_d	24	0.9360891630842099	0.910651795461922	0.9614453240760341	0.9015037593984964	0.6875	1.0	1.0	503	66	12
univariate_d	32	0.9282624090274062	0.9032324215868519	0.9595347232111129	0.862781954887218	0.625	1.0	1.0	503	66	12
univariate_d	40	0.9234900762418649	0.895733380543507	0.9548877924497077	0.8387218045112782	0.6625	1.0		503	66	12
tds16_union	4	0.9027409482830506	0.8707429701100586	0.9347389264560426	0.8567669172932332	0.55	1.0	1.0	503	66	12
tds16_union	8	0.9095608940683239	0.8895990085863502	0.9334500758826572	0.8774436090225564	0.5125		1.0	503	66	12
tds16_union	16	0.9282008305398509	0.907509368268862	0.94889229281084	0.8180451127819548	0.6875	1.0	1.0	503	66	12
tds16_union	24	0.9391996464368507	0.9094892449322829	0.9644440232304843	0.899248120300752	0.5625	1.0	1.0	503	66	12
tds16_union	32	0.9339879254848984	0.9097385736626243	0.960452630748448	0.8436090225563909	0.725	1.0	1.0	503	66	12
tds16_union	40	0.9224411251929139	0.8948009796111063	0.955004342566258	0.8436090225563909	0.6625	1.0		503	66	12
qubo_neal	4	0.9350980060115999	0.9078781977516155	0.9572414377037383	0.8736842105263157	0.575	1.0	1.0	503	66	12
qubo_neal	8	0.9303593489614403	0.8936708860759495	0.9651918618897154	0.8259398496240602	0.7375	1.0	1.0	503	66	12
qubo_neal	16	0.9211107091404284	0.8880871925726079	0.9605798897488496	0.8661654135338346	0.6625	1.0	1.0	503	66	12
qubo_neal	24	0.9222099492875498	0.888510223953262	0.9581221383642957	0.8477443609022556	0.7875	1.0	1.0	503	66	12
qubo_neal	32	0.9282653596632683	0.9028562155144433	0.9581848073042349	0.843233082706767	0.8125		1.0	503	66	12
qubo_neal	40	0.9275389900871464	0.8996370717889706	0.9595371606929118	0.8007518796992482	0.525	1.0		503	66	12
