signature	signature_ko	n_braf	n_ras	mean_braf	mean_ras	mean_diff_braf_minus_ras	cliffs_delta	mw_u	p_value	missing_markers	q_value
Treg	조절 T세포 (Treg)	442	119	0.185999336358085	-0.6475078102655536	0.8335071466236386	0.5891098520856306	41792.0	5.563009305680592e-23		5.006708375112533e-22
IFN_gamma_response	IFN-γ 반응 (IFN-γ response)	442	119	0.14612945770327856	-0.5145332229437769	0.6606626806470555	0.5257614357960378	40126.0	1.2573149517624216e-18		5.657917282930897e-18
Macrophage_M1	대식세포 M1 (Macrophage M1)	442	119	0.1027819921569234	-0.3668087483919436	0.469590740548867	0.49572227080877607	39336.0	9.887175928437988e-17		2.9661527785313964e-16
Checkpoint_exhaustion	면역관문 · 탈진 (Checkpoint exhaustion)	442	119	0.1432052311359066	-0.482064765624505	0.6252699967604116	0.4860641089014792	39082.0	3.814889257922662e-16		8.583500830325989e-16
Macrophage_M2	대식세포 M2 (Macrophage M2)	442	119	0.10895827085864682	-0.3958712348447176	0.5048295057033644	0.47522719495037835	38797.0	1.6830921915860767e-15		3.0295659448549383e-15
T_cell_total	T세포 전체 (T cell total)	442	119	0.13565482920477673	-0.4723685300742118	0.6080233592789885	0.4252633179968821	37483.0	1.0370047375865155e-12		1.5555071063797733e-12
CD8_cytotoxic	CD8 세포독성 (CD8 cytotoxic)	442	119	0.10865676567003088	-0.389464633355002	0.49812139902503283	0.41111829347123474	37111.0	5.638914119291186e-12		7.250032439088667e-12
B_cell	B세포 (B cell)	442	119	0.07364749028552726	-0.2575008056510347	0.331148295936562	0.21247956196053086	31887.0	0.0003707924250530701		0.00041714147818470385
NK_cell	자연살해세포 (NK cell)	442	119	0.031320999516475836	-0.12533212844324892	0.15665312795972475	0.12019468420852508	29460.0	0.04404158828569062		0.04404158828569062
