gene	coef	source
TACSTD2	-1.0552560566893423	cox_univariate_high_vs_low_median
PLEKHA6	-0.17275045911736198	cox_univariate_high_vs_low_median
CYP1B1	-0.09148145575459306	cox_univariate_high_vs_low_median
TMPRSS4	-0.323055890010782	cox_univariate_high_vs_low_median
LDLR	0.06110730516348319	cox_univariate_high_vs_low_median
