threshold	prev	tp	fp	tn	fn	sens	spec	ppv	npv	unnecessary_surgery_rate	missed_cancer_rate	nb_model	nb_all	nb_none	cost_per_patient_krw	treat_all_cost_krw	treat_none_cost_krw
0.05	0.05	1000	18362	638	0	1.0	0.033578947368421055	0.05164755707055056	1.0	0.9181	0.0	0.0016789473684210507	0.0	0.0	3736200.0	3800000	3300000.0
0.060000000000000005	0.05	1000	18123	877	0	1.0	0.046157894736842106	0.05229305025362129	1.0	0.90615	0.0	-0.007839361702127665	-0.010638297872340427	0.0	3712300.0	3800000	3300000.0
0.07	0.05	1000	17820	1180	0	1.0	0.06210526315789474	0.053134962805526036	1.0	0.891	0.0	-0.017064516129032273	-0.02150537634408603	0.0	3682000.0	3800000	3300000.0
0.08000000000000002	0.05	1000	17504	1496	0	1.0	0.07873684210526316	0.054042369217466496	1.0	0.8752	0.0	-0.026104347826086977	-0.03260869565217393	0.0	3650400.0	3800000	3300000.0
0.09000000000000001	0.05	1000	17169	1831	0	1.0	0.09636842105263158	0.05503880235566074	1.0	0.85845	0.0	-0.03490164835164836	-0.04395604395604395	0.0	3616900.0	3800000	3300000.0
0.1	0.05	1000	16799	2201	0	1.0	0.1158421052631579	0.05618293162537221	1.0	0.83995	0.0	-0.043327777777777784	-0.05555555555555555	0.0	3579900.0	3800000	3300000.0
0.11000000000000001	0.05	1000	16435	2565	0	1.0	0.135	0.05735589331803843	1.0	0.82175	0.0	-0.05156460674157304	-0.06741573033707865	0.0	3543500.0	3800000	3300000.0
0.12000000000000001	0.05	1000	16039	2961	0	1.0	0.1558421052631579	0.05868889019308645	1.0	0.80195	0.0	-0.059356818181818205	-0.07954545454545454	0.0	3503900.0	3800000	3300000.0
0.13	0.05	1000	15589	3411	0	1.0	0.17952631578947367	0.06028090903610826	1.0	0.77945	0.0	-0.06646954022988506	-0.09195402298850576	0.0	3458900.0	3800000	3300000.0
0.14	0.05	1000	15146	3854	0	1.0	0.2028421052631579	0.061934844543540195	1.0	0.7573	0.0	-0.07328139534883721	-0.10465116279069768	0.0	3414600.0	3800000	3300000.0
