target	pmid	year	title	evidence_extract
TACSTD2	41413112	2025	METTL3-mediated m6A modification of TACSTD2 mRNA inhibits papillary thyroid cancer progression by activating the TNF signaling and blocking epithelial-mesenchymal transition.	Papillary thyroid cancer (PTC) represents a prevalent endocrine neoplasm. Dysregulated tumor-associated calcium signal transducer 2 (TACSTD2) expression is functionally involved in the progression of multiple cancers. Nonetheless, the biological molecular mechanisms underlying TACSTD2 in PTC remain unclear
TACSTD2	38698420	2024	Single-sEV profiling identifies the TACSTD2 + sEV subpopulation as a factor of tumor susceptibility in the elderly.	Aging is a very complex physiological phenomenon, and sEVs are involved in the regulation of this mechanism. Serum samples from healthy individuals under 30 and over 60 years of age were collected to analyze differences in sEVs proteomics
TACSTD2	38696857	2024	BRAF mutation, selected miRNAs and genes expression in primary papillary thyroid carcinomas and local lymph node metastases.	Mutations in cancer-related genes are now known to be accompanied by epigenetic events in carcinogenesis by modification of the regulatory pathways and expression of genes involved in the pathobiology. Such cancer-related mutations, miRNAs and gene expression may be…
TACSTD2	32320975	2020	Impact of the Tumor Microenvironment on the Gene Expression Profile in Papillary Thyroid Cancer.	Transcriptome of papillary thyroid cancer (PTC) is well characterized and correlates with some prognostic and genotypic factors, but data addressing the interaction between PTC and tumor microenvironment (TME) are scarce. Therefore, in the present study, we aimed to…
TMPRSS4	41656803	2025	[A multi-molecular predictive model for lymph node metastasis in papillary thyroid carcinoma based on machine learning algorithms].	Accurate preoperative evaluation of lymph node metastasis (LNM) status in patients with papillary thyroid carcinoma (PTC) is essential for the development of individualized diagnosis and treatment strategies; however, the predictive performance of current clinical approaches remains limited
TMPRSS4	39000197	2024	Prediction of the Aggressive Clinical Course of Papillary Thyroid Carcinoma Based on Fine Needle Aspiration Biopsy Molecular Testing.	Molecular genetic events are among the numerous factors affecting the clinical course of papillary thyroid carcinoma (PTC). Recent studies have demonstrated that aberrant expression of miRNA, as well as different thyroid-related genes, correlate with the aggressive clinical course…
TMPRSS4	37009799	2023	TMPRSS4, a type II transmembrane serine protease, as a potential therapeutic target in cancer.	Proteases are involved in almost all biological processes, implying their importance for both health and pathological conditions. Dysregulation of proteases is a key event in cancer. Initially, research identified their role in invasion and metastasis, but more recent…
TMPRSS4	36380313	2022	TMPRSS4 is a novel biomarker and correlated with immune infiltration in thyroid carcinoma.	Transmembrane protease serine 4 (TMPRSS4) is a cancer-associated protease associated with prognosis in various types of cancer. Mechanistically, TMPRSS4 mainly regulates malignant phenotypes, such as tumor invasion and metastasis, by either the epithelial to mesenchymal transition (EMT) program…
TMPRSS4	33649798	2021	COVID‑19 and SARS‑CoV‑2 host cell entry mediators: Expression profiling of TMRSS4 in health and disease.	Severe acute respiratory syndrome (SARS) coronavirus‑2 (SARS‑CoV‑2), the causative viral agent for the ongoing COVID‑19 pandemic, enters its host cells primarily via the binding of the SARS‑CoV‑2 spike (S) proteins to the angiotensin‑converting enzyme 2 (ACE2)
CYP1B1	40900788	2025	Network toxicological insights into DEHP exposure and thyroid cancer development and progression.	This study aimed to identify markers of di-2-ethylhexyl phthalate (DEHP) exposure associated with thyroid cancer occurrence and prognosis by integrating network toxicology and molecular docking. Expression profiles and clinical information were obtained from TCGA-THCA and five GEO datasets…
CYP1B1	38763096	2024	Impact of benzo[a]pyrene, PCB153 and sex hormones on human ESC-Derived thyroid follicles using single cell transcriptomics.	Endocrine disruptors are compounds of manmade origin able to interfere with the endocrine system and constitute an important environmental concern. Indeed, detrimental effects on thyroid physiology and functioning have been described. Differences exist in the susceptibility of human…
CYP1B1	37773677	2024	Network Pharmacology-Based Identification of Key Pharmacological Mechanism of Shen-qi-di-huang Decoction Acting on Uremia.	This study employs network pharmacology to uncover the pharmacological mechanisms underlying Shen-qi-di-huang decoction's efficacy in treating uremia. We identified a total of 927 differentially expressed genes (DEGs) through differential expression analysis and the Traditional Chinese Medicine Systems Pharmacology…
CYP1B1	31936153	2020	The Aryl Hydrocarbon Receptor Is Expressed in Thyroid Carcinoma and Appears to Mediate Epithelial-Mesenchymal-Transition.	Aryl hydrocarbon receptor (AhR) is expected to promote initiation, progression and invasion of cancer cells regulating proliferation, differentiation, gene expression, inflammation, cell motility and migration. Furthermore, an immunosuppressant function of AhR has been recognized
CYP1B1	30638277	2019	Pan-cancer genomic analyses reveal prognostic and immunogenic features of the tumor melatonergic microenvironment across 14 solid cancer types.	We performed comprehensive genomic analyses of the melatonergic system within the tumor microenvironment and their clinical relevance across a broad spectrum of solid tumors. RNA-seq data from The Cancer Genome Atlas (TCGA) of 14 solid tumors representing 6658…
LDLR	41340871	2026	Transferrin receptor serves a role in promoting PANoptosis in thyroid cancer.	PANoptosis is an emerging form of regulated cell death (RCD) that results from the interaction between necrosis, apoptosis and pyroptosis. The transferrin receptor (TFRC) is a suppressor in thyroid cancer (TC) and is involved in several RCD pathways,…
LDLR	38127052	2023	Causal effects of lipid-lowering therapies on aging-related outcomes and risk of cancers: a drug-target Mendelian randomization study.	Despite the widespread use of statins, newer lipid-lowering drugs have been emerging. It remains unclear how the long-term use of novel lipid-lowering drugs affects the occurrence of cancers and age-related diseases. A drug-target Mendelian randomization study was performed
LDLR	37612751	2023	Anlotinib affects systemic lipid metabolism and induces lipid accumulation in human lung cancer cells.	Anlotinib has demonstrated encouraging clinical outcomes in the treatment of lung cancer, soft tissue sarcoma and thyroid carcinoma. Several clinical studies have shown a relationship between anlotinib treatment and the occurrence of hyperlipidemia
LDLR	37565296	2023	Circ_LDLR promotes the progression of papillary thyroid carcinoma by regulating miR-1294/HMGB3 axis.	Circular RNAs (circRNAs) have been found to be associated with the development and progression of cancers including papillary thyroid carcinoma (PTC). Circ_LDLR has been reported to be highly expressed in PTC, but its underlying mechanism of action has…
LDLR	37446330	2023	Low-Density Lipoprotein Receptor Is a Key Driver of Aggressiveness in Thyroid Tumor Cells.	We previously described the role of low-density lipoprotein (LDL) in aggressiveness in papillary thyroid cancer (PTC). Moreover, the MAPK signaling pathway in the presence of BRAF V600E mutation is associated with more aggressive PTC
GABRB2	40900788	2025	Network toxicological insights into DEHP exposure and thyroid cancer development and progression.	This study aimed to identify markers of di-2-ethylhexyl phthalate (DEHP) exposure associated with thyroid cancer occurrence and prognosis by integrating network toxicology and molecular docking. Expression profiles and clinical information were obtained from TCGA-THCA and five GEO datasets…
GABRB2	39093515	2024	miR-144-3p Targets GABRB2 to Suppress Thyroid Cancer Progression In Vitro.	Thyroid cancer, as one of the most common cancers in many countries, has attracted increasing attention, but its pathogenesis is still unclear. This research explored the effects of miR-144-3p and GABRB2 on thyroid cancer cells and the underlying…
GABRB2	37372430	2023	Papillary Thyroid Carcinoma: A thorough Bioinformatic Analysis of Gene Expression and Clinical Data.	The likelihood of being diagnosed with thyroid cancer has increased in recent years; it is the fastest-expanding cancer in the United States and it has tripled in the last three decades. In particular, Papillary Thyroid Carcinoma (PTC) is…
GABRB2	36157240	2022	PRR15 Is a Novel Diagnostic and Prognostic Biomarker in Papillary Thyroid Cancer and Modulates the Tumor Microenvironment.	Papillary thyroid cancer (PTC), accounting for more than 80 percent of all cases of thyroid cancer, is a form of a cancerous tumor that has a very favorable prognosis. However, patients diagnosed with PTC who are already in…
GABRB2	34673206	2022	GABRB2, a key player in neuropsychiatric disorders and beyond.	The GABA receptors represent the main inhibitory system in the central nervous system that ensure synaptogenesis, neurogenesis, and the regulation of neuronal plasticity and learning. GABAA receptors are pentameric in structure and belong to the Cys-loop superfamily
PTPRE	36654463	2023	Receptor Type Protein Tyrosine Phosphatase Epsilon (PTPRE) Plays an Oncogenic Role in Thyroid Carcinoma by Activating the AKT and ERK1/2 Signaling Pathway.	Thyroid carcinoma (TC) is a common malignant tumor in human and its incidence has been increasing in recent years. Studies have shown that receptor type protein tyrosine phosphatase epsilon (PTPRE) is a key regulator of tumorigenesis in cancer…
PTPRE	34335744	2021	Identification of Potential lncRNAs and miRNAs as Diagnostic Biomarkers for Papillary Thyroid Carcinoma Based on Machine Learning.	Papillary thyroid carcinoma (PTC) accounts for most of the proportion of thyroid cancer (TC). The objective of this study was to identify diagnostic, differentially expressed long noncoding RNAs (lncRNAs) and microRNAs (miRNAs), contributing to understanding the epigenetics mechanism…
PTPRE	33155892	2021	Prediction Biomarkers Associated with Lymph Node Metastasis and Prognosis were Identified in Papillary Thyroid Carcinoma via Integrated Bioinformatics Analysis.	Prediction biomarkers associated with prognosis and lymph node metastasis (LNM) in papillary thyroid carcinoma (PTC) are needed to facilitate clinicians in choosing appropriate therapies. We hope to identify key genes associated with LNM and prognosis in PTC
