target	mode	evaluation	held_out_stage	n_spots	rho	p	slide_centered_rho	slide_centered_p
DM1_like_score	raw_smoothed	leave_one_stage_out	PT	800	0.25050718829248175	6.513782605375126e-13	0.40400355313055175	9.200606769039484e-33
DM1_like_score	raw_smoothed	leave_one_stage_out	PTC	800	0.45719389405295946	1.4300009720875912e-42	0.4082240675376056	1.7702131563150037e-33
DM1_like_score	raw_smoothed	leave_one_stage_out	LPTC	800	0.47849139608030644	5.177862308865793e-47	0.5571569096201714	1.9858439141358216e-66
DM1_like_score	raw_smoothed	leave_one_stage_out	ATC	800	0.2140486143761068	9.60973014957009e-10	0.19721259381866996	1.859153525366787e-08
DM1_like_score	coord_qc_residual_target	leave_one_stage_out	PT	800	0.16671860424781915	2.1228602913399813e-06	0.19089299358280248	5.300121214561424e-08
DM1_like_score	coord_qc_residual_target	leave_one_stage_out	PTC	800	0.19649573671208861	2.0974207313934527e-08	0.18588164981507788	1.1867596040641117e-07
DM1_like_score	coord_qc_residual_target	leave_one_stage_out	LPTC	800	0.15119505655477586	1.7511406922650448e-05	0.2198699919843625	3.252892466717462e-10
DM1_like_score	coord_qc_residual_target	leave_one_stage_out	ATC	800	0.09724852695082337	0.005908254966086515	0.11675078398559999	0.0009384153236617897
TDS_like_score	raw_smoothed	leave_one_stage_out	PT	800	0.24168319012998457	4.265194535481108e-12	0.4136272869176359	2.072821157285752e-34
TDS_like_score	raw_smoothed	leave_one_stage_out	PTC	800	0.42386746555776333	3.1909728380361695e-36	0.358827621364414	1.0182328057056042e-25
TDS_like_score	raw_smoothed	leave_one_stage_out	LPTC	800	0.4465611300558348	1.8110982857361681e-40	0.5236558837806147	1.5581275375995403e-57
TDS_like_score	raw_smoothed	leave_one_stage_out	ATC	800	0.22763162570445758	7.316024156112377e-11	0.1919400514238904	4.4663052529594365e-08
TDS_like_score	coord_qc_residual_target	leave_one_stage_out	PT	800	0.15694512803926258	8.203480153711798e-06	0.19948336638025999	1.2651205095244057e-08
TDS_like_score	coord_qc_residual_target	leave_one_stage_out	PTC	800	0.18329641921315504	1.783528419266504e-07	0.17361338845841948	7.795664965324742e-07
TDS_like_score	coord_qc_residual_target	leave_one_stage_out	LPTC	800	0.1356514228928483	0.00011879238015914435	0.2000662344784914	1.1452537680960632e-08
TDS_like_score	coord_qc_residual_target	leave_one_stage_out	ATC	800	0.0819581124345507	0.020427476886438013	0.0851931487392949	0.015941966912145018
MAPK_output_score	raw_smoothed	leave_one_stage_out	PT	800	0.11517196712537678	0.0011011257004223149	0.08470129988799346	0.016562616780126976
MAPK_output_score	raw_smoothed	leave_one_stage_out	PTC	800	0.28879202974125545	7.835125957384329e-17	0.2849684412651678	2.0602388624031686e-16
MAPK_output_score	raw_smoothed	leave_one_stage_out	LPTC	800	0.4212142919896863	9.540836270553254e-36	0.4533106511101266	8.547930068235881e-42
MAPK_output_score	raw_smoothed	leave_one_stage_out	ATC	800	0.18035683813768552	2.8146188486043755e-07	0.1460232495870694	3.38414585891992e-05
MAPK_output_score	coord_qc_residual_target	leave_one_stage_out	PT	800	0.04429921765502758	0.21070603660861836	0.04176824495038274	0.23797948614150832
MAPK_output_score	coord_qc_residual_target	leave_one_stage_out	PTC	800	0.08820911438924123	0.012563943032940837	0.09389398264684788	0.00787358749276006
MAPK_output_score	coord_qc_residual_target	leave_one_stage_out	LPTC	800	0.07456640557250871	0.034970924680362774	0.07435258492591396	0.03549800591335514
MAPK_output_score	coord_qc_residual_target	leave_one_stage_out	ATC	800	0.0617055964149944	0.0811187859978134	0.07394631866612292	0.036518129494221625
