cluster_1,,B cell,B cell,B cell,B cell,B cell,B cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25570353019258035,0.29375371827657926,0.18836592221496756,0.23032929878536226,0.21492516341632456,0.0,0.13489243219465824,0.1729426202786571,0.06755482421704542,0.10951820078744012,0.0941140654184024,0.0,0.24603744325482457,0.2840876313388234,0.17869983527721175,0.22066321184760646,0.20525907647856872,0.0,0.21889326758198924,0.2569434556659881,0.15155565960437642,0.19351903617477112,0.17811490080573342
TNFSF9,TNFRSF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006194510852476679,0.002603389989482999,0.0,0.0,0.0,0.0,0.00583203994641639,0.0022409190834227107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17383388739730846,0.0,0.031168018373288718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.0,0.0,0.0,0.0,0.0,0.0,1.046201731477465,0.8078910112380981,0.47294576261758936,0.5199811517902745,0.47365163703610125,0.4257837968213217,0.7814041835715971,0.5430934633322304,0.20814821471172162,0.25518360388440675,0.2088540891302335,0.160986248915454,0.8316150025693023,0.5933042823299356,0.2583590337094268,0.30539442288211194,0.25906490812793864,0.21119706791315915,0.7682248442842249,0.5299141240448582,0.19496887542434937,0.2420042645970345,0.19567474984286126,0.14780690962808174,0.7844129036773335,0.5461021834379667,0.21115693481745795,0.2581923239901431,0.2118628092359698,0.16399496902119032
HLA-DRB5,CTSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30516044367200945,0.20263364707609735,0.1968824695585685,0.46844012950570857,0.20863709342701672,0.0,0.26899186605052217,0.16646506945461004,0.1607138919370812,0.4322715518842213,0.1724685158055294,0.0,0.34710168181206646,0.24457488521615436,0.23882370769862551,0.5103813676457656,0.25057833156707376,0.0,0.26755380119596206,0.16502700460005,0.15927582708252114,0.43083348702966123,0.17103045095096936
HLA-DQA2,CTSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622136374212036,0.25968684082529153,0.2539356633077627,0.5254933232549027,0.2656902871762109,0.0,0.29229802477552524,0.18977122817961312,0.18402005066208427,0.45557771060922436,0.1957746745305325,0.0,0.44371784801471204,0.3411910514187999,0.33543987390127106,0.6069975338484112,0.34719449776971933,0.0,0.28484977731457,0.18232298071865793,0.17657180320112909,0.4481294631482692,0.1883264270695773
HLA-DRB1,CTSL,0.0,0.9226212331226894,0.8200944365267773,0.8143432590092484,1.0859009189563884,0.8260978828776966,0.0,0.9811754737581526,0.8786486771622405,0.8728974996447116,1.1444551595918517,0.8846521235131599,0.0,0.8715800628262693,0.7690532662303572,0.7633020887128283,1.0348597486599684,0.7750567125812766,0.0,0.5885800014927689,0.48605320489685677,0.4803020273793279,0.751859687326468,0.49205665124777614,0.0,1.5164639800413509,1.4139371834454388,1.4081860059279099,1.67974366587505,1.4199406297963582,0.0,0.5382646834695494,0.4357378868736373,0.42998670935610844,0.7015443693032486,0.44174133322455666
