cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
LAIR2,FGFR4,,,,
IL2,DLK1,,,,
TNFSF9,FCRL1,,,,
DCN,LRP1,0.576,0.68,0.284,0.424
IFNG,MPL,,,,
TPO,MPL,,,,
HAPLN1,IL1RL1,,,,
SEMA3G,FCGR2A,0.0,,,
VCAM1,VCAM1,0.0,,,
CCL5,ACKR4,,,,
FLT4,FCRL1,,,,
CRLF1,LIFR,0.968,0.4,0.01,0.032
PCSK9,CD36,,,,
THBS1,GP9,,,,
EFNB2,FCRL1,,,,
VCAN,LDLR,,,,
CEACAM5,CEACAM6,,,,
CEACAM6,CEACAM5,,,,
CCN1,ITGA6,0.614,0.124,,
CCL3L1,CCR4,,,,
CTSG,CXCL12,,,,
KDR,FLT1,0.0,,,
KDR,CDH5,0.0,,,
CXCL8,MMP9,,,,
CCL22,CCR7,,,,
FLT4,KDR,0.0,,,
KDR,FLT4,0.0,,,
THBS1,MMP2,0.946,0.032,,
NPPA,MME,,,,
THBS1,MMP9,0.99,0.004,,
SFTPA1,SFTPA2,,,,
KDR,PLCG2,0.0,,,
IFNG,TNF,,,,
PRSS3,F2RL3,,,,
CSF1,TNF,,0.006,,
KDR,HSP90AA1,0.442,0.498,,
THBS1,ELANE,,,,
AREG,MMP9,,,,
IL1RN,IL2RA,,,,
CCL1,ACKR4,,,,
CTSG,F2RL3,,,,
PRSS2,F2RL3,,,,
PRSS1,F2RL3,,,,
THBS4,CD36,0.0,,,
MDK,PTPRB,0.708,,0.22,
CSF2,CSF2,,,,
IHH,GAS1,,,,
IFNG,IFNG,,,,
IL13,IL13,,,,
IL1A,IL1B,,,,
IL1B,IL1B,,,,
IL1RN,IL1B,,,,
IL2,IL2,,,,
IL22,IL22,,,,
IL6,IL6,,,,
CLU,TYROBP,0.212,0.026,0.972,0.788
ICOS,CD40LG,,,,
CCL26,CXCR6,,,,
VEGFA,MMP9,0.778,0.004,,
OSM,CXCL10,,,,
THBS1,VCAM1,0.0,,,
IFNG,TYMS,,,,
CSF1,VEGFA,0.0,,,
VEGFA,CSF1,0.0,,,
CSF2,FLT1,,,,
IFNG,CD74,,,,
CCL1,CCR7,,,,
IL6,IL17A,,,,
IL10,PTGS2,,,,
CXCL1,CXCR6,,,,
VWF,THBS1,0.182,,0.806,
XCL2,CCR7,,,,
XCL1,CCR4,,,,
CSF2,PLAU,,,,
STC1,TNF,,0.006,,
CSF2,CD1A,,,,
CSF2,MMP9,,,,
IFNG,PTGS2,,,,
CXCL8,CCR6,,,,
CTSG,THBD,,,,
CCL2,TNF,,0.006,,
IL13,CXCL12,,,,
IL10,VEGFA,,,,
PPBP,CCR4,,,,
CXCL2,CXCR6,,,0.002,
CXCL13,CCR6,,,,
IL2,CXCL12,,,,
IL6,VEGFA,,,,
CCL8,CCR4,,,,
CD40LG,C3,,,,
CXCL14,CCR7,,,,
CXCL11,CCR6,,,,
CXCL11,CXCR6,,,,
CXCL12,CCR6,,,,
CXCL9,CCR4,,,,
IL2,IDO1,,,,
CCL1,CXCR6,,,,
CCL11,PIK3C2G,,,,
IL1B,PLAUR,,,,
CCL7,CCR7,,,,
XCL1,CCR7,,,,
CSF3,MMP9,,,,
IL1B,CSF1,,,,
CSF2,CDH11,,,,
ADIPOQ,TNF,,,,
TNF,CDK6,,,0.006,
CCL4,CCR7,,,,
CXCL1,CCR7,,,,
CCL13,CCR6,,,,
CXCL8,CCR7,,,,
IFNG,PIGR,,,,
CALCA,CDH11,,,,
CCL15,CCR6,,,,
CSF3,TNF,,,,
CXCL2,CCR7,,,,
CXCL12,MMP13,,,,
CXCL12,CXCR6,0.484,,0.502,
PPBP,CXCR6,,,,
IL22,MMP1,,,,
CD40LG,PTGS2,,,,
CCL5,MMP9,1.0,0.004,0.0,0.0
RELN,ITGB6,1.0,0.0,,
IFNG,CTSL,,,,
CCL17,CCR6,,,,
IFNG,CTSK,,,,
CCL13,CXCR6,,,,
IFNG,CD40LG,,,,
TNF,PTGS2,,,,0.0
IL1A,ITGA6,,,,
IL6,NOTCH3,,,,
IL1B,PTGS2,,,,
IFNG,TPO,,,,
IGF1,HMOX1,1.0,0.0,,
SAA1,MMP9,1.0,0.004,0.008,0.0
CXCL11,CCR7,,,,
CCL4,CXCR6,0.0,,,
CCL2,CXCR6,0.0,,,
COMP,ITGA6,,,,
CXCL3,CXCR6,,,,
CCL20,CXCR6,,,0.002,
CCL18,CCR6,,,,
IFNG,KLRD1,,,,
FLT4,FLT1,0.0,,,
CCL3,CXCR6,,,,
CXCL2,CCR6,,,,
CSF2,CEACAM5,,,,
FGF7,SFTPA1,,,,
VEGFA,PDGFRB,0.14,0.336,,
CCL1,CCR4,,,,
