cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
source,target,,,,
CCL2,MMP14,0.045678170534938396,0.16233326679676408,0.0,0.0
TNFSF9,TNFRSF9,0.0009813018817634038,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0
IHH,PTCH1,0.031450093561628624,0.0,0.0,0.0
JAG1,NOTCH3,0.23243363409082746,0.5888489542806067,0.7971217446009465,1.1535370647907257
HLA-DRB5,CTSL,0.46374628817501873,0.7254801634176501,0.8522444510780168,1.1139783263206482
HLA-DQA2,CTSL,0.2735066851408725,0.5352405603835039,0.0,0.0
HLA-DRB1,CTSL,0.721806473256956,0.9835403484995874,1.7571088815055682,2.0188427567481995
IL2,IL2RA,0.004171124403599143,0.0,0.0,0.0
HLA-DQB2,CTSL,0.2729752335703329,0.5347091088129642,0.0,0.0
HLA-DRA,CTSL,0.594634498010526,0.8563683732531575,1.7145440423808886,1.97627791762352
IL1RN,IL1R2,0.004063482308053289,0.0,0.15237505573438173,0.0
IL1B,IL1R2,0.0015634454475186247,0.0,0.0,0.0
GAS1,SHH,0.0,0.0,0.0,0.0
SHH,GAS1,0.0,0.0,0.0,0.0
IL1A,IL1R2,0.0,0.0,0.0,0.0
DLL1,NOTCH3,0.16042708149184748,0.5168424016816267,0.0,0.0
DLL4,NOTCH4,0.0683097682889332,0.0,0.0,0.0
IL13,IL13RA2,0.0,0.0,0.0,0.0
IL22,IL20RA,0.0,0.0,0.0,0.0
IL20,IL20RA,0.0,0.0,0.0,0.0
IL24,IL20RA,0.01627605438011547,0.0,0.0,0.0
FGF7,FGFR2,0.18109070052540194,0.0,0.0,0.0
IL22,IL22RA2,0.0,0.0,0.0,0.0
CCL19,ACKR4,0.051408341751015336,0.0,0.0,0.0
CCL21,ACKR4,0.6308076177650245,0.0,0.7447611452166588,0.0
ADM,CALCRL,0.05968254604246201,0.0,0.0,0.0
ADM,RAMP2,0.22682917769653196,0.0,0.0,0.0
CALCA,CALCRL,0.04949003545584156,0.0,0.0,0.0
CALCA,RAMP2,0.2166366671099115,0.0,0.0,0.0
CALCB,CALCRL,0.04922311757373204,0.0,0.0,0.0
CALCB,RAMP2,0.216369749227802,0.0,0.0,0.0
ADM,RAMP3,0.19526868525748534,0.5094812560753572,0.0,0.0
CALCA,RAMP3,0.18507617467086487,0.4992887454887368,0.0,0.0
CALCB,RAMP3,0.18480925678875537,0.4990218276066273,0.0,0.0
APELA,APLNR,0.0,0.0,0.0,0.0
CCL17,CCR4,0.0,0.0,0.0,0.0
CCL22,CCR4,0.0,0.0,0.0,0.0
CCL20,CCR6,0.004547631597790281,0.0,0.1552525365546685,0.0
CCL19,CCR7,0.05316413449524823,0.0,0.0,0.0
CCL21,CCR7,0.6325634105092575,0.0,0.7465169379608918,0.0
SAA1,FPR2,0.006350356160553124,0.0,0.3665358869249446,0.0
RSPO3,LGR5,0.0015151820102654292,0.0,0.0,0.0
NMU,NMUR2,0.002382599420810011,0.0,0.0,0.0
SST,SSTR1,0.0,0.0,0.0,0.0
SST,SSTR2,0.0,0.0,0.0,0.0
TNF,HMOX1,0.020689880614434684,0.7449898424367541,0.17086971352786978,0.8951696753501892
HLA-DRA,LGMN,0.6920412438786049,1.3007406695864705,1.8119507882489674,2.420650213956833
HLA-DRB5,LGMN,0.5611530340430975,1.169852459750963,0.9496511969460957,1.5583506226539612
HLA-DQA2,LGMN,0.3709134310089513,0.9796128567168169,0.0,0.0
HLA-DRB1,LGMN,0.8192132191250348,1.4279126448329005,1.854515627373647,2.4632150530815125
HLA-DQB2,LGMN,0.37038197943841167,0.9790814051462772,0.0,0.0
LAMA3,ITGA6,0.043186777444381826,0.15607230108114953,0.0,0.0
VEGFD,KDR,0.06944897927860534,0.0,0.0,0.0
CTSG,C3,0.31259788919482806,1.5580828846715757,0.0,0.0
CGA,TSHR,0.0,0.0,0.0,0.0
VEGFA,FLT1,0.5505516328402711,0.0,0.0,0.0
PLAUR,PLAU,0.022221412870573456,0.514726947991068,0.26123799419926863,0.7537435293197632
OSM,LIFR,0.0,0.0,0.0,0.0
VEGFA,KDR,0.48868309393675,0.0,0.0,0.0
KDR,VEGFA,0.48868309393675,0.0,0.0,0.0
HLA-G,CD160,0.0011743832085737164,0.0,0.0,0.0
EDN1,EDNRB,0.04257819976296735,0.0,0.0,0.0
LAMA4,ITGA6,0.08614966683898292,0.19903519047575063,0.0,0.0
VWF,GP9,0.0,0.0,0.0,0.0
VEGFD,FLT4,0.040688156269100245,0.0,0.0,0.0
CCL2,CCR4,0.0,0.0,0.0,0.0
TG,TPO,4.188707185421058,0.0,3.271259380016395,0.0
HLA-G,KLRC1,0.003581562327480367,0.0,0.0,0.0
MMP9,LRP1,0.2881509321882271,0.17681486881350386,0.9420092513458385,0.8306731879711151
MMRN2,CD93,0.12198368801901491,0.0,0.0,0.0
TSPAN1,ITGA6,0.6095689996572131,0.7224545232939809,0.2833615950747039,0.39624711871147156
MMRN2,CLEC14A,0.1221785683593086,0.0,0.0,0.0
SAA1,CD36,0.09617122312018707,0.0,0.4563567538845785,0.0
LY6H,CD36,0.09108702089024197,0.0,0.0,0.0
CCL11,ACKR1,0.036238085918321755,0.0,0.0,0.0
CCL13,ACKR1,0.037951753367785744,0.0,0.0,0.0
CCL14,ACKR1,0.18287396455028818,0.0,0.0,0.0
CCL17,ACKR1,0.03861973048155746,0.0,0.0,0.0
