subset,n_samples,rho_DM1_HLA_I,p_DM1_HLA_I,rho_DM1_HLA_II,p_DM1_HLA_II
bulk_all_cells,9,-0.09999999999999999,0.797971695234851,0.5,0.1704706607870538
thyrocyte_only,5,-0.9999999999999999,1.4042654220543602e-24,0.09999999999999999,0.8728885715695384
immune_only,9,-0.09999999999999999,0.797971695234851,0.2333333333333333,0.5456987782182728
stromal_only,9,0.5333333333333333,0.13922686754397814,0.08333333333333334,0.831214097710308
