sample,DM1,HLA_I,HLA_II,stage
ATC-1,-1.0113196e-09,1.0647056422646883,0.5836937118783989,ATC
ATC-2,-1.0697945e-09,1.2393362439344273,0.7130686626575109,ATC
ATC-3,3.3093264e-10,0.7842494421682442,0.39613592605308423,ATC
ATC-4,1.0792681e-08,0.8842353967902143,0.7933993471802802,ATC
LPTC-1,3.3017837e-08,0.9243996816018282,0.6450278759585661,LPTC
LPTC-2,2.1551962e-08,0.7913659623334384,0.6712646636829753,LPTC
LPTC-3,8.951417e-09,0.6489125221272711,0.6274708437049261,LPTC
LPTC-4,-5.7363296e-09,0.6325131509047934,0.32435432403159037,LPTC
N-1,-1.0603306e-07,0.6084917456251265,0.15674799523285693,PT
N-2,1.4779744e-07,0.7493538441327713,0.13407835411105626,PT
N-3,8.321402e-08,0.7375925579728394,0.13420015548413322,PT
N-4,1.3476026e-09,0.7422459119334798,0.0592040922088831,PT
PTC-1,-1.0382065e-08,0.7872630965826738,0.7065330086070951,PTC
PTC-2,2.7952856e-09,0.8511153798481708,0.473058194724322,PTC
PTC-3,-6.628311e-08,0.6715541224547807,0.2833918335387972,PTC
PTC-4,-1.8406148e-08,0.56708121517216,0.19089902372011805,PTC
