celltype,gene,mean_expr,pct_pos,module
B_cell,HLA-A,2.7314817905426025,96.58119658119658,HLA-I
B_cell,HLA-B,2.9793407917022705,97.00854700854701,HLA-I
B_cell,HLA-C,2.5028510093688965,93.58974358974359,HLA-I
B_cell,B2M,4.323380470275879,99.57264957264957,HLA-I
B_cell,TAP1,0.32872068881988525,26.923076923076923,HLA-I
B_cell,TAP2,0.13471147418022156,11.538461538461538,HLA-I
B_cell,TAPBP,0.7037175297737122,50.0,HLA-I
B_cell,NLRC5,0.20519375801086426,16.23931623931624,HLA-I
B_cell,IRF1,0.9506916999816895,55.98290598290598,HLA-I
B_cell,PSMB8,0.6103964447975159,43.162393162393165,HLA-I
B_cell,PSMB9,0.7894887924194336,50.427350427350426,HLA-I
B_cell,ERAP1,0.05744297057390213,5.128205128205128,HLA-I
B_cell,ERAP2,0.22704285383224487,16.23931623931624,HLA-I
B_cell,HLA-E,2.23049259185791,93.58974358974359,HLA-I
B_cell,HLA-F,0.6924536824226379,46.58119658119658,HLA-I
B_cell,HLA-G,0.026822984218597412,2.1367521367521367,HLA-I
B_cell,CALR,1.0320199728012085,62.82051282051282,HLA-I
B_cell,CANX,0.2628651261329651,23.504273504273502,HLA-I
B_cell,PDIA3,0.48404058814048767,35.47008547008547,HLA-I
B_cell,HLA-DRA,2.6311869621276855,78.63247863247864,HLA-II
B_cell,HLA-DRB1,2.3084750175476074,79.05982905982906,HLA-II
B_cell,HLA-DPA1,1.8385939598083496,73.07692307692307,HLA-II
B_cell,HLA-DPB1,2.016754388809204,78.63247863247864,HLA-II
B_cell,HLA-DQA1,1.5443294048309326,65.8119658119658,HLA-II
B_cell,HLA-DQB1,1.6247217655181885,70.51282051282051,HLA-II
B_cell,HLA-DMA,0.6924288868904114,46.15384615384615,HLA-II
B_cell,HLA-DMB,0.5904892086982727,39.743589743589745,HLA-II
B_cell,HLA-DOA,0.19415763020515442,14.529914529914532,HLA-II
B_cell,HLA-DOB,0.234427347779274,18.37606837606838,HLA-II
B_cell,CIITA,0.27965956926345825,22.22222222222222,HLA-II
B_cell,CD74,2.8672640323638916,86.75213675213675,HLA-II
DC,HLA-A,2.094252586364746,98.10126582278481,HLA-I
DC,HLA-B,2.7896625995635986,99.15611814345992,HLA-I
DC,HLA-C,2.129141092300415,98.94514767932489,HLA-I
DC,B2M,4.102600574493408,100.0,HLA-I
DC,TAP1,0.32456886768341064,41.139240506329116,HLA-I
DC,TAP2,0.24448741972446442,36.49789029535865,HLA-I
DC,TAPBP,0.7688249945640564,78.05907172995781,HLA-I
DC,NLRC5,0.05842273682355881,9.70464135021097,HLA-I
