celltype,HLA_I_score_mean,HLA_I_score_median,HLA_I_score_std,HLA_I_score_count,HLA_II_score_mean,HLA_II_score_median,HLA_II_score_std,HLA_II_score_count
B_cell,0.8325121643219084,0.8302731096654907,0.20410891789681995,1326,1.598351746478213,1.6757465146152848,0.5553013643428949,1326
DC,0.7294999000873458,0.7386658908012218,0.23829699559566653,415,2.1845097929021526,2.432344191524398,0.7303905836644651,415
Endothelial,0.7762146951008255,0.7942508485263451,0.34105687892465797,869,0.27721166816239634,0.1264742904877567,0.5110052739201254,869
Fibroblast,0.5374927866149786,0.5320546796985138,0.2433398495223552,1529,-0.018690827375152538,-0.12295002966042026,0.38607044040231503,1529
Mast,0.6177242421717779,0.6018149017391348,0.31289397467746455,78,0.23881586250629352,-0.015933430458168432,0.5856521444461089,78
Myeloid,0.7579114067202258,0.7538131868749633,0.24138181899816546,2728,1.9334391306469192,2.092482869404866,0.6707508630142798,2728
NK,0.9996201991476423,1.0043222103262308,0.2453135322554602,1524,0.3002292808548525,0.21380335595234332,0.43793059470694695,1524
Plasma,0.7796168076659028,0.7810442289194667,0.2590785255806961,699,0.6459470766501502,0.47565465950104124,0.6391771504748784,699
T_cell,0.975259154179809,0.9653512206113428,0.23296823977465048,5945,0.36845916922434263,0.24298920784609387,0.4679246731763166,5945
Thyrocyte,0.4915141458883791,0.473280691849558,0.24002644627867972,3731,-0.016332858333381307,-0.15123570898929273,0.402856375522349,3731
Unassigned,,,,0,,,,0
