celltype,condition,HLA_I_score_mean,HLA_I_score_median,HLA_I_score_count,HLA_II_score_mean,HLA_II_score_median,HLA_II_score_count
B_cell,ATC,0.824751000142811,0.8137490318713227,177,1.0459642104028308,1.2203532447814942,177
B_cell,PTC,0.6997360405720497,0.695148404317003,57,1.4473107748561436,1.569899361928304,57
DC,ATC,0.82898354018509,0.8498229298439033,88,1.9189800452833827,2.3223436616261797,88
DC,PTC,0.6261315148180574,0.6145612120023868,386,2.586779403729348,2.6461733627319335,386
Endothelial,ATC,0.8213295983071339,0.8127593785696334,220,0.014338440937706918,-0.17485124595959978,220
Endothelial,PTC,0.7518090805396458,0.7879625066299292,72,0.4229280233024447,0.07972378007570902,72
Fibroblast,ATC,0.28012241213833183,0.26185597738074884,3881,-0.1988416155445241,-0.2707609527905782,3881
Fibroblast,PTC,0.4728312989529187,0.4559920199748248,33,-0.18458271660708417,-0.19679075129826865,33
Mast,ATC,0.8163143991538123,0.8845275491033116,32,0.05796728713065387,-0.022177555163701387,32
Mast,PTC,,,0,,,0
Myeloid,ATC,0.8535043919267405,0.8674110346562505,1311,1.6978987588345353,1.7755999552408854,1311
Myeloid,PTC,0.6431818327863624,0.6302797032686605,2034,2.3531887199587214,2.4840373509724936,2034
NK,ATC,0.9584056306608839,0.986154318981434,824,0.3166817269669574,0.25050810607274376,824
NK,PTC,0.9499460877772419,0.956982604772358,565,0.17728179788181564,0.11682201131184894,565
Plasma,ATC,0.7366552773696274,0.7271967282722955,291,0.3064090894976842,0.16631370449066163,291
Plasma,PTC,0.6219664905977277,0.6080761534451897,14,0.47997880335081194,0.3255081456502279,14
T_cell,ATC,1.0049754803881144,1.0111438199593732,4145,0.48827479665147094,0.4663076286315918,4145
T_cell,PTC,0.9816472216144404,0.9927500948078004,1033,0.22834174860789339,0.17850174013773595,1033
Thyrocyte,ATC,0.7532764452251384,0.8044852136544236,129,-0.22970198862389385,-0.29414532470703125,129
Thyrocyte,PTC,0.5208105132753137,0.5429416879279397,969,0.2090948170830714,0.09869465128580729,969
Unassigned,ATC,,,0,,,0
Unassigned,PTC,,,0,,,0
