celltype,HLA_I_score_mean,HLA_I_score_median,HLA_I_score_std,HLA_I_score_count,HLA_II_score_mean,HLA_II_score_median,HLA_II_score_std,HLA_II_score_count
B_cell,0.7942986381960871,0.7975971655821462,0.23063925196891658,234,1.1437281171286378,1.3229657268524169,0.7916599254261364,234
DC,0.6637918064473799,0.640229405588069,0.23264017902576117,474,2.4627997760009834,2.5991263122558594,0.5810483832290894,474
Endothelial,0.804187552830219,0.8090437285277702,0.2927618794695414,292,0.1150865571372313,-0.12372705205281576,0.5796514256448037,292
Fibroblast,0.28174719324841907,0.266812769927685,0.3911321035584309,3914,-0.19872139488409088,-0.2700569638808568,0.3319446651238343,3914
Mast,0.8163143991538123,0.8845275491033116,0.32761929662096384,32,0.05796728713065387,-0.022177555163701387,0.39300869329240146,32
Myeloid,0.7256131855615598,0.7026678426508762,0.24307177931103904,3345,2.0963620715181213,2.2923675422668457,0.6498973937447438,3345
NK,0.9549645639011591,0.9704685974921521,0.25487819132861395,1389,0.25997837208351243,0.18172506999969484,0.37634217737717945,1389
Plasma,0.7313908740423927,0.7258656954177507,0.3108900287962067,305,0.3143762239040573,0.1698278986612956,0.5014245202001333,305
T_cell,1.0003215423206742,1.0062831812626958,0.22564658855608977,5178,0.43641870576135594,0.3755252793629964,0.4705351645614993,5178
Thyrocyte,0.5481220845153205,0.561412431243667,0.25737476141961396,1098,0.1575421869043842,0.012005017916361493,0.40755534804541965,1098
Unassigned,,,,0,,,,0
