ligand_receptor,cluster_pair,mean,pval
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",3.182223454117775,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.974081297920586,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'T cell')",2.8270367309451103,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'T cell')",2.647351808845997,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Fibroblast')",2.638796553015709,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Myeloid cell')",2.618185533210635,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.560352336615324,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Fibroblast')",2.5054921259482703,0.0
"('CLU', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.50433058788379,0.0
"('TG', 'TPO')","('Malignant cell', 'Malignant cell')",2.4922161325828074,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'B cell')",2.455176936647697,0.0
"('CLU', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.4460653327405453,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'T cell')",2.432282716035843,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'B cell')",2.4247548123985005,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.34528324380517,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.2973499697510813,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'B cell')",2.247034780450508,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Malignant cell')",2.2342189919781785,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Malignant cell')",2.2164314754393812,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.1909593790769577,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.0927624132637614,0.0
"('APOE', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.080542636414369,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'Myeloid cell')",2.0796123892068863,0.0
"('APOE', 'TYROBP')","('B cell', 'Myeloid cell')",2.067891855032472,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'Malignant cell')",2.0447351230660487,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Fibroblast')",2.0436140969395638,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Malignant cell')",2.026303933913315,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Malignant cell')",2.0260768357809895,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Malignant cell')",2.0155075496501254,0.0
"('HLA-DRA', 'CTSL')","('Fibroblast', 'T cell')",1.9900366862614949,0.0
