cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,0.17482835803812707,0.2291168619317618,0.17785673850811462,0.25044170447913877,0.0,0.2814828953460643,0.33577139923969906,0.28451127581605185,0.357096241787076,0.0,0.1059193336861955,0.16020783757983023,0.10894771415618304,0.1815326801272072,0.0,0.37412622894503567,0.42841473283867043,0.3771546094150232,0.44973957538604736,0.0,0.0,0.0,0.0,0.0,0.0
TNFSF9,TNFRSF9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006584879440516812,0.0,0.0025346743393347155,0.0,0.0,0.05522637104081829,0.0,0.05117616593963619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010001953031551407,0.05708727189842894,0.0168960885550933,0.01277640473290318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.2083201939948121,0.1510829062402597,0.2563789188741119,0.2679917979876549,0.8795717116336377,0.4079932028002906,0.3507559150457382,0.45605192767959046,0.46766480679313344,1.0792447204391162,0.22517112090624097,0.16793383315168858,0.27322984578554077,0.2848427248990838,0.8964226385450665,0.18028235164258563,0.12304506388803323,0.22834107652188543,0.23995395563542843,0.8515338692814112,0.0,0.0,0.0,0.0,0.0
HLA-DRB5,CTSL,0.36994359820906875,0.4936813996200673,0.46557485233062884,1.0104196392958276,1.0974191115265004,0.38488928049977067,0.5086270819107692,0.4805205346213307,1.0253653215865295,1.1123647938172023,0.3286162040307477,0.4523540054417462,0.4242474581523078,0.9690922451175065,1.0560917173481794,1.1581339942432984,1.2818717956542969,1.2537652483648585,1.7986100353300571,1.88560950756073,0.0,0.0,0.0,0.0,0.0
HLA-DQA2,CTSL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818650365070504,0.20560283791804893,0.17749629062861047,0.7223410775938092,0.809340549824482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB1,CTSL,0.9191578708545506,1.0428956722655491,1.0147891249761107,1.5596339119413094,1.6466333841719822,1.1771591138857151,1.3008969152967136,1.2727903680072752,1.8176351549724739,1.9046346272031467,0.7781536862338707,0.9018914876448693,0.8737849403554308,1.4186297273206296,1.5056291995513025,1.7048072027184114,1.8285450041294098,1.8004384568399714,2.34528324380517,2.432282716035843,1.3628259407497987,1.4865637421607971,1.4584571948713587,2.0033019818365574,2.0903014540672302
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034199562260000026,0.06553607259846539,0.0031181797904474805,0.06062611949599595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.09787802511488485,0.22161582652588335,0.1935092792364449,0.7383540662016437,0.8253535384323165,0.13580590556239525,0.25954370697339374,0.2314371596839553,0.7762819466491541,0.8632814188798269,0.0941872114968625,0.21792501290786104,0.18981846561842258,0.7346632525836213,0.8216627248142941,0.12557021101490098,0.2493080124258995,0.22120146513646105,0.7660462521016598,0.8530457243323326,0.0,0.0,0.0,0.0,0.0
HLA-DRA,CTSL,1.1970696424880223,1.3208074438990207,1.2927008966095823,1.837545683574781,1.9245451558054538,1.2625611729440633,1.3862989743550618,1.3581924270656234,1.903037214030822,1.9900366862614949,0.8058077373694313,0.9295455387804299,0.9014389914909915,1.4462837784561902,1.533283250686863,1.9198762955285653,2.0436140969395638,2.0155075496501254,2.560352336615324,2.647351808845997,1.3628259407497987,1.4865637421607971,1.4584571948713587,2.0033019818365574,2.0903014540672302
IL1RN,IL1R2,0.0,0.0,0.014928604809748804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08774456166541311,0.0,0.0,0.0,0.0,0.08930005887061074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
