cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
CCL21,CCR7,0.0,,,0.0,,0.004,,,0.0,,0.0,,,0.0,,0.0,,,0.0,,,,,,
SAA1,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
RSPO3,LGR5,,,,,,,,,,,,,,,,,,,,,,,,,
NMU,NMUR2,,,,,,,,,,,,,,0.014,,,,,0.152,,,,,,
SST,SSTR1,,,,,,,,,,,,,,,,,,,,,,,,,
SST,SSTR2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,HMOX1,,,,,,0.0,0.058,0.004,0.0,,,,,,,0.008,0.23,0.03,0.0,,,,,,
HLA-DRA,LGMN,0.0,0.0,0.0,0.0,,0.0,0.002,0.0,0.0,,1.0,0.998,1.0,0.012,,0.0,0.0,0.0,0.0,,0.128,0.168,0.112,0.06,
HLA-DRB5,LGMN,0.57,0.876,0.052,0.008,,0.432,0.724,0.208,0.008,,0.998,0.992,0.98,0.012,,0.0,0.0,0.0,0.0,,,,,,
HLA-DQA2,LGMN,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DRB1,LGMN,0.02,0.356,0.0,0.0,,0.0,0.006,0.0,0.0,,1.0,0.992,1.0,0.012,,0.0,0.0,0.0,0.0,,0.11,0.156,0.088,0.048,
HLA-DQB2,LGMN,0.982,0.97,0.212,0.012,,0.558,0.892,0.034,0.008,,0.996,0.984,0.06,0.012,,0.676,0.914,0.094,0.008,,,,,,
LAMA3,ITGA6,,,,,,0.028,,0.014,0.372,,,,,,,0.004,,0.002,0.198,,,,,,
VEGFD,KDR,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,C3,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
CGA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFA,FLT1,1.0,,1.0,,0.05,1.0,,0.998,,0.038,0.996,,0.0,,0.012,1.0,,0.998,,0.05,,,,,
PLAUR,PLAU,1.0,0.962,0.688,0.034,,0.938,0.766,0.124,0.016,,1.0,0.958,0.0,0.028,,0.028,0.096,0.0,0.0,,,,,,
OSM,LIFR,,,,,,,,,,,,,,,,0.03,,0.038,,,,,,,
VEGFA,KDR,1.0,1.0,1.0,,,1.0,0.998,0.998,,,0.996,0.602,0.0,,,1.0,0.998,0.998,,,,,,,
KDR,VEGFA,1.0,1.0,0.996,1.0,,1.0,0.998,0.602,0.998,,1.0,0.998,0.0,0.998,,,,,,,,,,,
HLA-G,CD160,,,,,,,,,,,,,,,,,,,,,,,,,
EDN1,EDNRB,,,,,,,,,,,,,,,,,,,,,,,,,
LAMA4,ITGA6,0.828,,0.714,0.788,,0.034,,0.024,0.142,,0.746,,0.406,0.73,,0.034,,0.02,0.112,,,,,,
VWF,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
VEGFD,FLT4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
TG,TPO,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,0.998,0.958,0.0,0.714,,1.0,1.0,1.0,1.0,,0.986,0.984,0.968,0.978,
HLA-G,KLRC1,,,,,,,,,,,,,,,,,,,,,,,,,
MMP9,LRP1,0.0,0.0,0.794,0.0,,0.002,0.0,0.588,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
MMRN2,CD93,0.986,0.294,1.0,0.486,0.018,0.464,0.128,0.33,0.24,0.018,0.716,0.1,0.084,0.236,0.018,0.718,0.218,0.596,0.364,0.018,,,,,
TSPAN1,ITGA6,1.0,,1.0,1.0,,1.0,,1.0,1.0,,0.256,,0.0,0.578,,0.63,,0.588,0.682,,,,,,
MMRN2,CLEC14A,1.0,0.506,1.0,,,0.61,0.176,0.32,,,0.994,0.136,0.0,,,0.866,0.36,0.586,,,,,,,
SAA1,CD36,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,
LY6H,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,ACKR1,0.0,,0.09,,,,,,,,0.0,,1.0,,,0.0,,0.0,,,,,,,
CCL14,ACKR1,0.0,,0.0,,,,,,,,0.0,,1.0,,,0.068,,0.47,,,,,,,
CCL17,ACKR1,0.0,,0.0,,,,,,,,0.0,,1.0,,,0.0,,0.022,,,,,,,
CCL2,ACKR1,0.0,,0.0,,,0.0,,0.0,,,0.0,,1.0,,,0.0,,0.0,,,,,,,
CCL5,ACKR1,0.0,,0.0,,,0.014,,0.2,,,0.0,,1.0,,,0.018,,0.154,,,,,,,
CXCL8,ACKR1,,,,,,,,,,,0.0,,1.0,,,0.002,,0.062,,,,,,,
PPBP,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL1,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL2,ACKR1,0.0,,0.884,,,0.024,,0.47,,,0.0,,1.0,,,0.0,,0.01,,,,,,,
CXCL13,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL5,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
DEFB1,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL23,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,KDR,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,0.96,1.0,,,0.042,0.04,0.026,,,,,,,
GREM1,KDR,1.0,0.678,0.04,,,,,,,,,,,,,,,,,,,,,,
APOE,LDLR,,,0.722,0.414,,,,0.552,0.408,,,,0.89,0.104,,,,0.0,0.0,,,,0.644,0.612,
MDK,LRP1,0.012,0.0,1.0,0.0,,0.262,0.01,0.96,0.012,,0.0,0.0,1.0,0.0,,0.098,0.0,0.752,0.004,,0.118,0.042,0.274,0.058,
DLK1,NOTCH3,,,,,,,,,,,,,,,,,,,,,,,,,
DLL4,NOTCH3,,,,,,0.83,0.916,0.056,0.292,0.034,0.992,0.972,0.004,0.416,0.034,,,,,,,,,,
DLL1,NOTCH4,1.0,0.31,0.91,,,,,,,,1.0,0.206,0.002,,,0.774,0.214,0.32,,,,,,,
JAG1,NOTCH4,0.988,0.424,0.898,,,0.002,0.0,0.0,,,1.0,0.206,0.14,,,0.92,0.616,0.754,,,,,,,
DLK1,NOTCH4,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF14,TNFRSF6B,0.18,,0.014,0.226,,0.024,,0.026,0.1,,,,,,,0.016,,0.016,0.072,,,,,,
SCT,RAMP2,0.87,0.994,0.032,0.982,0.026,,,,,,0.952,0.998,0.02,0.988,0.028,0.064,0.844,0.006,0.772,0.02,,,,,
SCT,RAMP3,0.118,0.966,0.042,0.992,,,,,,,0.182,0.982,0.568,0.994,,0.004,0.756,0.006,0.87,,,,,,
SCT,TSHR,1.0,1.0,0.002,1.0,,,,,,,1.0,1.0,0.0,1.0,,1.0,1.0,0.004,0.992,,,,,,
COMP,CD36,0.0,,0.0,,,0.0,,0.0,,,1.0,,1.0,,,0.868,,0.878,,,0.104,,0.106,,
CCL2,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL13,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL6,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,STAB1,,,,,,,,,,,0.0,0.172,1.0,0.456,0.022,,,,,,,,,,
THBS1,ITGA6,0.0,,0.0,0.012,,0.0,,0.0,0.0,,0.902,,1.0,0.8,,0.43,,0.342,0.556,,,,,,
THBS1,CD36,0.0,,0.0,,,0.0,,0.0,,,0.906,,1.0,,,0.348,,0.348,,,,,,,
VWF,SCARA5,0.572,,,,,0.828,,,,,0.0,,,,,0.904,,,,,,,,,
FGF7,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTH2,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
TFF2,MUC6,,,,,,,,,,,,,,,,,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,,,,,,,,,,,,,,,,,
S100A1,RYR2,,,,,,,,,,,,,,,,,,,,,,,,,
SCGB3A1,MARCO,,,1.0,0.0,,,,,,,,,0.03,0.0,,,,0.712,0.0,,,,,,
ANGPTL4,GPIHBP1,,,,,,,,,,,,,,,,,,,,,,,,,
ANGPTL4,TIE1,1.0,1.0,1.0,1.0,,0.672,0.59,0.556,0.566,,0.956,0.448,0.0,0.4,,0.954,0.906,0.908,0.88,,,,,,
IGF1,INSR,1.0,0.572,0.0,0.862,,1.0,0.594,0.016,0.856,,1.0,0.89,0.0,0.97,,1.0,0.774,0.126,0.93,,,,,,
PCSK9,LDLR,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL11,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
ANGPT2,TIE1,0.994,0.614,0.756,0.546,,,,,,,0.988,0.492,0.01,0.456,,,,,,,,,,,
CALCA,TSHR,,,,,,,,,,,,,,,,,,,,,,,,,
THBS2,NOTCH4,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,0.272,1.0,,,0.08,0.032,0.05,,,,,,,
THBS2,ITGA6,0.0,,0.0,0.004,,0.0,,0.0,0.0,,0.942,,1.0,0.818,,0.05,,0.05,0.114,,,,,,
THBS2,CD36,0.0,,0.0,,,0.0,,0.0,,,0.978,,1.0,,,0.048,,0.052,,,,,,,
S100A8,CD36,,,,,,,,,,,0.474,,0.92,,,0.0,,0.0,,,,,,,
S100A12,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
S100A9,CD36,0.0,,0.0,,,0.164,,0.174,,,0.748,,1.0,,,0.0,,0.0,,,,,,,
CALCB,TSHR,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,
MDK,ITGA6,1.0,,1.0,1.0,,0.96,,0.952,0.968,,0.558,,0.0,0.68,,0.734,,0.704,0.772,,0.276,,0.268,0.298,
ADM,TSHR,1.0,1.0,1.0,1.0,,1.0,1.0,0.966,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,0.996,1.0,,,,,,
CGA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL8,CD79A,,,,,,,,,,,0.0,,1.0,0.148,,0.0,,0.07,0.05,,,,,,
PTH2,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,LRP1,0.0,0.0,0.828,0.0,,0.03,0.0,0.58,0.0,,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.49,0.306,0.648,0.298,
PCSK9,LRP1,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,LRP1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.002,0.0,0.452,0.0,,,,,,
VWF,LRP1,0.0,0.0,0.902,0.0,,0.082,0.0,0.912,0.002,,0.0,0.0,1.0,0.0,,0.272,0.012,0.96,0.014,,,,,,
CGA,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL11,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL7,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL8,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
S100A9,CD68,0.0,0.0,0.0,0.0,,0.074,0.026,0.194,0.0,,0.064,0.03,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
S100A8,CD68,,,,,,,,,,,0.044,0.028,1.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
PTH2,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,FLT4,,,,,,,,0.0,,0.006,,,,,,,,0.024,,0.006,,,,,
THBS2,NOTCH3,0.0,0.162,0.0,0.012,0.016,0.0,0.0,0.0,0.0,0.002,1.0,0.986,1.0,0.482,0.036,0.132,0.42,0.048,0.11,0.024,,,,,
SCGB3A1,NOTCH3,1.0,0.99,1.0,0.58,0.04,,,,,,0.99,0.968,0.0,0.408,0.034,0.978,0.98,0.662,0.528,0.038,,,,,
CXCL8,KDR,,,,,,,,,,,1.0,0.718,0.0,,,0.314,0.278,0.056,,,,,,,
CXCL9,FCGR2A,0.002,,0.088,0.018,,,,,,,0.012,,1.0,0.024,,0.0,,0.0,0.0,,,,,,
VEGFD,FLT1,,,,,,,,,,,,,,,,,,,,,,,,,
TNF,ICOS,,,,,,0.002,,,0.0,,,,,,,0.006,,,0.008,,,,,,
IL6,F3,,,,,,,,,,,,,,,,0.01,0.006,0.004,0.01,,,,,,
CXCL12,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL3,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
PTN,PTPRB,0.45,0.274,0.046,,,0.286,0.218,0.11,,,0.888,0.422,0.54,,,0.528,0.358,0.292,,,,,,,
CCL8,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
EDN1,ADGRL4,,,,,,,,,,,,,,,,,,,,,,,,,
MDK,TSPAN1,1.0,1.0,0.998,0.902,,1.0,1.0,0.934,0.908,,1.0,1.0,0.0,0.57,,1.0,0.996,0.67,0.73,,0.594,0.62,0.262,0.31,
CCL1,ACKR1,,,,,,,,,,,,,,,,0.0,,0.004,,,,,,,
IGF1,ITGA6,0.002,,0.0,0.308,,0.058,,0.022,0.312,,0.782,,0.99,0.746,,0.274,,0.154,0.54,,,,,,
CCL18,ACKR1,0.0,,0.972,,,,,,,,0.0,,1.0,,,0.0,,0.0,,,,,,,
CXCL3,ACKR1,,,,,,,,,,,,,,,,0.0,,0.044,,,,,,,
CXCL5,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL9,ACKR1,0.0,,0.12,,,,,,,,0.0,,1.0,,,0.0,,0.0,,,,,,,
CXCL10,ACKR1,,,,,,,,,,,0.0,,1.0,,,0.01,,0.108,,,,,,,
CXCL13,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
CCL7,ACKR1,,,,,,,,,,,,,,,,,,,,,,,,,
SPP1,ITGB6,1.0,0.632,0.988,,,0.982,0.558,0.692,,,1.0,0.284,0.096,,,0.0,0.0,0.0,,,,,,,
ANGPTL4,CDH5,1.0,1.0,1.0,,,0.644,0.648,0.556,,,0.86,0.68,0.0,,,0.938,0.922,0.906,,,,,,,
ANGPTL4,CDH11,0.002,0.0,1.0,0.096,,0.014,0.006,0.612,0.046,,0.0,0.0,1.0,0.006,,0.176,0.05,0.928,0.236,,,,,,
SLC1A2,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,,,,,,,,,,,,,,,,,
APOE,TYROBP,0.002,0.006,0.838,0.0,0.078,0.024,0.024,0.586,0.0,0.072,0.0,0.0,1.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,0.472,0.426,0.65,0.06,0.228
CCL20,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
FAM3D,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-G,KLRD1,,,,,,,,,,,,,,,,,,,,,,,,,
FGFR4,MCAM,,,,,,,,,,,,,,,,,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,DLK1,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
DCN,LRP1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0.002,0.0,0.036,0.0,,,,,,
IFNG,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
TPO,MPL,,,,,,,,,,,,,,,,,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,,,,,,,,,,,,,,,,,
SEMA3G,FCGR2A,,,,,,,,,,,0.006,,0.942,0.022,,,,,,,0.0,,0.002,0.0,
VCAM1,VCAM1,0.008,0.002,0.012,0.282,,0.002,0.004,0.004,0.016,,0.012,0.004,1.0,0.472,,0.282,0.016,0.472,0.47,,,,,,
CCL5,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
FLT4,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
CRLF1,LIFR,1.0,,1.0,,,0.008,,0.006,,,0.1,,0.0,,,0.948,,0.948,,,,,,,
PCSK9,CD36,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,GP9,,,,,,,,,,,,,,,,,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,,,,,,,,,,,,,,,,,
VCAN,LDLR,,,0.0,0.0,,,,0.0,0.0,,,,1.0,0.144,,,,0.04,0.024,,,,,,
CEACAM5,CEACAM6,,,,,,,,,,,,,,,,,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,,,,,,,,,,,,,,,,,
CCN1,ITGA6,0.366,,0.194,0.586,,0.144,,0.1,0.29,,0.762,,0.614,0.742,,0.474,,0.39,0.572,,,,,,
CCL3L1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,CXCL12,0.0,0.006,0.978,0.714,0.024,,,,,,,,,,,,,,,,,,,,
KDR,FLT1,1.0,,1.0,,0.014,0.996,,0.692,,0.014,1.0,,0.0,,0.014,,,,,,,,,,
KDR,CDH5,1.0,0.996,1.0,,,0.866,0.814,0.706,,,0.89,0.696,0.0,,,,,,,,,,,,
CXCL8,MMP9,,,,,,,,,,,0.442,0.444,0.936,0.0,,0.054,0.184,0.062,0.0,,,,,,
CCL22,CCR7,0.0,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,0.0,,,,,,
FLT4,KDR,,,,,,,,,,,1.0,0.71,0.0,,,,,,,,0.006,0.006,0.006,,
KDR,FLT4,,,1.0,,0.006,,,0.71,,0.006,,,0.0,,0.006,,,,,,,,,,
THBS1,MMP2,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.012,0.0,0.0,1.0,0.04,0.046,0.064,0.0,0.406,0.054,0.048,,,,,
NPPA,MME,,,,,,,,,,,,,,,,,,,,,,,,,
THBS1,MMP9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.68,0.526,1.0,0.0,,0.354,0.4,0.354,0.0,,,,,,
SFTPA1,SFTPA2,,,,,,,,,,,,,,,,,,,,,,,,,
KDR,PLCG2,0.974,,1.0,0.688,,0.618,,0.72,0.462,,0.086,,0.004,0.16,,,,,,,,,,,
IFNG,TNF,,,,,,,,,,,,,,,,,,,,,,,,,
PRSS3,F2RL3,,,,,,,,,,,,,,,,,,,,,,,,,
CSF1,TNF,,0.002,,0.07,,,0.06,,0.258,,,0.002,,0.026,,,0.014,,0.058,,,,,,
KDR,HSP90AA1,1.0,1.0,0.994,0.102,0.356,1.0,1.0,0.574,0.082,0.332,1.0,1.0,0.0,0.05,0.316,,,,,,,,,,
THBS1,ELANE,,,,,,,,,,,,,,,,,,,,,,,,,
AREG,MMP9,,,,,,,,,,,0.436,0.442,0.908,0.0,,,,,,,,,,,
IL1RN,IL2RA,,0.688,,0.764,,,,,,,,0.0,,0.002,,,0.092,,0.108,,,,,,
CCL1,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CTSG,F2RL3,,0.054,0.044,,,,,,,,,,,,,,,,,,,,,,
PRSS2,F2RL3,,0.5,1.0,,,,0.542,0.858,,,,0.066,0.0,,,,0.542,0.826,,,,,,,
PRSS1,F2RL3,,1.0,1.0,,,,0.738,0.934,,,,0.052,0.0,,,,0.916,0.978,,,,,,,
THBS4,CD36,0.004,,0.002,,,,,,,,,,,,,0.0,,0.0,,,,,,,
MDK,PTPRB,1.0,0.996,1.0,,,0.958,0.952,0.952,,,0.702,0.352,0.0,,,0.736,0.704,0.704,,,0.276,0.274,0.268,,
CSF2,CSF2,,,,,,,,,,,,,0.0,,,,,,,,,,,,
IHH,GAS1,,,,,,,,,,,,,,,,,,,,,,,,,
IFNG,IFNG,,,,,,,,,,,,,,,,,,,,,,,,,
IL13,IL13,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,IL1B,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,IL1B,,,,,,,,,,,,,,,,,,,,,,,,,
IL1RN,IL1B,,,,,,,,,,,,,,,,,,,,,,,,,
IL2,IL2,,,,,,,,,,,,,,,,,,,,,,,,,
IL22,IL22,,,,,,,,,,,,,,,,,,,,,,,,,
IL6,IL6,,,,,,,,,,,,,,,,,,,0.004,,,,,,
CLU,TYROBP,1.0,1.0,1.0,0.004,0.356,0.994,0.954,1.0,0.0,0.254,0.0,0.0,0.0,0.0,0.068,0.998,0.978,1.0,0.0,0.298,0.982,0.98,0.988,0.616,0.882
ICOS,CD40LG,,,,,,,,,,,,,,,,,,,,,,,,,
CCL26,CXCR6,,,,,,,,,,,,,,,,0.0,,0.048,0.046,,,,,,
VEGFA,MMP9,1.0,1.0,1.0,0.262,,1.0,1.0,0.998,0.178,,0.174,0.358,0.0,0.0,,0.998,0.99,0.998,0.252,,,,,,
OSM,CXCL10,,,,,,,,,,,,,,,,,,0.038,0.048,,,,,,
THBS1,VCAM1,0.0,0.0,0.0,0.004,,0.0,0.0,0.0,0.0,,0.038,0.004,1.0,0.476,,0.198,0.03,0.358,0.46,,,,,,
IFNG,TYMS,,,,,,,,,,,,,,,,,,,,,,,,,
CSF1,VEGFA,1.0,1.0,0.25,0.998,,1.0,0.998,0.338,0.996,,1.0,0.998,0.0,0.998,,1.0,0.956,0.076,0.94,,,,,,
VEGFA,CSF1,1.0,1.0,1.0,1.0,,1.0,0.998,0.998,0.956,,0.25,0.338,0.0,0.076,,0.998,0.996,0.998,0.94,,,,,,
CSF2,FLT1,,,,,,,,,,,1.0,,0.0,,0.014,,,,,,,,,,
IFNG,CD74,,,,,,,,,,,,,,,,,,,,,,,,,
CCL1,CCR7,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,
IL6,IL17A,,,,,,,,,,,,,,,,,,,,,,,,,
IL10,PTGS2,,,,,,,,,,,,,,,,,,,,,,,,,
CXCL1,CXCR6,,,,,,,,,,,,,,,,,,,,,,,,,
VWF,THBS1,0.0,0.0,0.868,0.54,,0.22,0.002,0.902,0.798,,0.0,0.0,1.0,0.344,,0.472,0.028,0.956,0.886,,,,,,
XCL2,CCR7,0.0,,,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,,
XCL1,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CSF2,PLAU,,,,,,,,,,,1.0,0.958,0.0,0.028,,,,,,,,,,,
STC1,TNF,,,,,,,0.002,,0.024,,,0.0,,0.024,,,,,,,,,,,
CSF2,CD1A,,,,,,,,,,,,,,0.018,,,,,,,,,,,
CSF2,MMP9,,,,,,,,,,,0.432,0.442,0.912,0.0,,,,,,,,,,,
