intr	cond	nct	title	phase	status	start	conditions
sacituzumab	thyroid	NCT06235216	Sacituzumab govitEcan in THYroid Cancers	PHASE2	RECRUITING	2024-09-13	Differentiated Thyroid Cancer; Anaplastic Thyroid Cancer
sacituzumab	thyroid	NCT06923826	Sacituzumab Govitecan in Metastatic Salivary Gland and Thyroid Cancers (SG-SGTC)	PHASE2	RECRUITING	2025-04-15	Salivary Gland Cancer; Thyroid Cancer
sacituzumab	thyroid	NCT07521670	Sacituzumab Tirumotecan in Recurrent/Metastatic Adenoid Cystic Carcinoma and Papillary Thyroid Carcinoma (STRAP)	PHASE2	NOT_YET_RECRUITING	2026-05	Recurrent Adenoid Cystic Carcinoma; Adenoid Cystic Carcinoma Metastatic; Papillary Thyroid Carcinoma
sacituzumab	thyroid	NCT07068542	Sacituzumab Tirumotecan Combined With Immunotherapy in Advanced Thyroid Cancer	NA	RECRUITING	2025-07-01	Advanced Thyroid Carcinoma; Radioiodine-refractory Differentiated Thyroid Cancer; Poorly Differentiated Thyroid Carcinoma
sacituzumab	cancer	NCT06065371	Sacituzumab Govitecan in Combination With Capecitabine for Advanced Gastrointestinal Cancers After Progression on Standa	PHASE1	RECRUITING	2024-11-20	Gastrointestinal Cancer
sacituzumab	cancer	NCT07108816	A Single-center, Phase II Clinical Trial Evaluating the Efficacy of Sacituzumab Tirumotecan in Combination With Tagitanl	PHASE2	NOT_YET_RECRUITING	2025-08-15	Resectable Stage II-IIIB NSCLC
sacituzumab	cancer	NCT05627960	First in Human Phase 1 Study of AG01 Anti-Progranulin/GP88 Antibody in Advanced Solid Tumor Malignancies	PHASE1	RECRUITING	2022-02-14	Triple Negative Breast Cancer; Hormone-Resistant Breast Cancer; Non Small Cell Lung Cancer; Mesothelioma
sacituzumab	cancer	NCT04381832	Adenosine Receptor Antagonist Combination Therapy for Metastatic Castrate Resistant Prostate Cancer	PHASE1,PHASE2	COMPLETED	2020-07-07	Prostatic Neoplasms, Castration-Resistant; Androgen-Resistant Prostatic Neoplasms; Castration Resistant Prostatic Neoplasms; Prostatic Cancer, Castration-Resistant
sacituzumab	cancer	NCT06356311	A Study to Evaluate Sacituzumab Tirumotecan (MK-2870) in Advanced/Metastatic Gastroesophageal Adenocarcinoma (MK-2870-01	PHASE3	ACTIVE_NOT_RECRUITING	2024-05-03	Gastroesophageal Cancer
sacituzumab	cancer	NCT06462092	Sacituzumab Govitecan and Intrathecal Chemotherapy for Treating Leptomeningeal Metastases From Her2-negative Breast Canc	PHASE1,PHASE2	RECRUITING	2026-01-01	Leptomeningeal Metastases
sacituzumab	cancer	NCT05816252	A Study of SKB264 (MK-2870; Sac-TMT) for the Treatment of Participants With Advanced or Metastatic Non-small Cell Lung C	PHASE2	ACTIVE_NOT_RECRUITING	2023-04-19	Non-small Cell Lung Cancer
sacituzumab	cancer	NCT02161679	Phase II Study of IMMU-132 Alone or in Combination With Carboplatin in Patients With Triple-Negative Breast Cancer	PHASE2	WITHDRAWN	2016-08	Triple-negative Breast Cancer
sacituzumab	cancer	NCT04617522	Study of Sacituzumab Govitecan in Participants With Advanced or Metastatic Solid Tumor and Moderate Liver Impairment	PHASE1	RECRUITING	2021-04-06	Advanced or Metastatic Solid Tumor; Liver Failure
sacituzumab	cancer	NCT03424005	A Study Evaluating the Efficacy and Safety of Multiple Treatment Combinations in Patients With Metastatic or Locally Adv	PHASE1,PHASE2	RECRUITING	2018-03-30	Metastatic Breast Cancer
sacituzumab	cancer	NCT06102824	Organoid-based Functional Precision Therapy for Advanced Breast Cancer	PHASE2	RECRUITING	2024-10-01	HER2-negative Breast Cancer; Advanced Breast Cancer
sacituzumab	cancer	NCT04448886	Sacituzumab Govitecan +/- Pembrolizumab In HR+ / HER2 - MBC	PHASE2	ACTIVE_NOT_RECRUITING	2020-09-23	Invasive Breast Cancer; Metastatic Breast Cancer; HR-Positive Breast Cancer; HER2-negative Breast Cancer
sacituzumab	cancer	NCT06243393	Sacituzumab Govitecan in Metastatic Colorectal Cancer	PHASE2,PHASE3	RECRUITING	2024-04-19	Metastatic Colorectal Cancer
sacituzumab	cancer	NCT06824467	A Study to Evaluate the Efficacy and Safety of Sacituzumab Tirumotecan (MK-2870) Maintenance Treatment Versus Standard o	PHASE3	RECRUITING	2025-04-09	Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Cancer
sacituzumab	cancer	NCT05601440	Liquid-biopsy Informed Platform Trial to Evaluate CDK4/6-inhibitor Resistant ER+/HER2- Metastatic Breast Cancer	PHASE2	RECRUITING	2023-06-13	Breast Cancer
sacituzumab	cancer	NCT04794699	Study of IDE397 in Participants With Solid Tumors Harboring MTAP Deletion	PHASE1	ACTIVE_NOT_RECRUITING	2021-04-14	Solid Tumor
sacituzumab	cancer	NCT06477419	A Study of Sacituzumab Govitecan in People With Mesothelioma	PHASE2	RECRUITING	2024-06-21	Mesothelioma; Mesotheliomas Pleural; Mesothelioma; Pleura
sacituzumab	cancer	NCT05119907	Study of Sacituzumab Govitecan in Patients With Solid Tumor	PHASE2	ACTIVE_NOT_RECRUITING	2021-10-12	Solid Tumor
sacituzumab	cancer	NCT06049212	Sacituzumab Tirumotecan (MK-2870) as Monotherapy and in Combination With Pembrolizumab in Participants With Advanced Sol	PHASE1	ACTIVE_NOT_RECRUITING	2023-10-26	Non-small Cell Lung Cancer; Solid Tumors; Programmed Cell Death-1 (PD1, PD-1); Programmed Cell Death 1 Ligand 1(PDL1, PD-L1); Programmed Cell Death 1 Ligand 2 (PDL2, PD-L2)
sacituzumab	cancer	NCT06801834	Study of Sacituzumab Govitecan Versus Standard of Care in Participants With Previously Treated Extensive Stage Small Cel	PHASE3	RECRUITING	2025-04-04	Extensive Stage Small Cell Lung Cancer (ES-SCLC)
trop2	thyroid	NCT07314255	The Role of Trop2 in Radioactive Iodine-131 Therapy Sensitivity in Papillary Thyroid Carcinoma		ACTIVE_NOT_RECRUITING	2025-12-18	PTC; I-131; Trop2
trop2	thyroid	NCT06851663	Trop2-targeted immunoPET Imaging of Solid Tumors	PHASE2,PHASE3	RECRUITING	2024-12-23	Solid Tumor; Solid Carcinoma; Uroepithelial Carcinoma; Bladder Cancer; Prostate Cancer; Lung Cancer; Nasopharyngeal Cancer; Liver Cancer; Cholangiocarcinoma; Ovarian Cancer; Cervical Cancer; Endometri
trop2	thyroid	NCT06235216	Sacituzumab govitEcan in THYroid Cancers	PHASE2	RECRUITING	2024-09-13	Differentiated Thyroid Cancer; Anaplastic Thyroid Cancer
trop2	thyroid	NCT07068542	Sacituzumab Tirumotecan Combined With Immunotherapy in Advanced Thyroid Cancer	NA	RECRUITING	2025-07-01	Advanced Thyroid Carcinoma; Radioiodine-refractory Differentiated Thyroid Cancer; Poorly Differentiated Thyroid Carcinoma
trop2	thyroid	NCT06465017	ImmunoPET Targeting Trophoblast Cell-Surface Antigen 2 (Trop-2) in Thyroid Cancer	NA	TERMINATED	2024-01-15	Tumor; Solid Tumor; Thyroid Cancer; Positron-Emission Tomography
inclisiran	cardiovascular	NCT04929249	"A Randomized Study to Evaluate the Effect of an ""Inclisiran First"" Implementation Strategy Compared to Usual Care in Pat"	PHASE3	COMPLETED	2021-06-25	Atherosclerotic Cardiovascular Disease
inclisiran	cardiovascular	NCT06249165	VictORION-INCLUSION: Evaluating Inclisiran for Cholesterol Managment in Heart Disease	PHASE4	ACTIVE_NOT_RECRUITING	2024-12-16	Atherosclerotic Cardiovascular Disease
inclisiran	cardiovascular	NCT05362903	A Non-interventional Implementation Study to Evaluate Treatment With Inclisiran (Leqvio®) and Other Lipid Lowering Treat		COMPLETED	2022-01-31	Hypercholesterolemia
inclisiran	cardiovascular	NCT04873934	Management of LDL-cholesterol With Inclisiran + Usual Care Compared to Usual Care Alone in Participants With a Recent Ac	PHASE3	COMPLETED	2021-06-24	Acute Coronary Syndrome
inclisiran	cardiovascular	NCT06126367	Assessment of Lipoprotein(a) and Endogenous Fibrinolysis in Atherosclerotic Cardiovascular Disease/Aortic Valve Disease		RECRUITING	2023-10-20	Atherosclerosis; Aortic Valve Disease
inclisiran	cardiovascular	NCT07543731	A Real-World Study of Long-Term Adherence and Persistence to Inclisiran, Evolocumab, and Alirocumab		NOT_YET_RECRUITING	2026-04-21	Cardiovascular Diseases; Atherosclerotic Cardiovascular Disease; Hypercholesterolemia, Familial
inclisiran	cardiovascular	NCT06813911	Lp(a) Lowering Study of Pelacarsen (TQJ230) With Background Inclisiran in Participants With Elevated Lp(a) and Establish	PHASE3	RECRUITING	2025-04-30	Atherosclerotic Cardiovascular Disease (ASCVD)
inclisiran	cardiovascular	NCT07023445	Patterns of Inclisiran Use in the Real World: An Analysis of US Databases		COMPLETED	2023-01-20	Atherosclerotic Cardiovascular Disease; Familial Hypercholesterolemia
inclisiran	cardiovascular	NCT05834673	VICTORION-ASCERTAIN: Implementation Study (v-ASCERTAIN)	NA	TERMINATED	2023-11-17	Atherosclerotic Cardiovascular Disease (ASCVD); Coronary Heart Disease (CHD); Cerebrovascular Disease; Peripheral Arterial Disease (PAD)
inclisiran	cardiovascular	NCT06597006	Study to Evaluate Safety, Tolerability and Efficacy of Inclisiran in Children With Homozygous Familial Hypercholesterole	PHASE3	RECRUITING	2025-02-28	Familial Hypercholesterolemia - Homozygous
inclisiran	cardiovascular	NCT03060577	An Extension Trial of Inclisiran in Participants With Cardiovascular Disease and High Cholesterol	PHASE2	COMPLETED	2017-04-27	Atherosclerotic Cardiovascular Disease; Symptomatic Atherosclerosis; Type2 Diabetes; Familial Hypercholesterolemia
inclisiran	cardiovascular	NCT06494501	The Prevent Coronary Artery Disease Trial	PHASE3	RECRUITING	2024-09-12	Atherosclerotic Cardiovascular Disease
inclisiran	cardiovascular	NCT06507852	A Real-world Study of Inclisiran Adherence, Treatment Patterns, Patient Characteristics, and Effectiveness in ASCVD Pati		COMPLETED	2022-10-03	Atherosclerotic Cardiovascular Disease; Hypercholesterolemia
inclisiran	cardiovascular	NCT06941792	Inclisiran Effectiveness in China: a Pragmatic Randomized Trial	PHASE4	ACTIVE_NOT_RECRUITING	2025-06-17	Coronary Heart Disease
inclisiran	cardiovascular	NCT05639218	Impact of Optimal Pharmacotherapy on Lipid Profile and Qualitative Features of Atherosclerotic Plaques		UNKNOWN	2021-06-29	Atherosclerotic Cardiovascular Disease
inclisiran	cardiovascular	NCT04666298	Study of Efficacy and Safety of Inclisiran in Japanese Participants With High Cardiovascular Risk and Elevated LDL-C	PHASE2	COMPLETED	2021-01-29	Hypercholesterolemia; Heterozygous Familial Hypercholesterolemia
inclisiran	cardiovascular	NCT07102628	Evaluation of Efficacy and Safety of Early in Hospital Initiation of Inclisiran Treatment in Patients With Acute Coronar	PHASE3	RECRUITING	2025-10-03	Acute Coronary Syndrome
inclisiran	cardiovascular	NCT06958315	Inclisiran (Leqvio®) in Patients With Atherosclerotic Vascular Disease and/or Heterozygous Familial Hypercholesterolemia		RECRUITING	2025-06-16	Atherosclerotic Vascular Disease; Heterozygous Familial Hypercholesterolemia
inclisiran	cardiovascular	NCT04765657	Study of Efficacy and Safety of Inclisiran in Asian Participants With Atherosclerotic Cardiovascular Disease (ASCVD) or 	PHASE3	ACTIVE_NOT_RECRUITING	2021-03-01	Hypercholesterolemia
inclisiran	cardiovascular	NCT03400800	Inclisiran for Subjects With ASCVD or ASCVD-Risk Equivalents and Elevated Low-density Lipoprotein Cholesterol	PHASE3	COMPLETED	2017-11-01	ASCVD; Risk Factor, Cardiovascular; Elevated Cholesterol
evolocumab	ldlr	NCT04034485	Phase 3 Study to Evaluate the Efficacy and Safety of LIB003 With Evolocumab in HoFH	PHASE3	COMPLETED	2019-12-07	Homozygous Familial Hypercholesterolemia
evolocumab	ldlr	NCT07023445	Patterns of Inclisiran Use in the Real World: An Analysis of US Databases		COMPLETED	2023-01-20	Atherosclerotic Cardiovascular Disease; Familial Hypercholesterolemia
evolocumab	ldlr	NCT01588496	Trial Evaluating PCSK9 Antibody in Subjects With LDL Receptor Abnormalities	PHASE2,PHASE3	COMPLETED	2012-04-05	Homozygous Familial Hypercholesterolemia
evolocumab	ldlr	NCT03110432	Prospective German Very High Cardiovascular Risk Patients Dyslipidemia Treatment Indication Registry		COMPLETED	2017-05-18	Dyslipoproteinemias; Hypercholesterolemia, Familial; Familial Hypercholesterolemia - Homozygous; Familial Combined Hyperlipidemia
evolocumab	ldlr	NCT03060577	An Extension Trial of Inclisiran in Participants With Cardiovascular Disease and High Cholesterol	PHASE2	COMPLETED	2017-04-27	Atherosclerotic Cardiovascular Disease; Symptomatic Atherosclerosis; Type2 Diabetes; Familial Hypercholesterolemia
evolocumab	ldlr	NCT06231459	Expression of Pro- and Anti-inflammatory Cytokines During Anti-PCSK9 in Familial Hypercholesterolemia	PHASE4	COMPLETED	2019-01-01	Hypercholesterolemia, Familial
evolocumab	ldlr	NCT02624869	Safety, Tolerability and Efficacy of Evolocumab (AMG 145) in Children With Inherited Elevated Low-density Lipoprotein Ch	PHASE3	COMPLETED	2016-09-10	Familial Hypercholesterolemia
evolocumab	ldlr	NCT02392559	Trial Assessing Efficacy, Safety and Tolerability of Proprotein Convertase Subtilisin/Kexin Type 9 (PCSK9) Inhibition in	PHASE3	COMPLETED	2016-03-24	Heterozygous Familial Hypercholesterolemia
evolocumab	ldlr	NCT02808403	Long Term Post Marketing Specified Drug Use Result Survey for Evolocumab in Japan		COMPLETED	2016-06-24	Hypercholesterolemia; Familial Hypercholesterolemia
evolocumab	ldlr	NCT04862260	Cholesterol Disruption in Combination With the Standard of Care in Patients With Advanced Pancreatic Adenocarcinoma	EARLY_PHASE1	ACTIVE_NOT_RECRUITING	2021-10-04	Pancreatic Ductal Adenocarcinoma; Pancreatic Cancer; Pancreas Cancer; Metastatic Cancer
evolocumab	ldlr	NCT03403374	Safety and Tolerability of Repatha® (Evolocumab) in Indian Participants With Homozygous Familial Hypercholesterolemia	PHASE4	COMPLETED	2018-08-04	Homozygous Familial Hypercholesterolemia HoFH
evolocumab	ldlr	NCT04313270	Subclinical Atherosclerosis in Patients With Familial Hypercholesterolemia Treated With Evolocumab®		UNKNOWN	2017-12-01	Hypercholesterolemia, Familial
evolocumab	ldlr	NCT03331666	Impact of LDL-cholesterol Lowering on Platelet Activation	PHASE4	TERMINATED	2018-11-16	Familial Hypercholesterolemia
evolocumab	ldlr	NCT01624142	Trial Assessing Long Term USe of PCSK9 Inhibition in Subjects With Genetic LDL Disorders	PHASE2,PHASE3	COMPLETED	2012-06-01	Severe Familial Hypercholesterolemia
evolocumab	ldlr	NCT04656028	Genetic Testing and Motivational Counseling for FH	NA	ACTIVE_NOT_RECRUITING	2020-06-15	Hypercholesterolemia, Familial; Hypercholesterolemia, Familial, 1; Hypercholesterolemia, Familial, 2; Hypercholesterolemia, Familial, 3; Hypercholesterolemia, Familial, 4; Hypercholesterolemia, Famili
evolocumab	ldlr	NCT02585895	Evolocumab Compared to LDL-C Apheresis in Patients Receiving LDL-C Apheresis Prior to Study Enrollment	PHASE3	COMPLETED	2015-12-21	Hypercholesterolemia
evolocumab	ldlr	NCT01763918	Reduction of LDL-C With PCSK9 Inhibition in Heterozygous Familial Hypercholesterolemia Disorder Study-2	PHASE3	COMPLETED	2013-02-07	Hyperlipidemia
evolocumab	ldlr	NCT01375751	Reduction of Low-Density Lipoprotein Cholesterol (LDL-C) With PCSK9 Inhibition in Heterozygous Familial Hypercholesterol	PHASE2	COMPLETED	2011-08-02	Hypercholesterolemia, Familial
