pathway	genes_measured	n_measured	braflike_log2fc_mean	interpretation
TROP2_pathway	TACSTD2	1	4.866	BRAF-like HIGHER
TopoI_DNA_damage		0		no gene measured
p53_apoptosis	BID,PMAIP1	2	1.218	BRAF-like HIGHER
MAPK_output	DUSP4,DUSP5,DUSP6	3	1.641	BRAF-like HIGHER
