sample_id	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation	cohort
A3	0.2751209837356608	1.9065562011987167	1.2207385558027275	1.2630285371107817	1.638935866641284	2.0300744708124587	-1.0562544286667106	GSE126698
A4	0.3750670661264669	-0.2781068685202535	-0.3983503207078956	-0.3245586738261061	0.1840550028322387	1.2619330996222948	-1.1576033628051838	GSE126698
A5	1.1435506320914377	1.7507847686050269	1.7436063982164762	0.2141685773607043	2.0609380227082794	1.4869815193183469	-0.2252880703393265	GSE126698
A2	2.025231004543639	1.85321913349484	3.205744433867552	0.0947947605830186	2.325881740915602	1.7685062977614092	-2.012997407124004	GSE126698
A7	-1.0072942871619883	0.3434118211882118	-0.8921608707922999	-0.5531044622065897	-0.2279142349730628	0.4789187909072299	-1.772338730584102	GSE126698
A1	-0.718227433693606	0.5335277772616531	-0.1308665209949177	0.157880151711247	0.4627329395201119	0.5242098948590292	-1.543160364493103	GSE126698
A6	0.6818781832803481	1.542554250041501	1.318391355559153	1.0239409533888937	1.6316844884796913	1.6479335146506806	-0.7669179568551542	GSE126698
A10	0.0883976892362341	-0.2006385105216619	0.3884931605302458	1.0887852436866703	-0.2814194078259066	-0.0576319249893563	-0.6243298329668071	GSE126698
A12	-1.9239411539181692	0.2729315146803067	-0.1687748394283617	0.5374151188420635	-0.2834449516620286	0.4416380229619867	-1.1937069156214026	GSE126698
A9	0.2520988550316499	0.9398344585608732	-0.3722729655802734	0.8642651227631721	0.6167805264753128	0.7398753600072743	-0.9620276753817056	GSE126698
F6	0.4617137227991327	-0.6963003639890036	-0.2774213459655348	-0.5220568394690966	-0.4786756460519261	-0.6745617222760819	1.4467296643111571	GSE126698
F5	-0.0009847996533553	-1.5299024237282846	-1.26877875024783	-1.1067372277350451	-0.4234398610889982	-1.5469492675594645	0.6206437558496373	GSE126698
F3	0.1059297210990809	-0.3879905512076876	-0.9327286745441852	-0.4031282939942068	0.1961239877636219	-0.6188513160979601	0.4373686238727786	GSE126698
F1	-1.0215376471806423	-0.8764583762827256	-0.917867573211766	-1.4486802292469918	-1.0364090441258702	-1.3155325235442052	0.7890922487648229	GSE126698
F2	-2.467718091488441	-0.6815961723984932	-0.999775632166278	-1.0641402196113732	-1.5176124291713966	-0.6873877880001614	0.4969160089688988	GSE126698
F4	-0.4296197499908034	-0.952768417546983	-0.6336431351145023	-1.070919630268758	-0.816486918200316	-1.3030899075501952	0.6035520790162519	GSE126698
N4	-0.7808955129637031	-0.8416097156260243	-0.929178164177104	-0.2495115103274882	-1.0905273504265138	-0.4090283436268447	1.292414868129468	GSE126698
N7	-0.4723923145232499	-1.1793648552944906	-0.3567483112992687	-0.2500907428661096	-0.3271599988005386	-0.8869140226548851	0.9852890489277834	GSE126698
N2	0.0332711205360725	-0.5035340492170388	0.1850137552395617	-0.2734477899892095	-0.0798215254039916	-0.7613682747913101	1.0384730430961586	GSE126698
N8	-0.4440545187637146	-0.5572691522414388	-0.377778236359969	-0.4870111306237254	-0.5086974356420503	-1.0087967373350897	1.1993289235635904	GSE126698
N5	-0.453140517024576	-0.8491019011087202	-0.2141530275989282	-0.3601993000055135	-0.509320911025696	-0.7564249694470824	1.3231136380750916	GSE126698
N3	-0.4001291669004497	-1.3303383126317343	-0.5418050556799932	-0.5135796622335308	-1.1796861117891144	-0.7056390701618545	1.0196033635339738	GSE126698
P3	1.2313974505078145	0.7328978896275208	0.0352303753318939	0.4830919168236313	0.499472029010393	0.3737656602008418	-0.2961118603724281	GSE126698
P4	-0.2263888000448069	-0.1228748964870803	-0.8408571334151088	-0.7692199846449046	-1.0856140758343702	-0.1258536944308345	0.5634476549507152	GSE126698
P5	-0.4692101468832196	-0.9570351257061612	-0.4177457971909563	-1.123975873559843	-0.9188202768884042	-0.649619501995271	0.4205802152059247	GSE126698
P1	1.0798103683280569	1.1422259861470043	0.7219290550316236	3.0474088349423494	1.155630104174884	1.022265147061791	-0.3046663183276717	GSE126698
P6	1.418565019406249	0.9806379801859316	1.533809652807374	2.0722257103067627	0.6457547878981335	0.3995113214415491	-0.0816132064689747	GSE126698
P2	1.643502323468941	-0.0536920884837905	0.3179496120885647	-0.326643356910794	-0.6529393175093675	-0.6679640351442977	-0.2395370062596703	GSE126698
Pt1	-0.1949669540990273	0.6187554053873391	0.1364592083512349	0.4378372236476255	-0.2741957091408261	-0.1851671944344858	1.1356093201268072	Hugo_GSE78220
Pt2	1.55070506937123	1.2559929373285958	0.5787685584463772	-0.1571654363037246	0.0750146829057193	0.1970793693381552	2.397653806607994	Hugo_GSE78220
Pt4	-0.9299173094106404	-1.2410997341437666	-0.0633344279262974	-0.3049178349904115	-0.3480372060511947	-0.9130940499940547	-1.4037058281487838	Hugo_GSE78220
Pt5	0.2851591147616943	-1.2180490599630258	-1.9017120344539071	-1.2430559209601448	-1.9686866537076968	-2.2594436950736534	-0.3728904798860011	Hugo_GSE78220
Pt6	-1.3661637966234692	-0.1382541782476274	-1.503764816228791	-1.2990069448805637	-0.5841871259172068	0.6147944433892966	-0.4888923783992421	Hugo_GSE78220
Pt7	-1.2894049021113458	-0.7304694528725789	-0.6424323780786314	-0.767324059326531	-1.081473559445164	-1.425349453552654	-0.1639859056934867	Hugo_GSE78220
Pt8	0.4405878997706272	0.0883021804452055	-0.4294947694322924	-0.4309096288828355	-0.7791774811241596	0.7496391878906979	-0.15008129924263	Hugo_GSE78220
Pt9	0.4953861711661549	0.1303791331530109	0.5338358199224642	0.5295997467574142	-0.445261052581162	-0.5072653863527422	1.0788941010171094	Hugo_GSE78220
Pt10	-1.7326841147167982	-1.6308602713094555	-1.5596085500172143	-0.3850930815754523	-0.7211190929740899	0.2669469733208787	0.0817883272557973	Hugo_GSE78220
Pt12	-1.163279632996964	-1.4371129285492368	-1.440826800663032	-0.7902052591288979	-1.210498097219537	0.0903383849580263	-0.2996568391332378	Hugo_GSE78220
Pt13	0.6715329759528725	1.7629464051006722	1.0751006488837884	0.0867219329731456	1.2121227774378789	1.2399897889910478	-0.4218721982302436	Hugo_GSE78220
Pt14	-0.0605467269492413	-0.2458150511570759	0.1327623463434062	-0.6830840354907004	0.3980351700787991	1.5395522341577117	-0.2923250949895564	Hugo_GSE78220
Pt15	0.6705992698460788	0.257559411916437	0.2323495621062068	0.5203997979023607	0.1426870278290131	-0.5288046560450832	-0.9352758627497926	Hugo_GSE78220
Pt16.OnTx	-1.748442715040654	-1.1502080162629682	-0.7804620916531412	-0.7654626604862351	-0.3697045213996187	1.740164094529583	0.1410846090185656	Hugo_GSE78220
Pt19	0.859350750201215	1.0263319473334205	-0.3339562167837365	0.5868900956679364	0.0970812134118373	0.1140116740110074	0.8001970763090336	Hugo_GSE78220
Pt20	2.3775259670276503	1.682573669574159	2.4463291411820998	1.7534406435874268	2.7644195090695782	0.779221469507647	-0.5595296063191901	Hugo_GSE78220
Pt22	0.1552564665688782	1.2990650408953908	1.020499724916032	1.1825465148952234	0.7151560137662047	1.767016220017195	0.2652592258359805	Hugo_GSE78220
Pt23	0.7635996348845892	-0.3134181569980253	0.8753857165993196	-0.5574400541926793	0.8314003940610742	1.2320874565214344	0.1488628565416582	Hugo_GSE78220
Pt25	0.7306244907022652	1.2685173941125245	0.7824430829614949	0.7222523304165671	0.8400016117536319	-0.6309816779794045	-1.2237192432252604	Hugo_GSE78220
Pt27A	0.9637712906115032	0.9046888481555942	1.136062461455492	-0.1773148677661425	0.6304244193266589	0.3092101751809465	-0.466595610637135	Hugo_GSE78220
Pt27B	0.244197342284711	0.4560489656679148	0.3384317163914671	-0.7140182870037235	-0.25052131865399	-0.6411083354110954	-0.6811134226122614	Hugo_GSE78220
Pt28	-0.393098528090115	-0.2360280471547975	-1.1982441702558435	0.3304077325135035	-0.4150614525027135	-1.0849411838385157	2.8590256299144694	Hugo_GSE78220
Pt29	-0.598017368861615	0.2457637319295071	0.6333647605484992	0.5675828512188323	0.8454866987640979	0.9123328542324196	1.4976687184314756	Hugo_GSE78220
Pt31	-0.0353345172512913	-1.124305789457907	-0.302282827377283	-0.3346123380580239	-0.319229439186265	-0.2155930472193528	-0.4630431486553261	Hugo_GSE78220
Pt32	-1.6679054712148067	-1.068537871845329	-0.852677600799253	-0.9138459036246972	-1.0625948060899515	-0.4189315302259914	0.0278938204257432	Hugo_GSE78220
Pt35	0.5065246454590083	-0.4010409612262829	0.1295237318870015	-0.7794457937942172	-0.549955923226172	-0.7860880461342117	-0.7777418910262727	Hugo_GSE78220
Pt37	0.5020923430991325	-1.0712858854328624	-0.3831698714736382	-0.0370833183229181	-0.450797361913412	-1.4960886537492244	-1.1672081371141272	Hugo_GSE78220
Pt38	-0.037151394341627	1.0095603336211536	1.340650075148183	3.62230655520787	2.278671282728671	-0.4595274160355675	-0.5663005454220893	Hugo_GSE78220
Pt1_Pre_AD101148-6	0.337666881137605	0.6979129919445884	1.2678338782964351	0.7967457140076497	1.4192977421682802	1.0333376976225708	-0.7715345317947239	Riaz_GSE91061_pre
Pt10_Pre_E9047565-6	-1.530337094608986	-0.6899892723929392	-0.8834962182941583	-0.0930479698117583	-0.8450377140813933	-1.170017916022004	-0.1086779495945341	Riaz_GSE91061_pre
