cohort	module	n_ATC	n_other	mean_ATC	mean_other	cohens_d	t	p	sign
GSE126698	HLA_class_I	10	18	0.1191881539271673	-0.0662156410706452	0.1758825656168011	0.4381811547490176	0.6668383035555033	+
GSE126698	HLA_class_II	10	18	0.8664074545989214	-0.48133747477717775	1.6721305812842564	4.174977047955579	0.0006330230335906578	+
GSE126698	IFNG_T_cell_inflamed	10	18	0.5914548386472406	-0.32858602147068927	0.9029115766587094	2.1323402218684704	0.054127152583241425	+
GSE126698	TLS_CXCL13_like	10	18	0.43666153294138554	-0.24258974052299154	0.7471660473721959	2.0586856385686634	0.04967587764139995	+
GSE126698	checkpoint_exhaustion	10	18	0.8128229993111523	-0.4515683329506401	1.4476978888262182	3.5016968543790257	0.003530742308383909	+
GSE126698	myeloid_suppressive	10	18	1.0322439045911356	-0.5734688358839642	2.3934101186051873	6.002728707154104	1.2593126123801232e-05	+
GSE126698	thyroid_differentiation	10	18	-1.13146247448375	0.6285902636020837	-3.1818312925159136	-8.129379031019804	1.0539551664641614e-07	-
GSE65144	HLA_class_I	12	13	0.3467563009802534	-0.32008273936638787	0.6835885385924019	1.719884447346643	0.0999116422075811	+
GSE65144	HLA_class_II	12	13	0.32113410705855555	-0.2964314834386665	0.6282540016562964	1.5824044076885604	0.12871327879089098	+
GSE65144	IFNG_T_cell_inflamed	12	13	0.34159834804140443	-0.31532155203822004	0.6680923422755032	1.671315594809484	0.10821361732874105	+
GSE65144	TLS_CXCL13_like	12	13	-0.3291833323953816	0.3038615375957367	-0.6474329658948464	-1.6348319300645524	0.11857638483945426	-
GSE65144	checkpoint_exhaustion	12	13	0.32368164600170446	-0.298783057847727	0.6244144183550687	1.5512449768780423	0.13621369720857907	+
GSE65144	myeloid_suppressive	12	13	0.6293523849024637	-0.5809406629868895	1.4256283327231312	3.4924051094176356	0.0050026473464691865	+
GSE65144	thyroid_differentiation	12	13	-0.787118788667608	0.7265711895393301	-2.2628954941070254	-5.759560026174321	6.422218807071178e-05	-
GSE29265	HLA_class_I	9	40	0.07581284374248115	-0.017057889842058537	0.08383754769249813	0.21233930271893559	0.8359574458951585	+
GSE29265	HLA_class_II	9	40	-0.07100054727715238	0.015975123137360447	-0.0747180976810514	-0.18320597401972233	0.858371301598574	-
GSE29265	IFNG_T_cell_inflamed	9	40	0.2617956027325471	-0.05890401061482311	0.2697354077916651	0.6506482303891874	0.5306306898660395	+
GSE29265	TLS_CXCL13_like	9	40	-0.16916165024735588	0.038061371305655095	-0.2161561452243691	-0.6252381762131674	0.5419531624308035	-
GSE29265	checkpoint_exhaustion	9	40	0.5774527207168849	-0.1299268621612995	0.5548347523914502	1.2755244989213286	0.2345100311968888	+
GSE29265	myeloid_suppressive	9	40	1.087715700516712	-0.2447360326162599	1.1950216661508821	2.7684410692615824	0.02187722306937423	+
GSE29265	thyroid_differentiation	9	40	-1.3416015625353106	0.30186035157044416	-1.4520179247648015	-3.219188283132573	0.011408815700992605	-
GSE33630	HLA_class_I	11	94	0.6587507097865534	-0.07708784901757591	0.8968582891025204	3.724997791171152	0.0014210030365011262	+
GSE33630	HLA_class_II	11	94	0.5812979019908258	-0.06802422257339444	0.7839172429698228	3.2272283331021523	0.004485446279850735	+
GSE33630	IFNG_T_cell_inflamed	11	94	0.48603881382113806	-0.056876882468430784	0.5501283517440747	1.7415805695237823	0.10596902680886554	+
GSE33630	TLS_CXCL13_like	11	94	-0.18984984377958797	0.022216471080590914	-0.24324950156690084	-0.9320175057904698	0.36489004356854116	-
GSE33630	checkpoint_exhaustion	11	94	1.0128997419028756	-0.11853082086097513	1.1944450622065785	3.7477776914464784	0.0026146516478908195	+
GSE33630	myeloid_suppressive	11	94	1.9726375157490923	-0.23084056035361833	3.4605450089202403	13.599490116357021	1.3253661757588203e-10	+
GSE33630	thyroid_differentiation	11	94	-2.295266373455199	0.2685950011490109	-2.8893261580709617	-7.418241165936912	1.68493814689446e-05	-
