probe_id	gene_symbol	entrez_id
121_at	PAX8	7849
1553562_at	CD8B	100996919
1553681_a_at	PRF1	5551
1554285_at	HAVCR2	84868
1555628_a_at	HAVCR2	84868
1555629_at	HAVCR2	84868
1555746_at	CD79B	974
1555748_x_at	CD79B	974
1555779_a_at	CD79A	973
1559754_at	LTB	4050
1567627_at	CD74	972
1567628_at	CD74	972
200887_s_at	STAT1	6772
201137_s_at	HLA-DPB1	3115
201891_s_at	B2M	567
202307_s_at	TAP1	6890
202531_at	IRF1	3659
202859_x_at	CXCL8	3576
203084_at	TGFB1	7040
203085_s_at	TGFB1	7040
203104_at	CSF1R	1436
203290_at	HLA-DQA1	3117
203507_at	CD68	101928634
203645_s_at	CD163	9332
203673_at	TG	7038
203699_s_at	DIO2	1734
203700_s_at	DIO2	1734
203915_at	CXCL9	4283
204279_at	PSMB9	5698
204438_at	MRC1	4360
204529_s_at	TOX	9760
204530_s_at	TOX	9760
204533_at	CXCL10	3627
204606_at	CCL21	6366
204670_x_at	HLA-DRB1	100996809
204769_s_at	TAP2	6891
204770_at	TAP2	6891
205049_s_at	CD79A	973
205101_at	CIITA	4261
205242_at	CXCL13	10563
205297_s_at	CD79B	974
205758_at	CD8A	925
205785_at	ITGAM	3684
205786_s_at	ITGAM	3684
206457_s_at	DIO1	1733
206486_at	LAG3	3902
207339_s_at	LTB	4050
207433_at	IL10	3586
207634_at	PDCD1	5133
207921_x_at	PAX8	7849
207923_x_at	PAX8	7849
207924_x_at	PAX8	7849
207979_s_at	CD8B	100996919
208306_x_at	HLA-DRB1	3123
208428_at	TAP2	6891
208729_x_at	HLA-B	3106
208812_x_at	HLA-C	3107
208894_at	HLA-DRA	3122
209040_s_at	PSMB8	5696
209140_x_at	HLA-B	3106
209312_x_at	HLA-DRB1	101060835
209312_x_at	HLA-DQB1	101060835
209480_at	HLA-DQB1	3119
209552_at	PAX8	7849
209619_at	CD74	972
209823_x_at	HLA-DQB1	101060835
209969_s_at	STAT1	6772
210055_at	TSHR	7253
210072_at	CCL19	6363
210163_at	CXCL11	6373
210164_at	GZMB	3002
210342_s_at	TPO	7173
210354_at	IFNG	3458
210356_x_at	MS4A1	931
210673_x_at	NKX2-1	7080
210747_at	HLA-DQB1	3119
210819_x_at	DIO2	1734
210925_at	CIITA	4261
210982_s_at	HLA-DRA	3122
211024_s_at	NKX2-1	7080
211122_s_at	CXCL11	6373
211123_at	SLC5A5	6528
211215_x_at	DIO2	1734
211506_s_at	CXCL8	3576
211654_x_at	HLA-DQB1	3119
211656_x_at	HLA-DQB1	101060835
211799_x_at	HLA-C	3107
211884_s_at	CIITA	4261
211911_x_at	HLA-B	3106
211990_at	HLA-DPA1	3113
211991_s_at	HLA-DPA1	3113
212592_at	JCHAIN	3512
212671_s_at	HLA-DQA1	100509457
212998_x_at	HLA-DQB1	101060835
212999_x_at	HLA-DQB1	101060835
213537_at	HLA-DPA1	3113
213831_at	HLA-DQA1	100509457
213917_at	PAX8	7849
213932_x_at	HLA-A	3105
214459_x_at	HLA-C	3107
214528_s_at	PAX8	7849
214617_at	PRF1	5551
215049_x_at	CD163	9332
215193_x_at	HLA-DRB1	101060835
215193_x_at	HLA-DQB1	101060835
215313_x_at	HLA-A	3105
215332_s_at	CD8B	100996919
215442_s_at	TSHR	7253
215443_at	TSHR	7253
216231_s_at	B2M	567
216233_at	CD163	9332
216526_x_at	HLA-C	3107
217418_x_at	MS4A1	931
220049_s_at	PDCD1LG2	80380
221286_s_at	MZB1	51237
221331_x_at	CTLA4	1493
221491_x_at	HLA-DRB1	101060835
221491_x_at	HLA-DQB1	101060835
221990_at	PAX8	7849
223565_at	MZB1	51237
223834_at	CD274	29126
224399_at	PDCD1LG2	80380
225973_at	TAP2	6891
226474_at	NLRC5	84166
227458_at	CD274	29126
228592_at	MS4A1	931
228599_at	MS4A1	931
230037_at	CD8B	926
231240_at	DIO2	1734
231794_at	CTLA4	1493
232311_at	B2M	567
234362_s_at	CTLA4	1493
234895_at	CTLA4	1493
235458_at	HAVCR2	84868
236203_at	HLA-DQA1	100509457
236341_at	CTLA4	1493
238725_at	IRF1	3659
238900_at	HLA-DRB1	100996809
240070_at	TIGIT	201633
244485_at	HLA-DPB1	3115
AFFX-HUMISGF3A/M97935_3_at	STAT1	6772
AFFX-HUMISGF3A/M97935_5_at	STAT1	6772
AFFX-HUMISGF3A/M97935_MA_at	STAT1	6772
AFFX-HUMISGF3A/M97935_MB_at	STAT1	6772
