module	n_before	n_after	mean_before	mean_after	cohens_d_after_minus_before	t	p	sign
HLA_class_I	35	17	-0.12162129689801203	0.25039678773120133	0.38547824784499646	1.3590323506196398	0.18188451204799183	+
HLA_class_II	35	17	-0.1838214136016406	0.37845585153279393	0.6176186313877939	2.2809281685081	0.02708865916592122	+
IFNG_T_cell_inflamed	35	17	0.023795727708777147	-0.04899120410630768	-0.0761770723017987	-0.27666100836535745	0.7833127948423931	-
TLS_CXCL13_like	35	17	-0.14422060023314254	0.2969247651858843	0.4380476118117167	1.4687779723644117	0.1521806934336532	+
checkpoint_exhaustion	35	17	-0.13948475563918397	0.28717449690420005	0.4375348635246848	1.5168529400912514	0.1380055723587175	+
myeloid_suppressive	35	17	-0.17678032505151947	0.36395949275313244	0.5526795731955878	1.8845592384394296	0.06828207065101558	+
thyroid_differentiation	35	17	0.2815423721311642	-0.5796460602700416	-1.013420431296441	-3.8261195131908075	0.00036515378507086656	-
