patient	delta_HLA_class_I	delta_HLA_class_II	delta_IFNG_T_cell_inflamed	delta_TLS_CXCL13_like	delta_checkpoint_exhaustion	delta_myeloid_suppressive	delta_thyroid_differentiation
Pt101	-0.5971946394107888	-0.42185211176937853	-0.6812531365067974	0.04581153608853361	-0.8724884489384495	-0.3097600775136925	0.4425328518324239
Pt9	-0.6829732891129829	-0.4085037624763085	-0.3257061000447473	-0.321375903184713	-0.4860055197424633	-0.5777442203629173	-0.33244024357479823
Pt84	-0.34431147750092417	-0.4924270085282876	-0.18697235095956177	-0.14524684198268067	-0.1284699859442915	-0.1700811886787219	-0.04994715786435211
Pt1	-1.5826010746374504	-1.549658512264285	-1.6183020372634749	-1.0530386245512433	-1.6994438023502454	-0.4427521094853507	-0.61041630789132
Pt89	0.23790763138969823	0.37952402892299686	0.6787965915597607	-0.06259869817578864	0.4649481513991941	0.2783598279091399	-0.37253655273085007
Pt23	-0.4335548334632522	-0.34926146676850456	-0.06013288343930279	0.26411432615414604	-0.3354895671811924	-1.1687537786483841	-1.6140211794191817
Pt10	0.49714136588786695	0.6625241750987595	0.33007810331041376	-0.44602850909449027	0.37225736287874783	1.8000756168616454	0.05761669466333218
Pt34	-0.672673255139784	-0.16102025410766507	-1.165278005088982	-0.10171071055355524	-1.1710627979577333	-0.01385660157266444	0.4604308687769712
Pt18	0.0812143347483425	0.36294679928933204	-0.4796191603864495	0.5269740716000975	0.11690230521331313	-0.8941901850208509	0.6846285888444817
Pt92	0.17445961527322895	0.41597104311629285	0.4249902928287943	0.7433062086649174	0.5928567379844898	0.01272584840326274	0.023678695308488318
Pt3	1.026891761963633	0.7439491898936411	0.6735826734222802	1.5096432460164733	0.6736266176479501	0.4120120877858411	2.8117294594961146
Pt28	0.7056495937956495	0.5304963955850496	0.8457239346831655	0.2188184181813717	1.1547290897476747	0.804718583897989	0.07575146151909995
Pt38	-0.21993094371349642	-0.22823700220320586	-0.07599671225277982	-0.266396280576761	-0.1164472614144747	-0.16212066474728692	-0.255760369133504
Pt8	0.09857403898081929	-0.6090240226326762	-0.3288117884504495	-1.0306761138219969	-0.5027017131464423	-0.44777658784754343	-1.7302433733918599
Pt46	-0.24355853108703995	-0.3343877365630563	-0.2629369327645036	-0.6917107392400936	-0.5605806865918078	-0.07751693731313791	-0.4036275907039241
Pt44	-0.7177093060043946	-0.35618754909022315	-1.5395267657546345	-0.03333931804356072	-1.450604403817283	-0.7121095212427427	0.05797371426811104
Pt85	-0.18051802532237893	0.03230037494226368	0.021128009765791544	0.8457319875616994	-0.006375695400618442	-0.2054747549742132	0.6286198435597284
Pt5	-0.8727206162538295	-0.8558932418764225	-0.9622969759336826	-1.1419483442135714	-1.206850415989056	0.8266283541116651	-0.17201690151214521
Pt27	0.14362920021298298	0.4229810505653946	-0.20319391909360257	-0.21383986691019274	-0.24740259324127323	0.6747875921863294	1.0310616653387297
Pt47	-0.41031795202288474	-0.5773485803244044	-0.35205463005764887	-0.3402299077889934	-0.4280062831450331	-0.4879653934581636	-0.05667206252839718
Pt49	0.21011580233798632	0.17046491788018558	0.29707551395756093	-0.3024051816564628	0.45180090841253073	0.8497835482419471	-0.6941763763378411
Pt106	-0.4231666516822829	-0.6583854741570953	-0.5122824699098592	-0.08628397715488995	-0.6988590019814023	-0.41670863963127003	0.029583112324553525
