cohort	module	n_responders	n_nonresponders	mean_responders	mean_nonresponders	cohens_d	t_stat	p_value	sign
Hugo	HLA_class_I	15	12	0.29757172293722506	-0.22626109408480888	0.5315306418299088	1.3400722877040168	0.19728706854049022	+
Hugo	HLA_class_II	15	12	0.17240348643690945	-0.11965369002422398	0.2824452019960001	0.7209383468741226	0.47889588534052707	+
Hugo	IFNG_T_cell_inflamed	15	12	-0.029930248820901777	0.1024513186638893	-0.1254214682887344	-0.3206536161954323	0.7515783331209183	-
Hugo	TLS_CXCL13_like	15	12	0.03556052187450328	0.019337902697391097	0.015742667556088108	0.04125846739202469	0.9674180689409575	+
Hugo	checkpoint_exhaustion	15	12	-0.09037894480252866	0.14378239111979602	-0.22082372224992702	-0.5644443008987121	0.5783263597534285	-
Hugo	myeloid_suppressive	15	12	-0.3634424522555331	0.30928939077528544	-0.7178883313949452	-1.8492455490898723	0.07717890171749942	-
Hugo	thyroid_differentiation	15	12	-0.019727135974664793	0.012901869216783712	-0.031751079829928155	-0.08433660760148175	0.9335163619251946	-
Riaz	HLA_class_I	10	23	0.10428098569426644	-0.1746206453435249	0.2610159737319892	0.7044659480925225	0.4896434009873667	+
Riaz	HLA_class_II	10	23	0.35831895153853044	-0.12029439601490048	0.43464465132596264	1.1508516668054276	0.26533092614889997	+
Riaz	IFNG_T_cell_inflamed	10	23	0.3978760089103274	-0.18763963370762768	0.5576580861683448	1.4326072022397753	0.17225072844162545	+
Riaz	TLS_CXCL13_like	10	23	0.5070286524039467	-0.18080950460360198	0.5844919179360454	1.4066009992320887	0.18581715507224722	+
Riaz	checkpoint_exhaustion	10	23	0.48831066359867537	-0.18731694871199167	0.6284675049813732	1.5924351303299895	0.13317550287642912	+
Riaz	myeloid_suppressive	10	23	0.19332943056239732	0.036228081880273086	0.16477900780834634	0.47353065572301867	0.6398474498987875	+
Riaz	thyroid_differentiation	10	23	0.05594275944436502	-0.06024820502753276	0.11140726271328934	0.2861460457929426	0.7786394447916087	+
