cohort	module	n_resp	n_nonresp	cohens_d	ci_lo_95	ci_hi_95	perm_p	sign
Hugo	HLA_class_I	15	12	0.531530641829909	-0.16819536837226964	1.666453651759885	0.197	+
Hugo	HLA_class_II	15	12	0.28244520199600004	-0.4671391411125615	1.21472054238551	0.478	+
Hugo	IFNG_T_cell_inflamed	15	12	-0.12542146828873446	-0.8407011245131377	0.7238321995114414	0.774	-
Hugo	TLS_CXCL13_like	15	12	0.015742667556088125	-0.8989848797868412	0.7670551417610936	0.968	+
Hugo	checkpoint_exhaustion	15	12	-0.22082372224992702	-1.036231307376618	0.47451461016484453	0.581	-
Hugo	myeloid_suppressive	15	12	-0.7178883313949452	-1.6078523425074152	0.02106440616190562	0.091	-
Hugo	thyroid_differentiation	15	12	-0.031751079829928155	-1.1657113893071018	0.6404933936880616	0.93	-
Riaz_pre	HLA_class_I	10	23	0.26101597373198926	-0.49633459771244814	0.9900714463192678	0.52	+
Riaz_pre	HLA_class_II	10	23	0.43464465132596264	-0.21676491605689913	1.2820334061229204	0.256	+
Riaz_pre	IFNG_T_cell_inflamed	10	23	0.5576580861683448	-0.22871341860164365	1.4941262678752736	0.166	+
Riaz_pre	TLS_CXCL13_like	10	23	0.5844919179360454	-0.27056149218106995	1.3855660990951582	0.125	+
Riaz_pre	checkpoint_exhaustion	10	23	0.6284675049813732	-0.08503203050262394	1.5054454026528075	0.109	+
Riaz_pre	myeloid_suppressive	10	23	0.16477900780834637	-0.533536535326976	0.862119585576069	0.67	+
Riaz_pre	thyroid_differentiation	10	23	0.11140726271328934	-0.6899872933476322	0.9108269866107441	0.795	+
