	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation
Pt1_On_AD174047-6	0.18079096045197748	0.3644067796610169	0.1864406779661017	-0.04519774011299431	-0.16101694915254236	0.3099273607748185	-0.8601694915254238
Pt10_On_E9047632-6	0.17702448210922783	0.5635593220338984	0.08135593220338978	-0.15442561205273075	-0.211864406779661	0.31961259079903154	-0.7584745762711864
Pt101_On_AD681975-5	0.09792843691148766	0.4576271186440678	0.12203389830508479	0.6478342749529191	-0.2584745762711864	-0.3825665859564164	-0.8559322033898306
Pt103_On_AE134059-6	0.32768361581920896	0.559322033898305	0.02372881355932201	-0.03389830508474576	-0.3432203389830508	0.0871670702179176	-0.652542372881356
Pt105_On_AE373241-6	0.28248587570621475	0.4152542372881356	0.48813559322033895	-0.09416195856873825	-0.15254237288135594	-0.26634382566585957	-0.8516949152542372
Pt106_On_AD513626-6	0.48964218455743874	0.3771186440677966	0.30169491525423725	-0.24858757062146888	-0.2796610169491525	0.03874092009685228	-0.7796610169491526
Pt108_On_AE373243-6	0.34274952919020724	0.5042372881355932	0.02372881355932201	-0.06026365348399249	-0.2033898305084746	0.1404358353510897	-0.7711864406779662
Pt109_On_AE527955-5	0.38794726930320145	0.5677966101694916	0.21694915254237282	-0.08662900188323923	-0.18220338983050846	-0.1646489104116223	-0.8516949152542372
Pt109_On_AE527955-6	0.4143126177024482	0.5720338983050848	0.1864406779661017	-0.05649717514124298	-0.2288135593220339	-0.15496368038740926	-0.8432203389830508
Pt11_On_AD314068-6	0.2937853107344632	0.4745762711864407	0.27796610169491537	-0.2071563088512241	-0.24152542372881355	0.03389830508474576	-0.7076271186440678
Pt13_On_AD314067-6	0.2711864406779661	0.461864406779661	0.36271186440677977	-0.19962335216572505	-0.13135593220338984	-0.048426150121065326	-0.8220338983050848
Pt16_On_AD167378-6	0.42561205273069685	0.4576271186440678	-0.1457627118644068	-0.24105461393596986	-0.3220338983050847	0.460048426150121	-0.5635593220338984
Pt17_On_E9261162-5	0.49717514124293777	0.5211864406779662	0.04406779661016952	-0.35781544256120534	-0.2542372881355932	0.1888619854721549	-0.6440677966101694
Pt18_On_E9261163-5	0.07156308851224116	0.4576271186440678	0.07457627118644078	0.6478342749529191	-0.19491525423728814	-0.36319612590799033	-0.847457627118644
Pt2_On_AD174046-6	0.3992467043314501	0.4152542372881356	0.328813559322034	-0.3691148775894539	-0.1652542372881356	0.15980629539951577	-0.8347457627118644
Pt23_On_AD486568-8	0.14312617702448208	0.3177966101694915	0.3559322033898305	0.11676082862523535	-0.2245762711864407	0.019370460048426203	-0.847457627118644
Pt26_On_AD467915-5	0.5084745762711864	0.3008474576271186	0.061016949152542396	-0.0188323917137477	-0.25	0.1307506053268764	-0.7923728813559322
Pt27_On_AD467934-5	0.24105461393596997	0.4957627118644068	0.03050847457627114	-0.24482109227871937	-0.1652542372881356	0.37772397094431004	-0.6949152542372882
Pt28_On_AD167375-7	0.09416195856873825	0.5	0.4305084745762713	-0.03389830508474576	-0.1440677966101695	-0.1210653753026635	-0.8559322033898306
Pt3_On_E9047638-6	0.3050847457627119	0.4449152542372881	0.12542372881355943	0.10922787193973632	-0.3474576271186441	0.00484261501210652	-0.7245762711864406
Pt30_On_AD505620-6	0.12052730696798498	0.576271186440678	0.3152542372881355	-0.1883239171374765	-0.029661016949152543	0.0	-0.864406779661017
Pt31_On_AD467932-6	0.29755178907721286	0.4491525423728814	0.17966101694915246	0.09416195856873825	-0.16101694915254236	-0.1016949152542373	-0.864406779661017
Pt32_On_E9414883-5	0.5047080979284368	0.1652542372881356	-0.05762711864406777	-0.11676082862523535	-0.2457627118644068	0.3970944309927361	-0.6313559322033898
Pt34_On_AD485757-6	0.19585687382297554	0.7330508474576272	0.12203389830508479	-0.2900188323917138	-0.13559322033898305	0.19370460048426152	-0.8135593220338984
