sample_id	PC1	PC2	PC3	PC4	PC5	cohort
A3	3.521166532170951	-0.6321999039177264	0.3983804131306903	-1.1529530992121542	-0.04688055972185801	GSE126698
A4	0.5321719314702092	-1.614199257349166	0.3480413557320802	-0.11239449859357194	0.07366814269950017	GSE126698
A5	3.440842056790113	0.03529248154234363	0.8505122268308334	0.183151488925047	0.8599890694449325	GSE126698
A2	5.0296406780860465	-1.1766794966050513	0.04502134712462429	1.1194842058021517	1.2087468261428214	GSE126698
A7	-0.3692164373924299	-2.0453391469174056	-0.2726994590155157	-0.5960045359885897	-0.5772328419165396	GSE126698
A1	0.6637680491016311	-1.3811934056984538	-0.5282299984577454	-0.7555426822742983	-0.22122229835858964	GSE126698
A6	3.28564422975108	-0.32192026358466186	0.34021846074322204	-0.6062442626951015	0.22668337112914946	GSE126698
A10	0.5207120608969843	-0.021392741559663246	-0.8722075186197736	-0.3233589564549401	-0.4329490303413972	GSE126698
A12	-0.2316973633842643	-1.117720206761827	-0.6602265077414281	-1.6980078525995144	-0.46021710416313405	GSE126698
A9	1.3907083937190754	-0.6421078251302832	-0.1378936107639056	-0.6180892446241096	-0.7381696230533067	GSE126698
F6	-1.1781197898261313	1.1128997200852826	0.5116527200102596	0.7520131456034587	0.27692140913695695	GSE126698
F5	-2.435780911738042	0.2864351453921451	-0.40716667610197155	0.9196987293784212	0.4246947976517733	GSE126698
F3	-0.8919409196124609	0.2615926551594224	-0.0023038356804355744	0.2838092168473469	0.09665510926909768	GSE126698
F1	-2.7728991540265775	0.19464480320971048	0.06483258751254962	0.4601652871136938	0.18317989467639703	GSE126698
F2	-3.0873534407251317	-0.3038805779995975	0.11840605161696603	-0.9247523559068869	-0.1687525226073437	GSE126698
F4	-2.1667071983317876	0.29657660209537	-0.19846522505425074	0.7054764519518547	0.21261855507950755	GSE126698
N4	-2.0453628426816466	0.7004908199736656	0.4745146605810172	-0.3931771912709859	-0.20235385714679727	GSE126698
N7	-1.594109564069789	0.798311558258239	-0.23488782055586918	0.013639200514372824	0.5321755752237974	GSE126698
N2	-0.7542911309810747	1.0107267794218089	0.019430477575712365	0.41980903045912693	0.49917106450691584	GSE126698
N8	-1.5894050415516723	0.9797345628180912	0.09315165900791898	0.2444245783986786	0.1972309547610516	GSE126698
N5	-1.5385936475717503	1.021371525003073	0.17099978303652763	0.07508641317293352	0.41217092516369275	GSE126698
N3	-2.106667715493683	0.5503168396611237	0.12321964819366625	0.21595251629500328	0.13482511195696875	GSE126698
P3	1.4031584429799935	0.022727568228887073	0.1570787013601513	0.45188647249731595	-0.4542841140440689	GSE126698
P4	-1.410485441470775	-0.0516806696377134	0.7360478164776885	0.25651759675936625	-0.5244427767926386	GSE126698
P5	-1.8863102058417112	-0.10807461008195485	0.13469689967018886	0.5057305141011909	0.2913089995126477	GSE126698
P1	3.2499481958232224	0.9246365354805275	-0.5763836831368523	-1.203790349297853	-0.886784574972642	GSE126698
P6	2.8191784425779076	1.1095584733218058	-0.5005695868871638	-0.0015015626168237044	-0.47144258974459935	GSE126698
P2	0.20200179133173923	0.11107203559203448	-0.1951708865891659	1.7789717437149046	-0.4453079134923052	GSE126698
Pt1	-0.043788892477040736	1.1987243093069322	0.45765231343224855	-0.27728733542708967	-0.3992467403850359	Hugo_GSE78220
Pt2	0.8862779696712114	2.1458171362916403	1.8921196412361971	1.0646187155928224	-0.1407567312415825	Hugo_GSE78220
Pt4	-1.1742810209455374	-1.1079155620082635	-1.5964161232545355	-0.03229555401715842	0.36730436114843484	Hugo_GSE78220
Pt5	-3.1821725819491036	-0.4262041159882146	-0.9240313678290085	1.7025633119404042	-1.135002446585426	Hugo_GSE78220
Pt6	-1.6416053555842718	-1.5805979933781198	0.761126185623897	-0.6975887333967792	-0.23243077554931862	Hugo_GSE78220
Pt7	-2.2939690625371547	-0.22145420663386292	-0.8152085389802627	0.10194837613142227	-0.1896183489648771	Hugo_GSE78220
Pt8	-0.15749215993082732	-0.6714285884382716	0.8321441684927887	0.2846716328413916	-0.5548460944499539	Hugo_GSE78220
Pt9	0.0627510058287992	1.3900107439797524	0.10385459209157298	0.3748254067084821	-0.25336667913584987	Hugo_GSE78220
Pt10	-2.403989270123522	-0.8455658550818229	0.04182244580594651	-1.390553352666004	0.2245291271711757	Hugo_GSE78220
Pt12	-2.3738604627449575	-1.1721151631280708	0.06565697471161049	-0.5698239506988719	-0.13008116384632604	Hugo_GSE78220
Pt13	2.526772530236265	-0.287788010927821	0.7912244580099346	0.043908243199250296	0.137167462655973	Hugo_GSE78220
Pt14	0.4507371922627172	-1.100964444660413	0.9905791548359658	-0.34987977753321514	0.7657086761317683	Hugo_GSE78220
Pt15	0.7562317289394395	-0.1917597681629372	-0.956157737565519	0.5260160738272408	-0.44611509520030235	Hugo_GSE78220
Pt16.OnTx	-1.3740810018859353	-1.3313866081238925	1.1687640745113363	-1.7044368704311834	0.7761133577709463	Hugo_GSE78220
Pt19	0.7460589901316128	0.9439687690348366	0.6603260784853927	0.16788649269491449	-0.8267389934957897	Hugo_GSE78220
Pt20	4.900493494512953	0.9212525470851728	-0.48681054526712175	0.5897052601329692	0.731113706891257	Hugo_GSE78220
Pt22	2.323975389274107	0.32205346019192665	0.9361845255088198	-1.1109008168211518	-0.11858266152730161	Hugo_GSE78220
Pt23	1.0899871406340402	-0.3472362284918279	0.8927072943093745	0.32368078806121475	1.243121669987056	Hugo_GSE78220
Pt25	1.8291899249103536	-0.04464936461344747	-1.1529850668883848	0.568609821833318	-0.4766207473278599	Hugo_GSE78220
Pt27A	1.6578461364970827	-0.1366858366364604	0.1481966191941006	0.833204694970649	0.2393018385662085	Hugo_GSE78220
Pt27B	-0.007251790257641021	-0.43839963706470514	-0.34223823977566187	0.980449724223582	-0.18275086042060867	Hugo_GSE78220
Pt28	-1.8460776624740898	2.5390281477961896	0.7667302344159291	-0.38765896132981476	-0.3016907401548597	Hugo_GSE78220
Pt29	0.669246963416632	1.1790077211166987	0.9434116740298849	-1.2101196601052866	0.8301428799622455	Hugo_GSE78220
Pt31	-0.8343447949819045	-0.6048633021626645	-0.4652217461628979	0.21252480754004907	0.3152424672380756	Hugo_GSE78220
Pt32	-2.4136766594351764	-0.641116396667635	-0.10492476851807939	-0.5755363170018504	0.13817597501207288	Hugo_GSE78220
Pt35	-0.5227647718828715	-0.6055592818337173	-0.5876790098215838	1.2335164633042075	-0.03761280210812138	Hugo_GSE78220
Pt37	-0.8616544571001307	-0.4991304692592958	-1.6899890985533126	1.026741273982275	-0.23554889644465798	Hugo_GSE78220
Pt38	3.2314414779949554	1.614957998458302	-2.3308381920786223	-1.7287897575557845	-0.10691174569732685	Hugo_GSE78220
Pt1_Pre_AD101148-6	2.3886711749694793	-0.30399338786739033	-0.1999658090011725	-0.49555890929987423	0.6092599968803696	Riaz_GSE91061_pre
Pt10_Pre_E9047565-6	-2.051525866191339	-0.06952995599840726	-0.9175977264950019	-0.604883329328766	-0.3564890926513466	Riaz_GSE91061_pre
Pt101_Pre_AD486328-5	4.224880642419163	1.3707977678035153	-1.493286357344989	-0.4976486768571231	-0.43927230961898406	Riaz_GSE91061_pre
Pt103_Pre_AE134058-2	2.4591095109111976	1.4314303692897268	0.2477389700869534	-0.23096553093534375	-0.8152027616422656	Riaz_GSE91061_pre
Pt106_Pre_AD502250-5	0.5324069762437692	0.07225110165221223	0.07632887289999897	1.016359721268993	0.41666750203263075	Riaz_GSE91061_pre
