module	d_LN_minus_primary	p	sign
HLA_class_I	0.19607868126486389	0.5474166238676964	+
HLA_class_II	0.2740754979259879	0.40849115048417506	+
IFNG_T_cell_inflamed	-0.2637888365249095	0.431437331711449	-
TLS_CXCL13_like	0.37236976159039603	0.2517827272695506	+
checkpoint_exhaustion	0.11624686721189771	0.720609871629604	+
myeloid_suppressive	0.1574216627401599	0.6334753558564699	+
thyroid_differentiation	-0.43289533325756313	0.18282087361425628	-
