cohort	module	subtype	n	mean_z	sd_z
GSE126698	HLA_class_I	ATC	10	0.11918815392716724	1.060751865496537
GSE126698	HLA_class_I	FTC	6	-0.5587028074025048	0.9720471138029401
GSE126698	HLA_class_I	NT	6	-0.4195568182732701	0.2382281189322142
GSE126698	HLA_class_I	PTC	6	0.7796127024638392	0.8185750800285879
GSE126698	HLA_class_II	ATC	10	0.8664074545989215	0.8053224871443387
GSE126698	HLA_class_II	FTC	6	-0.8541693841921963	0.3509179758288964
GSE126698	HLA_class_II	NT	6	-0.8768696643532411	0.3001875627684602
GSE126698	HLA_class_II	PTC	6	0.28702662421390407	0.7351940767098174
GSE126698	IFNG_T_cell_inflamed	ATC	10	0.5914548386472406	1.1973675233787398
GSE126698	IFNG_T_cell_inflamed	FTC	6	-0.8383691852083494	0.31174331739914113
GSE126698	IFNG_T_cell_inflamed	NT	6	-0.3724415066459503	0.33534213530051704
GSE126698	IFNG_T_cell_inflamed	PTC	6	0.22505262744223184	0.7696045419446594
GSE126698	TLS_CXCL13_like	ATC	10	0.43666153294138554	0.5873013693723462
GSE126698	TLS_CXCL13_like	FTC	6	-0.9359437400542454	0.3609978340493783
GSE126698	TLS_CXCL13_like	NT	6	-0.35564002267426287	0.10907456125091478
GSE126698	TLS_CXCL13_like	PTC	6	0.5638145411595336	1.5203395351389681
GSE126698	checkpoint_exhaustion	ATC	10	0.8128229993111523	0.9611858939058964
GSE126698	checkpoint_exhaustion	FTC	6	-0.6794166518124808	0.5355988031496103
GSE126698	checkpoint_exhaustion	NT	6	-0.6158688888479841	0.3951219868684267
GSE126698	checkpoint_exhaustion	PTC	6	-0.05941945819145522	0.8592522752062182
GSE126698	myeloid_suppressive	ATC	10	1.0322439045911351	0.6605116580831938
GSE126698	myeloid_suppressive	FTC	6	-1.0243954208380113	0.3732554385290794
GSE126698	myeloid_suppressive	NT	6	-0.7546952363361777	0.18438592220277145
GSE126698	myeloid_suppressive	PTC	6	0.058684149522296426	0.6065879602597362
GSE126698	thyroid_differentiation	ATC	10	-1.13146247448375	0.5106340916630101
GSE126698	thyroid_differentiation	FTC	6	0.7323837301305911	0.3379024382314464
GSE126698	thyroid_differentiation	NT	6	1.1430371475543442	0.1347615322757133
GSE126698	thyroid_differentiation	PTC	6	0.010349913121315826	0.35077550876521224
