	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation
Pt1	0.4936810722389321	0.664506490422669	0.43942536013930666	0.402515038784233	0.1086750039575748	0.45068861801488047	-0.26596386734209276
Pt2	0.6991231773169402	0.7440240620547728	0.5170413170808927	0.20293454171283837	0.15052635744815576	0.49187707772676903	-0.3028336235554852
Pt4	0.4402450178530596	0.24917880322938105	0.43090074402406203	0.1730152762387209	0.1186629333544404	0.36733219882855783	-0.5010091815735317
Pt5	0.5907867658698749	0.32875573848345735	-0.053728035459870135	-0.3548163685293652	-0.12283322779800539	0.2165090232705398	-0.3147657115719487
Pt6	0.3392916820572352	0.5354104005065696	0.0690596802279563	-0.25552081684343836	0.05258627513059997	0.5313242045274655	-0.35065596802279564
Pt7	0.36567551404499327	0.43827172708564194	0.30662498021212614	0.011546224473642551	0.027336947918315656	0.3089777584296343	-0.3401337660281779
Pt8	0.5923214254304964	0.5777366629729301	0.32898527782175097	0.08361366154820327	0.029721386734209276	0.5475898369479183	-0.3837462403039417
Pt9	0.6022593354792184	0.591974038309324	0.5600443248377394	0.4412399081842647	0.06581446889346208	0.415763020421086	-0.2853510368845971
Pt10	0.2373269660352136	0.11649121418394807	-0.06482507519392117	-0.07429357289852778	-0.044028019629571	0.48707851828399557	-0.4090054614532215
Pt12	0.36080329973792075	0.20882143422510685	0.006134240937153712	-0.04369162577172708	-0.04093121735000792	0.4845357764761754	-0.36325589678644926
Pt13	0.6361625595834872	0.8599018521450056	0.6704844071552953	0.2365739274972297	0.31928724077885073	0.5819514801329745	-0.34241431850561976
Pt14	0.5621031431938507	0.5179673895836632	0.4624188697166377	0.007202786132657907	0.2324976254551211	0.6354677853411429	-0.36119795789140413
Pt15	0.696133009691661	0.6280572265315815	0.5032689567832831	0.47783758113028335	0.19151693842013615	0.3963511160360931	-0.3910677536805446
Pt16.OnTx	0.28408351362285195	0.2610713154978629	0.2206941586195979	-0.009517967389583663	0.09909767294601868	0.6278098781066962	-0.30087462403039417
Pt19	0.6253715723004943	0.7137684027228115	0.36830774101630526	0.45268719328795315	0.19282293810353016	0.39774616115244577	-0.2671758746240304
Pt20	0.80805322498373	0.8521450055406047	0.8821513376602816	0.7306276713629888	0.5663586354282096	0.5477382460028495	-0.2729836156403356
Pt22	0.565436300634971	0.7887149754630363	0.6106696216558494	0.6178268956783283	0.2318545195504195	0.6232190913408263	-0.2676903593477917
Pt23	0.6778314249028196	0.46021647934145954	0.6519312965015038	0.03894253601393066	0.2788309324046224	0.5965648250751939	-0.3087304100047491
Pt25	0.6931956097303571	0.7663645717904068	0.62900902327054	0.5368549153078993	0.3270045116352699	0.3826974829824284	-0.37008271331328163
Pt27A	0.6573575712803194	0.7405364492638911	0.65217666613899	0.22320721861643186	0.2617935728985278	0.5149398448630679	-0.32981438974196614
Pt27B	0.556043656447329	0.6547015988602185	0.49627987968972614	0.051883805603925914	0.14243311698591105	0.429109941427893	-0.3448185451955042
Pt28	0.48976747049408126	0.5029187114136457	0.10366471426309963	0.33604757004907393	0.0769946176982745	0.3325846921006807	-0.17012129966756373
Pt29	0.441344344185883	0.6541178565774893	0.5660835839797373	0.4529444356498338	0.2650189963590312	0.5625593636219725	-0.24991590153553903
Pt31	0.5931569134434419	0.29291989868608515	0.39200569890770925	0.18077212284312175	0.15485990185214502	0.38364730093398763	-0.38038230172550264
Pt32	0.32324151759801584	0.26786845021370903	0.20484407155295234	-0.08823907709355706	-0.026238720911825233	0.3888317239195821	-0.355489156245053
Pt35	0.6100777443582573	0.4763831723919582	0.4723840430584137	0.017833821434225107	0.11118806395440874	0.3886041633686877	-0.3654424568624347
Pt37	0.6606115772254764	0.3266977995884122	0.38974196612315976	0.29412695899952507	0.15899556751622607	0.2983516700965648	-0.4121863621972455
Pt38	0.5684748386188943	0.7664338293493747	0.7053664714263098	0.9673697957891404	0.4921640018996359	0.381866392274814	-0.33330200253284786
