sample_id	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation
A3	0.9903934363803161	0.9945822443009711	0.4749225416717151	0.5237963359057988	0.6265578211275163	0.7465251934294567	0.6953940421996434
A4	0.9768750108182023	0.8938777629688609	0.20220345143925353	0.18926784879738692	0.37446125352673393	0.6610469711918486	0.6606595765199265
A5	0.9870527755179755	0.9856940093123086	0.6302096134872692	0.3188513665553113	0.6769078981531165	0.7037456943554948	0.791467096592328
A2	0.9961487199903069	0.9931888598480259	0.7990531909369428	0.24775785030575337	0.7107667076315927	0.66529924589918	0.43508707725556417
A7	0.9632527305142541	0.9640229865161927	0.10986620047427004	0.0012141113866833133	0.35107446384989527	0.5902440009462322	0.5670196903645053
A1	0.9823706575736071	0.9745555882505669	0.26932304017447606	0.22244449334958735	0.40453801949007323	0.44249909127100895	0.6042713971677329
A6	0.993578315129905	0.993578315129905	0.43139701936890945	0.45738122850268653	0.6353984560261714	0.6374661750875552	0.7819371876630458
A10	0.9325376906167241	0.9056220033579699	0.4140602011320167	0.496126465402771	0.35506421684870093	0.382929742267149	0.7701422562689936
A12	0.9170633340833954	0.9839630969484014	0.2395634639018227	0.2937729191342471	0.08065186159624738	0.5311679619660857	0.6699224303987774
A9	0.988775033320063	0.9818600384262545	0.193931421252142	0.24316598707750273	0.4517594724179115	0.5130914671790167	0.7535947340700425
F6	0.9587004309971786	0.878740934346494	0.27266543194918036	0.13773858772387507	0.17986126737403285	0.32589617987641284	0.9970253034660284
F5	0.8391982413930382	0.8009537327125128	0.011238813978848301	-0.20070917952281217	0.21129030862167447	0.18763955480934	0.8681662961689965
F3	0.9397555951742164	0.9065653505962993	0.16708843231267195	0.026841505300300876	0.3213568622020667	0.45159792059728027	0.7875997438249701
F1	0.8914544856593911	0.8632319595658872	0.152848216294809	-0.32194969968670484	0.09082529901511087	0.27808549553136114	0.9148984572625373
F2	0.7787461270835857	0.9092915375694529	0.05809634258217509	-0.13353741614347783	-0.14750835165215584	0.35513128970280233	0.8925474331806009
F4	0.8572689664722275	0.8647291987606668	0.16820833261211976	-0.05494163116235707	0.2087134128399079	0.2158563111949643	0.9220421798615764
N4	0.9418067263254462	0.8899399373409724	0.12632198431793398	0.002628514061190261	0.1408876118602115	0.34999913454381804	0.9932494417807627
N7	0.90599414951621	0.8371298011181694	0.27900922576289955	0.008535870686009988	0.3911104668270646	0.34812109462897894	0.9542866044692158
N2	0.9636768040434113	0.9310923787928617	0.4152597234002043	-0.0529238818924312	0.3938366538002181	0.33596143527253214	0.9893944526731469
N8	0.9337839475187372	0.90711058799093	0.24107108857078555	-0.10038055344686475	0.29384833745867445	0.26468823383472084	0.9656562259681364
N5	0.8967164592456683	0.8784034064355322	0.27466636664185695	-0.09260875693292225	0.3148291589496824	0.3502356925668854	0.9798966892591944
N3	0.9030862167448462	0.828760839838679	0.22800096931092384	-0.21286512978133634	0.03436077406400914	0.4755191294664752	0.9648154971056672
P3	0.9560780987658595	0.9646547695290187	0.29593062503245465	0.4036289814075285	0.47445389714918734	0.3896745307785068	0.688356647074387
P4	0.9188721375036782	0.9238917833590086	0.13108718605577005	-0.009332090373407216	0.03964222041438042	0.3712576232265361	0.7813066410161938
P5	0.8956952209509632	0.8514790646149586	0.26380835338306824	-0.1371574957159919	0.16734893462344003	0.4175422198374097	0.7606543837828347
P1	0.9807868727606321	0.9871479756979904	0.48783168608173366	0.8017981706729045	0.5618303532792135	0.6985644966795332	0.7871002519713856
P6	0.9794973430495214	0.9827341491700275	0.6285063957211846	0.6865614436798209	0.4936215879390026	0.5352384908752069	0.8212190073959412
P2	0.9726342755266301	0.9289720111470756	0.358376750385128	0.19533098753495828	0.08329150295120558	0.32663181763107335	0.7752385568147256
