cohort	subtype	module	n	mean_z	sd_z
GSE126698	ATC	HLA_class_I	10	0.1191881539271673	1.060751865496537
GSE126698	ATC	HLA_class_II	10	0.8664074545989214	0.8053224871443386
GSE126698	ATC	IFNG_T_cell_inflamed	10	0.5914548386472406	1.1973675233787398
GSE126698	ATC	TLS_CXCL13_like	10	0.43666153294138554	0.5873013693723462
GSE126698	ATC	checkpoint_exhaustion	10	0.8128229993111523	0.9611858939058965
GSE126698	ATC	myeloid_suppressive	10	1.0322439045911356	0.6605116580831938
GSE126698	ATC	thyroid_differentiation	10	-1.13146247448375	0.5106340916630101
GSE126698	FTC	HLA_class_I	6	-0.5587028074025048	0.9720471138029401
GSE126698	FTC	HLA_class_II	6	-0.8541693841921963	0.3509179758288964
GSE126698	FTC	IFNG_T_cell_inflamed	6	-0.8383691852083494	0.3117433173991412
GSE126698	FTC	TLS_CXCL13_like	6	-0.9359437400542454	0.3609978340493783
GSE126698	FTC	checkpoint_exhaustion	6	-0.6794166518124808	0.5355988031496103
GSE126698	FTC	myeloid_suppressive	6	-1.0243954208380113	0.3732554385290794
GSE126698	FTC	thyroid_differentiation	6	0.7323837301305911	0.3379024382314463
GSE126698	NT	HLA_class_I	6	-0.4195568182732701	0.2382281189322142
GSE126698	NT	HLA_class_II	6	-0.8768696643532411	0.3001875627684602
GSE126698	NT	IFNG_T_cell_inflamed	6	-0.37244150664595016	0.33534213530051704
GSE126698	NT	TLS_CXCL13_like	6	-0.35564002267426287	0.10907456125091479
GSE126698	NT	checkpoint_exhaustion	6	-0.6158688888479841	0.39512198686842676
GSE126698	NT	myeloid_suppressive	6	-0.7546952363361777	0.18438592220277147
GSE126698	NT	thyroid_differentiation	6	1.1430371475543442	0.1347615322757133
GSE126698	PTC	HLA_class_I	6	0.7796127024638392	0.8185750800285879
GSE126698	PTC	HLA_class_II	6	0.28702662421390407	0.7351940767098174
GSE126698	PTC	IFNG_T_cell_inflamed	6	0.22505262744223184	0.7696045419446594
GSE126698	PTC	TLS_CXCL13_like	6	0.5638145411595336	1.5203395351389681
GSE126698	PTC	checkpoint_exhaustion	6	-0.05941945819145522	0.8592522752062182
