module	Hugo	Riaz	consistent
HLA_class_I	+	+	yes
HLA_class_II	+	+	yes
IFNG_T_cell_inflamed	-	+	no
TLS_CXCL13_like	+	+	yes
checkpoint_exhaustion	-	+	no
myeloid_suppressive	-	+	no
thyroid_differentiation	-	+	no
