module	Hugo	Riaz_pre	singscore_consistent
HLA_class_I	+	-	0
HLA_class_II	+	+	1
IFNG_T_cell_inflamed	-	+	0
TLS_CXCL13_like	-	+	0
checkpoint_exhaustion	-	+	0
myeloid_suppressive	-	-	1
thyroid_differentiation	-	-	1
